rgn_id,rgn_name,loiczid,proportionArea,csquarecode,cellarea
1,Barents Sea,9120,0.09,1805:239:4,336.51
1,Barents Sea,9121,0.1,1806:130:3,336.51
1,Barents Sea,9122,0.1,1806:130:4,336.51
1,Barents Sea,9123,0.1,1806:131:3,336.51
1,Barents Sea,9124,0.1,1806:131:4,336.51
1,Barents Sea,9125,0.01,1806:132:3,336.51
1,Barents Sea,9755,0.07,1801:237:1,363.31
1,Barents Sea,9756,0.1,1801:237:2,363.31
1,Barents Sea,9757,0.1,1801:238:1,363.31
1,Barents Sea,9758,0.1,1801:238:2,363.31
1,Barents Sea,9759,0.1,1801:239:1,363.31
1,Barents Sea,9760,0.1,1801:239:2,363.31
1,Barents Sea,9761,0.1,1802:130:1,363.31
1,Barents Sea,9762,0.1,1802:130:2,363.31
1,Barents Sea,9763,0.19,1802:131:1,363.31
1,Barents Sea,9764,0.2,1802:131:2,363.31
1,Barents Sea,9765,0.2,1802:132:1,363.31
1,Barents Sea,9766,0.2,1802:132:2,363.31
1,Barents Sea,9767,0.2,1802:133:1,363.31
1,Barents Sea,9768,0.2,1802:133:2,363.31
1,Barents Sea,9769,0.2,1802:134:1,363.31
1,Barents Sea,9770,0.2,1802:134:2,363.31
1,Barents Sea,9771,0.23,1802:235:1,363.31
1,Barents Sea,9772,0.3,1802:235:2,363.31
1,Barents Sea,9773,0.3,1802:236:1,363.31
1,Barents Sea,9774,0.3,1802:236:2,363.31
1,Barents Sea,9775,0.3,1802:237:1,363.31
1,Barents Sea,9776,0.3,1802:237:2,363.31
1,Barents Sea,9777,0.3,1802:238:1,363.31
1,Barents Sea,9778,0.3,1802:238:2,363.31
1,Barents Sea,9779,0.3,1802:239:1,363.31
1,Barents Sea,9780,0.38,1802:239:2,363.31
1,Barents Sea,9781,0.4,1803:130:1,363.31
1,Barents Sea,9782,0.4,1803:130:2,363.31
1,Barents Sea,9783,0.4,1803:131:1,363.31
1,Barents Sea,9784,0.4,1803:131:2,363.31
1,Barents Sea,9785,0.4,1803:132:1,363.31
1,Barents Sea,9786,0.4,1803:132:2,363.31
1,Barents Sea,9787,0.4,1803:133:1,363.31
1,Barents Sea,9788,0.42,1803:133:2,363.31
1,Barents Sea,9789,0.5,1803:134:1,363.31
1,Barents Sea,9790,0.5,1803:134:2,363.31
1,Barents Sea,9791,0.5,1803:235:1,363.31
1,Barents Sea,9792,0.5,1803:235:2,363.31
1,Barents Sea,9793,0.5,1803:236:1,363.31
1,Barents Sea,9794,0.5,1803:236:2,363.31
1,Barents Sea,9795,0.5,1803:237:1,363.31
1,Barents Sea,9796,0.5,1803:237:2,363.31
1,Barents Sea,9797,0.57,1803:238:1,363.31
1,Barents Sea,9798,0.6,1803:238:2,363.31
1,Barents Sea,9799,0.6,1803:239:1,363.31
1,Barents Sea,9800,0.6,1803:239:2,363.31
1,Barents Sea,9801,0.6,1804:130:1,363.31
1,Barents Sea,9802,0.6,1804:130:2,363.31
1,Barents Sea,9803,0.6,1804:131:1,363.31
1,Barents Sea,9804,0.6,1804:131:2,363.31
1,Barents Sea,9805,0.61,1804:132:1,363.31
1,Barents Sea,9806,0.7,1804:132:2,363.31
1,Barents Sea,9807,0.7,1804:133:1,363.31
1,Barents Sea,9808,0.7,1804:133:2,363.31
1,Barents Sea,9809,0.7,1804:134:1,363.31
1,Barents Sea,9810,0.7,1804:134:2,363.31
1,Barents Sea,9811,0.7,1804:235:1,363.31
1,Barents Sea,9812,0.7,1804:235:2,363.31
1,Barents Sea,9813,0.7,1804:236:1,363.31
1,Barents Sea,9814,0.75,1804:236:2,363.31
1,Barents Sea,9815,0.8,1804:237:1,363.31
1,Barents Sea,9816,0.8,1804:237:2,363.31
1,Barents Sea,9817,0.8,1804:238:1,363.31
1,Barents Sea,9818,0.8,1804:238:2,363.31
1,Barents Sea,9819,0.8,1804:239:1,363.31
1,Barents Sea,9820,0.8,1804:239:2,363.31
1,Barents Sea,9821,0.8,1805:130:1,363.31
1,Barents Sea,9822,0.8,1805:130:2,363.31
1,Barents Sea,9823,0.9,1805:131:1,363.31
1,Barents Sea,9824,0.9,1805:131:2,363.31
1,Barents Sea,9825,0.9,1805:132:1,363.31
1,Barents Sea,9826,0.9,1805:132:2,363.31
1,Barents Sea,9827,0.9,1805:133:1,363.31
1,Barents Sea,9828,0.9,1805:133:2,363.31
1,Barents Sea,9829,0.9,1805:134:1,363.31
1,Barents Sea,9830,0.9,1805:134:2,363.31
1,Barents Sea,9831,0.94,1805:235:1,363.31
1,Barents Sea,9832,1,1805:235:2,363.31
1,Barents Sea,9833,1,1805:236:1,363.31
1,Barents Sea,9834,1,1805:236:2,363.31
1,Barents Sea,9835,1,1805:237:1,363.31
1,Barents Sea,9836,1,1805:237:2,363.31
1,Barents Sea,9837,1,1805:238:1,363.31
1,Barents Sea,9838,1,1805:238:2,363.31
1,Barents Sea,9839,1,1805:239:1,363.31
1,Barents Sea,9840,1,1805:239:2,363.31
1,Barents Sea,9841,1,1806:130:1,363.31
1,Barents Sea,9842,1,1806:130:2,363.31
1,Barents Sea,9843,1,1806:131:1,363.31
1,Barents Sea,9844,1,1806:131:2,363.31
1,Barents Sea,9845,0.99,1806:132:1,363.31
1,Barents Sea,9846,0.87,1806:132:2,363.31
1,Barents Sea,9847,0.74,1806:133:1,363.31
1,Barents Sea,9848,0.62,1806:133:2,363.31
1,Barents Sea,9849,0.48,1806:134:1,363.31
1,Barents Sea,9850,0.36,1806:134:2,363.31
1,Barents Sea,9851,0.24,1806:235:1,363.31
1,Barents Sea,9852,0.1,1806:235:2,363.31
