am_sid,rgn_id,rgn_name,sciname
Fis-29289,1,Barents Sea,Argentina sphyraena
Fis-22718,1,Barents Sea,Benthosema glaciale
Fis-22730,1,Barents Sea,Molva molva
Fis-22710,1,Barents Sea,Agonus cataphractus
Fis-29267,1,Barents Sea,Ammodytes marinus
Fis-29269,1,Barents Sea,Ammodytes tobianus
Fis-139729,1,Barents Sea,Melanolagus bericoides
Fis-22749,1,Barents Sea,Chirolophis ascanii
Fis-22751,1,Barents Sea,Crystallogobius linearis
Fis-29361,1,Barents Sea,Cyclopterus lumpus
Fis-22760,1,Barents Sea,Eutrigla gurnardus
Fis-22764,1,Barents Sea,Helicolenus dactylopterus
Fis-23237,1,Barents Sea,Reinhardtius hippoglossoides
Fis-23185,1,Barents Sea,Maurolicus muelleri
Fis-29263,1,Barents Sea,Alepisaurus ferox
Fis-22932,1,Barents Sea,Polyprion americanus
Fis-149739,1,Barents Sea,Sebastes norvegicus
Fis-23165,1,Barents Sea,Lampanyctus crocodilus
Fis-23087,1,Barents Sea,Ceratoscopelus maderensis
Fis-23113,1,Barents Sea,Echinorhinus brucus
Fis-12972,1,Barents Sea,Limanda limanda
Fis-23205,1,Barents Sea,Oxynotus centrina
Fis-23875,1,Barents Sea,Trisopterus esmarkii
Fis-23580,1,Barents Sea,Lampris guttatus
Fis-29731,1,Barents Sea,Beryx decadactylus
Fis-23653,1,Barents Sea,Myoxocephalus scorpius
Fis-23722,1,Barents Sea,Phycis blennoides
Fis-23737,1,Barents Sea,Pomatoschistus minutus
Fis-23738,1,Barents Sea,Pomatoschistus norvegicus
Fis-30647,1,Barents Sea,Sebastes viviparus
Fis-23853,1,Barents Sea,Taurulus bubalis
Fis-30758,1,Barents Sea,Zeus faber
Fis-3208,1,Barents Sea,Labrus mixtus
Fis-23598,1,Barents Sea,Liparis liparis
Fis-23638,1,Barents Sea,Microstomus kitt
Fis-23641,1,Barents Sea,Molva dypterygia
Fis-23453,1,Barents Sea,Cubiceps gracilis
Fis-29801,1,Barents Sea,Chauliodus sloani
Fis-23486,1,Barents Sea,Enchelyopus cimbrius
Fis-24267,1,Barents Sea,Phrynorhombus norvegicus
Fis-30336,1,Barents Sea,Myxine glutinosa
Fis-15353,1,Barents Sea,Bathyraja spinicauda
Fis-23914,1,Barents Sea,Argentina silus
Fis-29877,1,Barents Sea,Cryptopsaras couesii
Fis-30264,1,Barents Sea,Lycodes pallidus
Fis-30266,1,Barents Sea,Lycodes rossi
Fis-24741,1,Barents Sea,Liopsetta glacialis
Fis-25029,1,Barents Sea,Trachipterus arcticus
Fis-30575,1,Barents Sea,Regalecus glesne
Fis-24923,1,Barents Sea,Pungitius pungitius
Fis-30708,1,Barents Sea,Taractes asper
Fis-49057,1,Barents Sea,Leptoclinus maculatus
Fis-24753,1,Barents Sea,Anisarchus medius
Fis-24893,1,Barents Sea,Pholis gunnellus
Fis-29624,1,Barents Sea,Anarhichas denticulatus
Fis-29626,1,Barents Sea,Anarhichas minor
Fis-30763,1,Barents Sea,Artediellus atlanticus
Fis-24436,1,Barents Sea,Artediellus uncinatus
Fis-24702,1,Barents Sea,Icelus bicornis
Fis-30828,1,Barents Sea,Icelus spatula
