sciname,iucn_sid,rgn_id,rgn_name
Actitis hypoleucos,22693264,1,Barents Sea
Alauda arvensis,22717415,1,Barents Sea
Alca torda,22694852,1,Barents Sea
Alle alle,22694837,1,Barents Sea
Anas acuta,22680301,1,Barents Sea
Anser albifrons,22679881,1,Barents Sea
Anser brachyrhynchus,22679872,1,Barents Sea
Anthus cervinus,22718560,1,Barents Sea
Anthus petrosus,22718567,1,Barents Sea
Anthus pratensis,22718556,1,Barents Sea
Ardea cinerea,22696993,1,Barents Sea
Arenaria interpres,22693336,1,Barents Sea
Aythya fuligula,22680391,1,Barents Sea
Aythya marila,22680398,1,Barents Sea
Branta bernicla,22679946,1,Barents Sea
Branta leucopsis,22679943,1,Barents Sea
Bucephala clangula,22680455,1,Barents Sea
Calcarius lapponicus,22721033,1,Barents Sea
Calidris alba,22693369,1,Barents Sea
Calidris alpina,22693427,1,Barents Sea
Calidris falcinellus,22693464,1,Barents Sea
Calidris maritima,22693420,1,Barents Sea
Calidris minuta,22693379,1,Barents Sea
Calidris pugnax,22693468,1,Barents Sea
Calidris temminckii,22693388,1,Barents Sea
Catharacta skua,22694160,1,Barents Sea
Cepphus grylle,22694861,1,Barents Sea
Charadrius hiaticula,22693759,1,Barents Sea
Clangula hyemalis,22680427,1,Barents Sea
Corvus corone,22706016,1,Barents Sea
Eremophila alpestris,22717434,1,Barents Sea
Falco columbarius,22696453,1,Barents Sea
Falco peregrinus,45354964,1,Barents Sea
Falco rusticolus,22696500,1,Barents Sea
Fratercula arctica,22694927,1,Barents Sea
Fulmarus glacialis,22697866,1,Barents Sea
Gavia adamsii,22697847,1,Barents Sea
Gavia arctica,22697834,1,Barents Sea
Gavia immer,22697842,1,Barents Sea
Gavia stellata,22697829,1,Barents Sea
Grus grus,22692146,1,Barents Sea
Haematopus ostralegus,22733462,1,Barents Sea
Haliaeetus albicilla,22695137,1,Barents Sea
Hydrobates leucorhous,22698511,1,Barents Sea
Hydrobates pelagicus,22698477,1,Barents Sea
Hydrocoloeus minutus,22694469,1,Barents Sea
Jynx torquilla,22680683,1,Barents Sea
Larus argentatus,62030608,1,Barents Sea
Larus canus,22694308,1,Barents Sea
Larus fuscus,22694373,1,Barents Sea
Larus hyperboreus,22694343,1,Barents Sea
Larus marinus,22694324,1,Barents Sea
Larus ridibundus,22694420,1,Barents Sea
Limosa lapponica,22693158,1,Barents Sea
Limosa limosa,22693150,1,Barents Sea
Luscinia svecica,22709707,1,Barents Sea
Lymnocryptes minimus,22693133,1,Barents Sea
Mareca penelope,22680157,1,Barents Sea
Melanitta fusca,22724836,1,Barents Sea
Melanitta nigra,22724879,1,Barents Sea
Mergellus albellus,22680465,1,Barents Sea
Mergus merganser,22680492,1,Barents Sea
Mergus serrator,22680485,1,Barents Sea
Morus bassanus,22696657,1,Barents Sea
Motacilla citreola,22718379,1,Barents Sea
Numenius arquata,22693190,1,Barents Sea
Numenius phaeopus,22693178,1,Barents Sea
Oenanthe oenanthe,22710272,1,Barents Sea
Pagophila eburnea,22694473,1,Barents Sea
Phalacrocorax aristotelis,22696894,1,Barents Sea
Phalacrocorax carbo,22696792,1,Barents Sea
Phalaropus fulicarius,22693494,1,Barents Sea
Phalaropus lobatus,22693490,1,Barents Sea
Pinguinus impennis,22694856,1,Barents Sea
Plectrophenax nivalis,22721043,1,Barents Sea
Pluvialis apricaria,22693727,1,Barents Sea
Pluvialis squatarola,22693749,1,Barents Sea
Podiceps auritus,22696606,1,Barents Sea
Polysticta stelleri,22680415,1,Barents Sea
Puffinus puffinus,22698226,1,Barents Sea
Rissa tridactyla,22694497,1,Barents Sea
Somateria mollissima,22680405,1,Barents Sea
Somateria spectabilis,22680409,1,Barents Sea
Spatula clypeata,22680247,1,Barents Sea
Stercorarius longicaudus,22694251,1,Barents Sea
Stercorarius parasiticus,22694245,1,Barents Sea
Stercorarius pomarinus,22694240,1,Barents Sea
Sterna hirundo,22694623,1,Barents Sea
Sterna paradisaea,22694629,1,Barents Sea
Sturnus vulgaris,22710886,1,Barents Sea
Tadorna tadorna,22680024,1,Barents Sea
Tringa erythropus,22693207,1,Barents Sea
Tringa nebularia,22693220,1,Barents Sea
Tringa totanus,22693211,1,Barents Sea
Uria aalge,22694841,1,Barents Sea
Uria lomvia,22694847,1,Barents Sea
Vanellus vanellus,22693949,1,Barents Sea
Xema sabini,22694479,1,Barents Sea
Xenus cinereus,22693251,1,Barents Sea
Phocoena phocoena,17027,1,Barents Sea
Balaenoptera acutorostrata,2474,1,Barents Sea
Phoca vitulina,17013,1,Barents Sea
Globicephala melas,9250,1,Barents Sea
Lagenorhynchus acutus,11141,1,Barents Sea
Cystophora cristata,6204,1,Barents Sea
Physeter macrocephalus,41755,1,Barents Sea
Delphinapterus leucas,6335,1,Barents Sea
Odobenus rosmarus,15106,1,Barents Sea
Halichoerus grypus,9660,1,Barents Sea
Erignathus barbatus,8010,1,Barents Sea
Balaenoptera musculus,2477,1,Barents Sea
Megaptera novaeangliae,13006,1,Barents Sea
Balaenoptera physalus,2478,1,Barents Sea
Balaenoptera borealis,2475,1,Barents Sea
Pagophilus groenlandicus,41671,1,Barents Sea
Lagenorhynchus albirostris,11142,1,Barents Sea
Eubalaena glacialis,41712,1,Barents Sea
Pusa hispida,41672,1,Barents Sea
Mesoplodon bidens,13241,1,Barents Sea
Monodon monoceros,13704,1,Barents Sea
Balaena mysticetus,2472,1,Barents Sea
Mesothuria intestinalis,180540,1,Barents Sea
Bathyplotes natans,180452,1,Barents Sea
Zostera marina,153538,1,Barents Sea
Ursus maritimus,22823,1,Barents Sea
Lutra lutra,12419,1,Barents Sea
Vulpes lagopus,899,1,Barents Sea
Thunnus thynnus,21860,1,Barents Sea
Acantholabrus palloni,186106,1,Barents Sea
Actitis hypoleucos,22693264,44,Norwegian Sea
Alauda arvensis,22717415,44,Norwegian Sea
Alca torda,22694852,44,Norwegian Sea
Alle alle,22694837,44,Norwegian Sea
