am_sid,am_cat,sciname,iucn_sid,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
NA,NA,Puffinus mauretanicus,22728432,Decreasing,CR,BOTW,22728432,NA,iucn-bli,0.8,-0.5
Rep-4381,VU,Dermochelys coriacea,46967863,Decreasing,CR,REPTILES_update,46967863,Southwest Indian,iucn,0.8,-0.5
Fis-29593,CR,Acipenser sturio,230,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-22711,CR,Anguilla anguilla,60344,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-29359,NA,Coryphaenoides rupestris,15522149,Unknown,CR,NA,NA,NA,am,0.8,NA
Fis-131824,CR,Dipturus batis,39397,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
Fis-23282,CR,Squatina squatina,39332,Decreasing,CR,NA,NA,NA,am,0.8,-0.5
ITS-554452,EN,Thalassarche chlororhynchos,22698425,Decreasing,EN,BOTW,22698425,NA,iucn-bli,0.6,-0.5
ITS-Mam-180526,EN,Balaenoptera borealis,2475,Unknown,EN,MARINE_MAMMALS_update,2475,NA,iucn,0.6,NA
ITS-Mam-180528,EN,Balaenoptera musculus,2477,Increasing,EN,MARINE_MAMMALS_update,2477,NA,iucn,0.6,0.5
ITS-Mam-180527,EN,Balaenoptera physalus,2478,Unknown,EN,MARINE_MAMMALS_update,2478,NA,iucn,0.6,NA
ITS-Mam-180537,EN,Eubalaena glacialis,41712,Unknown,EN,MARINE_MAMMALS_update,41712,NA,iucn,0.6,NA
Fis-23548,EN,Hippoglossus hippoglossus,10097,NA,EN,NA,NA,NA,am,0.6,NA
Fis-30636,EN,Sebastes fasciatus,20084,NA,EN,NA,NA,NA,am,0.6,NA
NA,NA,Pinguinus impennis,22694856,NA,EX,BOTW,22694856,NA,iucn-bli,1,NA
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0,0
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5
