am_sid.x,am_cat,sciname,iucn_sid.x,pop_trend,pop_cat,spp_group,id_no,iucn_subpop,spatial_source,cat_score,trend_score
ITS-176862,VU,Larus relictus,22694447,Decreasing,VU,BOTW,22694447,NA,iucn-bli,0.4,-0.5
ITS-176971,LC,Alca torda,22694852,Increasing,NT,BOTW,22694852,NA,iucn-bli,0.2,0.5
ITS-176982,LC,Alle alle,22694837,Decreasing,LC,BOTW,22694837,NA,iucn-bli,0,-0.5
ITS-175145,LC,Bucephala albeola,22680462,Increasing,LC,BOTW,22680462,NA,iucn-bli,0,0.5
ITS-175141,LC,Bucephala clangula,22680455,Stable,LC,BOTW,22680455,NA,iucn-bli,0,0
ITS-175144,LC,Bucephala islandica,22680459,Increasing,LC,BOTW,22680459,NA,iucn-bli,0,0.5
ITS-203446,LC,Calonectris diomedea,45061132,Decreasing,LC,BOTW,45061132,NA,iucn-bli,0,-0.5
ITS-176985,LC,Cepphus grylle,22694861,Increasing,LC,BOTW,22694861,NA,iucn-bli,0,0.5
ITS-176959,LC,Chlidonias niger,22694787,Decreasing,LC,BOTW,22694787,NA,iucn-bli,0,-0.5
ITS-175147,VU,Clangula hyemalis,22680427,Decreasing,VU,BOTW,22680427,NA,iucn-bli,0.4,-0.5
ITS-174525,VU,Diomedea exulans,22698305,Decreasing,VU,BOTW,22698305,NA,iucn-bli,0.4,-0.5
ITS-177025,LC,Fratercula arctica,22694927,Decreasing,VU,BOTW,22694927,NA,iucn-bli,0.4,-0.5
ITS-174763,LC,Fregata magnificens,22697724,Increasing,LC,BOTW,22697724,NA,iucn-bli,0,0.5
ITS-174536,LC,Fulmarus glacialis,22697866,Increasing,LC,BOTW,22697866,NA,iucn-bli,0,0.5
ITS-176882,LC,Gelochelidon nilotica,62026481,Decreasing,LC,BOTW,62026481,NA,iucn-bli,0,-0.5
ITS-175149,LC,Histrionicus histrionicus,22680423,Increasing,LC,BOTW,22680423,NA,iucn-bli,0,0.5
ITS-824065,LC,Hydrocoloeus minutus,22694469,Increasing,LC,BOTW,22694469,NA,iucn-bli,0,0.5
ITS-176824,LC,Larus argentatus,62030608,Decreasing,LC,BOTW,62030608,NA,iucn-bli,0,-0.5
ITS-560740,NA,Larus armenicus,22694357,Unknown,NT,BOTW,22694357,NA,iucn-bli,0.2,NA
ITS-554270,LC,Larus cachinnans,22735929,Stable,LC,BOTW,22735929,NA,iucn-bli,0,0
ITS-176832,LC,Larus canus,22694308,Unknown,LC,BOTW,22694308,NA,iucn-bli,0,NA
ITS-176830,LC,Larus delawarensis,22694317,Increasing,LC,BOTW,22694317,NA,iucn-bli,0,0.5
ITS-176821,LC,Larus fuscus,22694373,Increasing,LC,BOTW,22694373,NA,iucn-bli,0,0.5
ITS-176811,LC,Larus glaucoides,22694346,Stable,LC,BOTW,22694346,NA,iucn-bli,0,0
ITS-176808,LC,Larus hyperboreus,22694343,Stable,LC,BOTW,22694343,NA,iucn-bli,0,0
ITS-176815,LC,Larus marinus,22694324,Increasing,LC,BOTW,22694324,NA,iucn-bli,0,0.5
ITS-176858,LC,Larus melanocephalus,22694443,Stable,LC,BOTW,22694443,NA,iucn-bli,0,0
ITS-176835,LC,Larus ridibundus,22694420,Decreasing,LC,BOTW,22694420,NA,iucn-bli,0,-0.5
ITS-174594,LC,Macronectes giganteus,22697852,Increasing,LC,BOTW,22697852,NA,iucn-bli,0,0.5
ITS-175163,EN,Melanitta fusca,22724845,Decreasing,LC,BOTW,22724845,NA,iucn-bli,0,-0.5
ITS-175171,LC,Melanitta nigra,22724879,Unknown,LC,BOTW,22724879,NA,iucn-bli,0,NA
ITS-175187,LC,Mergus serrator,22680485,Stable,LC,BOTW,22680485,NA,iucn-bli,0,0
ITS-174712,LC,Morus bassanus,22696657,Increasing,LC,BOTW,22696657,NA,iucn-bli,0,0.5
ITS-174628,LC,Oceanodroma leucorhoa,22698511,Stable,LC,BOTW,22698511,NA,iucn-bli,0,0
ITS-176851,NT,Pagophila eburnea,22694473,Decreasing,NT,BOTW,22694473,NA,iucn-bli,0.2,-0.5
ITS-174733,LC,Phalacrocorax aristotelis,22696894,Decreasing,LC,BOTW,22696894,NA,iucn-bli,0,-0.5
ITS-174715,LC,Phalacrocorax carbo,22696792,Increasing,LC,BOTW,22696792,NA,iucn-bli,0,0.5
ITS-174725,LC,Phalacrocorax pelagicus,22728950,Decreasing,LC,BOTW,22728950,NA,iucn-bli,0,-0.5
ITS-175153,VU,Polysticta stelleri,22680415,Decreasing,VU,BOTW,22680415,NA,iucn-bli,0.4,-0.5
ITS-174590,LC,Pterodroma mollis,22698080,Stable,LC,BOTW,22698080,NA,iucn-bli,0,0
ITS-174555,LC,Puffinus puffinus,22698226,Decreasing,LC,BOTW,22698226,NA,iucn-bli,0,-0.5
ITS-176864,LC,Rhodostethia rosea,22694476,Unknown,LC,BOTW,22694476,NA,iucn-bli,0,NA
ITS-176875,LC,Rissa tridactyla,22694497,Decreasing,LC,BOTW,22694497,NA,iucn-bli,0,-0.5
ITS-175155,LC,Somateria mollissima,22680405,Unknown,NT,BOTW,22680405,NA,iucn-bli,0.2,NA
ITS-175160,LC,Somateria spectabilis,22680409,Decreasing,LC,BOTW,22680409,NA,iucn-bli,0,-0.5
ITS-176794,LC,Stercorarius longicaudus,22694251,Stable,LC,BOTW,22694251,NA,iucn-bli,0,0
ITS-660062,LC,Stercorarius maccormicki,22694218,Stable,LC,BOTW,22694218,NA,iucn-bli,0,0
ITS-176793,LC,Stercorarius parasiticus,22694245,Stable,LC,BOTW,22694245,NA,iucn-bli,0,0
ITS-176792,LC,Stercorarius pomarinus,22694240,Stable,LC,BOTW,22694240,NA,iucn-bli,0,0
ITS-660059,LC,Stercorarius skua,22694160,Stable,LC,BOTW,22694160,NA,iucn-bli,0,0
ITS-176891,NA,Sterna dougallii,22694601,Unknown,LC,BOTW,22694601,NA,iucn-bli,0,NA
ITS-176888,LC,Sterna hirundo,22694623,Decreasing,LC,BOTW,22694623,NA,iucn-bli,0,-0.5
ITS-176890,LC,Sterna paradisaea,22694629,Decreasing,LC,BOTW,22694629,NA,iucn-bli,0,-0.5
ITS-176927,LC,Sterna sandvicensis,22694591,Stable,LC,BOTW,22694591,NA,iucn-bli,0,0
ITS-824126,LC,Sternula albifrons,22694656,Decreasing,LC,BOTW,22694656,NA,iucn-bli,0,-0.5
ITS-554452,EN,Thalassarche chlororhynchos,22698425,Decreasing,EN,BOTW,22698425,NA,iucn-bli,0.6,-0.5
ITS-554453,NT,Thalassarche melanophris,22698375,Decreasing,NT,BOTW,22698375,NA,iucn-bli,0.2,-0.5
ITS-176974,LC,Uria aalge,22694841,Increasing,LC,BOTW,22694841,NA,iucn-bli,0,0.5
ITS-176978,LC,Uria lomvia,22694847,Increasing,LC,BOTW,22694847,NA,iucn-bli,0,0.5
ITS-176866,LC,Xema sabini,22694479,Stable,LC,BOTW,22694479,NA,iucn-bli,0,0
NA,NA,Actitis hypoleucos,22693264,Decreasing,LC,BOTW,22693264,NA,iucn-bli,0,-0.5
NA,NA,Alauda arvensis,22717415,Decreasing,LC,BOTW,22717415,NA,iucn-bli,0,-0.5
NA,NA,Anas acuta,22680301,Decreasing,LC,BOTW,22680301,NA,iucn-bli,0,-0.5
NA,NA,Mareca penelope,22680157,Decreasing,LC,BOTW,22680157,NA,iucn-bli,0,-0.5
NA,NA,Anser albifrons,22679881,Unknown,LC,BOTW,22679881,NA,iucn-bli,0,NA
NA,NA,Anser brachyrhynchus,22679872,Increasing,LC,BOTW,22679872,NA,iucn-bli,0,0.5
NA,NA,Anthus cervinus,22718560,Stable,LC,BOTW,22718560,NA,iucn-bli,0,0
NA,NA,Anthus petrosus,22718567,Stable,LC,BOTW,22718567,NA,iucn-bli,0,0
NA,NA,Anthus pratensis,22718556,Decreasing,NT,BOTW,22718556,NA,iucn-bli,0.2,-0.5
NA,NA,Anthus rubescens,22718575,Decreasing,LC,BOTW,22718575,NA,iucn-bli,0,-0.5
NA,NA,Ardea cinerea,22696993,Unknown,LC,BOTW,22696993,NA,iucn-bli,0,NA
NA,NA,Arenaria interpres,22693336,Decreasing,LC,BOTW,22693336,NA,iucn-bli,0,-0.5
NA,NA,Aythya ferina,22680358,Decreasing,VU,BOTW,22680358,NA,iucn-bli,0.4,-0.5
NA,NA,Aythya fuligula,22680391,Stable,LC,BOTW,22680391,NA,iucn-bli,0,0
NA,NA,Aythya marila,22680398,Decreasing,LC,BOTW,22680398,NA,iucn-bli,0,-0.5
NA,NA,Branta bernicla,22679946,Unknown,LC,BOTW,22679946,NA,iucn-bli,0,NA
NA,NA,Branta leucopsis,22679943,Increasing,LC,BOTW,22679943,NA,iucn-bli,0,0.5
NA,NA,Calcarius lapponicus,22721033,Increasing,LC,BOTW,22721033,NA,iucn-bli,0,0.5
NA,NA,Calidris alba,22693369,Unknown,LC,BOTW,22693369,NA,iucn-bli,0,NA
NA,NA,Calidris alpina,22693427,Decreasing,LC,BOTW,22693427,NA,iucn-bli,0,-0.5
NA,NA,Calidris canutus,22693363,Decreasing,NT,BOTW,22693363,NA,iucn-bli,0.2,-0.5
NA,NA,Calidris maritima,22693420,Decreasing,LC,BOTW,22693420,NA,iucn-bli,0,-0.5
NA,NA,Calidris minuta,22693379,Decreasing,LC,BOTW,22693379,NA,iucn-bli,0,-0.5
NA,NA,Calidris minutilla,22693396,Decreasing,LC,BOTW,22693396,NA,iucn-bli,0,-0.5
