CATCHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards,
0,0,0,0,0,0.008772991,0.000271952,0.000263106,0,0.006797632,0.005592549,6.84E-05,0.07815802,0.1243659,0.002443573,0.1817086,0.002107764,0.09521163,0.02772737,0.1175343,0.005295923,0.06132324,0.2747553,0.03638074,0.02836625,0.02250477,0.008049228,0.02180676,0.8629422,0.1840983,0.5548031,0.1729669,1.490103,0.3808854,0.1375381,5.26E-06,0.06400098,0.06753223,0.01463829,0.01630723,0.004273812,0.003473817,0.001326487,0,0.005322197,0.007201407,0.1696248,0.01032283,0.002166165,0,0,0,0,0.01147011,0.0191196,0.006671697,0.0920679,0.09603807,0,0,0.2125819,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008786433,0.000272241,0.000263776,0,0.006849512,0.00562658,6.88E-05,0.07908708,0.1246907,0.002496369,0.1836606,0.002152255,0.09583482,0.02812266,0.1184134,0.005319025,0.06316166,0.2811517,0.03672384,0.02881774,0.0225497,0.008136936,0.02232119,0.8698676,0.1880114,0.562381,0.1761659,1.522751,0.3837178,0.1387189,5.28E-06,0.06429565,0.06853879,0.0146263,0.01633986,0.004308686,0.003504012,0.001329109,0,0.00531899,0.007254276,0.1718558,0.0104672,0.002232688,0,0,0,0,0.01152103,0.01924364,0.006749084,0.09525764,0.1002654,0,0,0.2175933,0,0,0,0,0,0,0, 
0,0,0,0,0,0.00883169,0.000273884,0.000266598,0,0.006980529,0.00569233,6.99E-05,0.08059964,0.1261259,0.002555904,0.186995,0.002210829,0.09722439,0.0284883,0.1200695,0.005404898,0.06379551,0.2848247,0.03748481,0.02940826,0.02269101,0.008308251,0.02223874,0.8753653,0.188143,0.5715098,0.17892,1.538629,0.3913788,0.1420473,5.39E-06,0.06515222,0.06953574,0.01502914,0.01669381,0.00440134,0.003578038,0.001336348,0,0.005329155,0.007303491,0.1755105,0.01042654,0.002250585,0,0,0,0,0.01168936,0.01951172,0.006867707,0.09718914,0.1007438,0,0,0.2221216,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008895609,0.000277011,0.000270517,0,0.007106483,0.005768142,7.10E-05,0.0813996,0.1285946,0.002571468,0.1897424,0.002224747,0.09888209,0.02859616,0.1213568,0.00549576,0.06289768,0.2833755,0.03815104,0.02956718,0.02290303,0.00843263,0.02188622,0.87731,0.186398,0.5783784,0.1793751,1.533948,0.3986099,0.1451656,5.51E-06,0.06629235,0.07026574,0.01546898,0.01708276,0.004499878,0.003639811,0.001344594,0,0.005360555,0.007324094,0.1777277,0.01037423,0.00222667,0,0,0,0,0.01188792,0.01977555,0.00697542,0.09778585,0.1002069,0,0,0.2256009,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008953741,0.000280466,0.000274292,0,0.007167011,0.005847089,7.17E-05,0.08161163,0.130626,0.002563459,0.1906751,0.002215024,0.100031,0.02852849,0.1217083,0.005539053,0.06222245,0.2815715,0.03839651,0.02949977,0.02311611,0.008460775,0.02176791,0.8748295,0.1844058,0.5821272,0.1788346,1.521983,0.4036272,0.1472683,5.60E-06,0.06750121,0.07068362,0.01573748,0.01735138,0.004552121,0.003651471,0.001350494,0,0.005409332,0.007335206,0.1780522,0.01036864,0.002208178,0,0,0,0,0.01205343,0.01996467,0.007047398,0.09766708,0.09979194,0,0,0.228232,0,0,0,0,0,0,0, 
0,0,0,0,0,0.008997926,0.000283524,0.000277454,0,0.007173553,0.0059222,7.21E-05,0.08186997,0.1316836,0.002552256,0.1901909,0.00220691,0.1004422,0.02846426,0.1214327,0.005547096,0.06222619,0.2811444,0.03832109,0.02944154,0.02328976,0.008432517,0.02187802,0.8713319,0.1832965,0.5836862,0.1785008,1.513304,0.4066391,0.1484971,5.65E-06,0.06856216,0.07087514,0.01585338,0.01749604,0.004560114,0.003630346,0.001353917,0,0.005466613,0.007349127,0.1774359,0.01038521,0.002202709,0,0,0,0,0.01217251,0.02007916,0.007085992,0.09734806,0.09960395,0,0,0.2302149,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009031141,0.000286035,0.00027998,0,0.007163148,0.005987449,7.22E-05,0.08255572,0.1320922,0.002543564,0.1892539,0.002216426,0.100414,0.02844196,0.121089,0.005548412,0.06247438,0.2812195,0.03815575,0.02941708,0.02341876,0.008398666,0.02203629,0.8697364,0.1830512,0.5841717,0.1785191,1.509375,0.4083419,0.1491627,5.67E-06,0.06934128,0.07094196,0.01589194,0.01756072,0.0045522,0.003606604,0.001356163,0,0.005524825,0.007364834,0.1766604,0.01039329,0.002203005,0,0,0,0,0.01225203,0.02013988,0.00710249,0.09706932,0.099506,0,0,0.231707,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009057444,0.000288065,0.000281917,0,0.007156051,0.006038606,7.23E-05,0.0832751,0.1324027,0.002536218,0.1883961,0.002230498,0.1003551,0.02843798,0.1208753,0.005553073,0.06259809,0.2810499,0.03801806,0.02938884,0.0235128,0.008378618,0.0220337,0.8701029,0.1831655,0.5842143,0.1785652,1.508058,0.4093164,0.1495067,5.67E-06,0.06982447,0.07094292,0.01590727,0.01758569,0.004545492,0.00359129,0.001358105,0,0.005579364,0.007378163,0.1759921,0.01038891,0.002203816,0,0,0,0,0.01230173,0.02016787,0.007107301,0.09688974,0.09943017,0,0,0.2328264,0,0,0,0,0,0,0, 
0,0,0,0,0,0.00907822,0.000289672,0.000283308,0,0.007153974,0.00607464,7.23E-05,0.08357678,0.132771,0.00253015,0.1877111,0.002234818,0.1003981,0.02843602,0.1207468,0.005557459,0.06259442,0.2807901,0.03790818,0.02936203,0.02357993,0.008370001,0.02192285,0.8704906,0.1833321,0.5841016,0.1785075,1.507863,0.4099052,0.1496734,5.67E-06,0.07008148,0.07090753,0.01592257,0.0175944,0.004541546,0.003582141,0.001359929,0,0.005628239,0.00738866,0.1755261,0.01038288,0.002204475,0,0,0,0,0.01233071,0.02017889,0.00710714,0.09679287,0.09938782,0,0,0.233661,0,0,0,0,0,0,0, 
0,0,0,0,0,0.009093718,0.000290893,0.000284244,0,0.007154343,0.00609822,7.23E-05,0.08355429,0.1330118,0.002526486,0.187208,0.002231538,0.1004524,0.02843086,0.1206639,0.005559033,0.06259429,0.2807594,0.037807,0.02935625,0.0236245,0.008367938,0.02185856,0.8698185,0.1835006,0.584002,0.1784552,1.508259,0.4102815,0.1497449,5.66E-06,0.07020544,0.07085882,0.01594223,0.017597,0.004538652,0.003576766,0.001361648,0,0.00567108,0.007398318,0.1753026,0.01038135,0.002205525,0,0,0,0,0.01234727,0.02018325,0.007105459,0.09674684,0.09938269,0,0,0.2342791,0,0,0,0,0,0,0, 
