Num,Species,Gen_len
1,Nothocercus julius,6.75
2,Nothocercus bonapartei,6.75
3,Nothocercus nigrocapillus,6.75
4,Tinamus tao,6.75
5,Tinamus solitarius,6.75
6,Tinamus osgoodi,6.75
7,Tinamus major,6.75
8,Tinamus guttatus,6.75
9,Crypturellus berlepschi,6.75
10,Crypturellus cinereus,6.75
11,Crypturellus soui,6.75
12,Crypturellus ptaritepui,6.75
13,Crypturellus obsoletus,6.75
14,Crypturellus cinnamomeus,6.75
15,Crypturellus undulatus,6.75
16,Crypturellus transfasciatus,6.75
17,Crypturellus strigulosus,6.75
18,Crypturellus boucardi,6.75
19,Crypturellus kerriae,6.75
20,Crypturellus erythropus,6.75
21,Crypturellus duidae,6.75
22,Crypturellus noctivagus,6.75
23,Crypturellus atrocapillus,6.75
24,Crypturellus variegatus,6.75
25,Crypturellus brevirostris,6.75
26,Crypturellus bartletti,6.75
27,Crypturellus parvirostris,6.75
28,Crypturellus casiquiare,6.75
29,Crypturellus tataupa,6.75
30,Rhynchotus rufescens,6.75
31,Rhynchotus maculicollis,6.75
32,Nothoprocta taczanowskii,6.75
33,Nothoprocta ornata,6.75
34,Nothoprocta pentlandii,6.75
35,Nothoprocta cinerascens,6.75
36,Nothoprocta perdicaria,6.75
37,Nothoprocta curvirostris,6.75
38,Nothura darwinii,6.75
39,Nothura chacoensis,6.75
40,Nothura maculosa,6.75
41,Nothura minor,6.75
42,Nothura boraquira,6.75
43,Taoniscus nanus,6.75
44,Eudromia elegans,6.75
45,Eudromia formosa,6.75
46,Tinamotis pentlandii,6.75
47,Tinamotis ingoufi,6.75
48,Struthio camelus,16.75
49,Rhea americana,10.5
50,Rhea pennata,11
51,Casuarius casuarius,11.5
52,Casuarius bennetti,11.25
53,Casuarius unappendiculatus,11.25
54,Dromaius novaehollandiae,10.5
55,Dromaius ater,10.5
56,Dromaius baudinianus,10.5
57,Apteryx australis,8.75
58,Apteryx mantelli,8.75
59,Apteryx owenii,9
60,Apteryx haastii,8.833333333
61,Alectura lathami,13.5
62,Aepypodius arfakianus,13.5
63,Aepypodius bruijnii,13.5
64,Talegalla cuvieri,13.5
65,Talegalla fuscirostris,13.5
66,Talegalla jobiensis,13.5
67,Leipoa ocellata,16.75
68,Macrocephalon maleo,16.75
69,Eulipoa wallacei,4
70,Megapodius nicobariensis,4
71,Megapodius cumingii,4
72,Megapodius bernsteinii,4
73,Megapodius reinwardt,4
74,Megapodius tenimberensis,4
75,Megapodius freycinet,4
76,Megapodius geelvinkianus,4
77,Megapodius affinis,4
78,Megapodius eremita,4
79,Megapodius layardi,4
80,Megapodius laperouse,4
81,Megapodius pritchardii,4
82,Ortalis vetula,5.703703704
83,Ortalis cinereiceps,5.703703704
84,Ortalis garrula,5.703703704
85,Ortalis ruficauda,5.703703704
86,Ortalis erythroptera,5.703703704
87,Ortalis wagleri,5.703703704
88,Ortalis poliocephala,5.703703704
89,Ortalis canicollis,5.703703704
90,Ortalis leucogastra,5.703703704
91,Ortalis guttata,5.703703704
92,Ortalis columbiana,5.703703704
93,Ortalis motmot,5.703703704
94,Ortalis superciliaris,5.703703704
95,Penelope argyrotis,5.703703704
96,Penelope barbata,5.703703704
97,Penelope ortoni,5.703703704
98,Penelope montagnii,5.703703704
99,Penelope marail,5.703703704
100,Penelope superciliaris,5.703703704
101,Penelope dabbenei,5.703703704
102,Penelope purpurascens,5.703703704
103,Penelope perspicax,5.703703704
104,Penelope albipennis,5.703703704
105,Penelope jacquacu,5.703703704
106,Penelope obscura,5.703703704
107,Penelope pileata,5.703703704
108,Penelope ochrogaster,5.703703704
109,Penelope jacucaca,5.703703704
110,Pipile pipile,5.703703704
111,Pipile cumanensis,5.703703704
112,Pipile cujubi,5.703703704
113,Pipile jacutinga,5.703703704
114,Aburria aburri,5.703703704
115,Chamaepetes unicolor,5.703703704
116,Chamaepetes goudotii,5.703703704
117,Penelopina nigra,5.703703704
118,Oreophasis derbianus,5.703703704
119,Nothocrax urumutum,8.5
