assessment id,taxon id,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Common name,Category,Version,Criteria,PE?,PEW?,Assessment year,Population trend,Marine,Generation length,Depth upper limit,Depth lower limit
495994,10056,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Hippocampus,Hippocampus capensis,"Boulenger, 1900",Knysna Seahorse,EN,3.1,"B1ab(i,ii,iii,iv)c(ii)+2ab(i,ii,iii,iv)c(ii)",,,2012,4,t,1-3,0.5,20
497017,10072,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Hippocampus,Hippocampus ingens,"Girard, 1858",Giant Seahorse,VU,3.1,A2cd+4cd,,,2012,2,t,0-2,1,60
500601,11060,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,KUHLIIDAE,Kuhlia,Kuhlia marginata,"(Cuvier, 1829)",Silver Flagtail,LC,3.1,,,,2012,3,t,,0,50
500780,11150,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,TETRAODONTIDAE,Lagocephalus,Lagocephalus gloveri,"Abe &amp; Tabeta, 1983",Brown-backed Toadfish,DD,3.1,,,,2014,2,t,,1,100
505458,12137,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Lithognathus,Lithognathus lithognathus,"(Cuvier, 1829)",White Steenbras,EN,3.1,"A2bcd; B2ab(ii,v)",,,2014,2,t,13,0,25
512141,1308,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Anisotremus,Anisotremus moricandi,"(Ranzani, 1842)",Brownstriped Grunt,LC,3.1,,,,2015,4,t,,2,12
512306,13145,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINOPSIDAE,Menidia,Menidia conchorum,"Hildebrand &amp; Ginsburg, 1927",Key Silverside,EN,3.1,B1ab(iii)+2ab(iii),,,2015,2,t,,0,5
514996,13520,ANIMALIA,ARTHROPODA,MALACOSTRACA,MICTACEA,MICTOCARIDIDAE,Mictocaris,Mictocaris halope,"Bowman &amp; Iliffe, 1985",,CR,3.1,"B1ab(iii,iv)+2ab(iii,iv)",,,2014,4,t,,6,22
515308,135567,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Mugil,Mugil cephalus,"Linnaeus, 1758",Flathead Mullet,LC,3.1,,,,2012,3,t,,,
718371,154656,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE,Parioglossus,Parioglossus neocaledonicus,"Dingerkus &amp; Séret, 1992",,DD,3.1,,,,2012,4,t,,,
718871,154708,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Diplodus,Diplodus cervinus,"Lowe, 1838",Zebra Seabream,LC,3.1,,,,2014,2,t,,0,300
719858,154855,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Hippichthys,Hippichthys spicifer,"(Rüppell, 1838)",Bellybarred Pipefish,LC,3.1,,,,2012,4,t,,,
720254,154863,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MICRODESMIDAE,Parioglossus,Parioglossus taeniatus,"Regan, 1912",Striped Dartfish,LC,3.1,,,,2012,4,t,,,
722000,154976,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Drombus,Drombus halei,"Whitley, 1935",Hale's Drombus,LC,3.1,,,,2012,3,t,,,
722547,155018,ANIMALIA,CHORDATA,ACTINOPTERYGII,SILURIFORMES,ARIIDAE,Sciades,Sciades parkeri,"(Traill, 1832)",Gillbacker Sea Catfish,VU,3.1,A2bd,,,2015,2,t,11,15,20
726793,155163,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Haemulon,Haemulon striatum,"(Linnaeus, 1758)",Striped Grunt,LC,3.1,,,,2015,4,t,,1,100
727429,155201,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,AMBASSIDAE,Ambassis,Ambassis urotaenia,"Bleeker, 1852",Bleeker's Glass Perchlet,LC,3.1,,,,2012,3,t,,,
729102,155273,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Ostorhinchus,Ostorhinchus lateralis,"(Valenciennes, 1832)",Humpback Cardinal,LC,3.1,,,,2012,4,t,,0,2
729714,155285,ANIMALIA,CHORDATA,ACTINOPTERYGII,SYNGNATHIFORMES,SYNGNATHIDAE,Vanacampus,Vanacampus vercoi,"(Waite &amp; Hale, 1921)",Verco's Pipefish,VU,3.1,B1b(iii)c(ii)+2b(iii)c(ii),,,2012,4,t,,2,4
732242,155535,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE,Paludinella,Paludinella sicana,"(Brugnone, 1876)",,LC,3.1,,,,2014,4,t,,,
735697,155736,ANIMALIA,MOLLUSCA,BIVALVIA,VENEROIDA,CYRENIDAE,Corbicula,Corbicula fluminea,"(Müller, 1774)",Golden Freshwater Clam,LC,3.1,,,,2012,1,t,5,,
738398,155980,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Potamopyrgus,Potamopyrgus antipodarum,"(J.E. Gray, 1843)",New Zealand Mudsnail,LC,3.1,,,,2013,3,t,,,
788483,15873,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SPARIDAE,Pagrus,Pagrus pagrus,"(Linnaeus, 1758)",Red Porgy,LC,3.1,,,,2014,4,t,,0,250
901754,162494,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Semirossia,Semirossia patagonica,"(Smith, 1881)",,LC,3.1,,,,2012,4,t,,,
901868,162495,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Austrorossia,Austrorossia mastigophora,"(Chun, 1915)",,LC,3.1,,,,2012,4,t,,,640
902152,162496,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia tanybracheia,"Reid, 2000",,DD,3.1,,,,2012,4,t,,325,332
902289,162497,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia lycidas,"Gray, 1849",Kisslip Cuttlefish,DD,3.1,,,,2012,4,t,,15,100
902737,162498,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia hierredda,"Rang, 1835 (in Férussac &amp; d'Orbigny 1834-1848)",Giant African Cuttlefish,DD,3.1,,,,2012,4,t,,0,50
903030,162499,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIADARIIDAE,Sepioloidea,Sepioloidea lineolata,"(Quoy &amp; Gaimard, 1832)",Striped Pyjama Squid,DD,3.1,,,,2012,4,t,,,
903191,162500,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepiella,Sepiella inermis,"(Van Hasselt, 1835 in Férussac &amp; d'Orbigny 1834-1848)",Spineless Cuttlefish,DD,3.1,,,,2012,4,t,,,40
903699,162501,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia brachyura,"Verrill, 1883",,DD,3.1,,,,2012,4,t,,,
903824,162502,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Stoloteuthis,Stoloteuthis leucoptera,"(Verrill, 1878)",Leucoptera Bobtail Squid,DD,3.1,,,,2012,4,t,,160,700
904119,162503,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia koilados,"Reid, 2000",,LC,3.1,,,,2012,4,t,,182,203
904257,162504,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia pharaonis,"Ehrenberg, 1831",Pharaoh Cuttlefish,DD,3.1,,,,2012,4,t,,0,130
904969,162505,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia latimanus,"Quoy &amp; Gaimard, 1832",Broadclub Cuttlefish,DD,3.1,,,,2012,4,t,,0,30
905720,162506,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia murrayi,"Adam &amp; Rees, 1966",Frog Cuttlefish,DD,3.1,,,,2012,4,t,,106,106
906118,162508,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Sepiola,Sepiola parva,"Sasaki, 1913",Spotty Bobtail Squid,LC,3.1,,,,2012,4,t,,,
906314,162509,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia trygonina,"(Rochebrune, 1884)",Trident Cuttlefish,LC,3.1,,,,2012,4,t,,20,410
906617,162510,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia robsoni,"(Massy, 1927)",,DD,3.1,,,,2012,4,t,,17,37
906758,162511,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia tokioensis,"Ortmann, 1888",,DD,3.1,,,,2012,4,t,,,
906905,162512,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia longipes,"Sasaki, 1914",Longarm Cuttlefish,DD,3.1,,,,2012,4,t,,100,300
907105,162513,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia madokai,"Adam, 1939",Madokai's Cuttlefish,DD,3.1,,,,2012,4,t,,20,200
907364,162514,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia baxteri,"(Iredale, 1940)",,DD,3.1,,,,2012,4,t,,,
907492,162515,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIIDAE,Sepia,Sepia plana,"Lu &amp; Reid, 1997",,LC,3.1,,,,2012,4,t,,396,505
907630,162516,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Euprymna,Euprymna penares,"(Gray, 1849)",,DD,3.1,,,,2012,4,t,,,
907766,162517,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Rossia,Rossia glaucopis,"Loven, 1845",,DD,3.1,,,,2012,4,t,,,
907876,162518,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLOIDA,SEPIOLIDAE,Austrorossia,Austrorossia bipapillata,"(Sasaki, 1920)",Big-eyed Bobtail Squid,DD,3.1,,,,2012,4,t,,,432
