LANDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baleen whales,Toothed whales,Seals,Seabirds,Juvenile sharks,Spurdog,Large piscivorous sharks,Small sharks,Juvenile rays,Starry ray + others,Thornback & Spotted ray,Skate + cuckoo ray,"Juvenile Cod(0-2, 0-40cm)",Cod (adult),"Juvenile Whiting (0-1, 0-20cm)",Whiting (adult),"Juvenile Haddock (0-1, 0-20cm)",Haddock (adult),"Juvenile Saithe (0-3, 0-40cm)",Saithe (adult),Hake,Blue whiting,Norway pout,Other gadoids (large),Other gadoids (small),Monkfish,Gurnards,"Herring (juvenile 0, 1)",Herring (adult),Sprat,Mackerel,Horse mackerel,Sandeels,Plaice,Dab,Long-rough dab,Flounder,Sole,Lemon sole,Witch,Turbot and brill,Megrim,Halibut,Dragonets,Catfish (Wolf-fish),Large demersal fish,Small demersal fish,Miscellaneous filterfeeding pelagic fish,Squid & cuttlefish,Fish larvae,Carnivorous zooplankton,Herbivorous & Omnivorous zooplankton (copepods),Gelatinous zooplankton,Large crabs,Nephrops,Epifaunal macrobenthos (mobile grazers),Infaunal macrobenthos,Shrimp,Small mobile epifauna (swarming crustaceans),Small infauna (polychaetes),Sessile epifauna,Meiofauna,"Benthic microflora (incl. Bacteria, protozoa))","Planktonic microflora (incl. Bacteria, protozoa)",Phytoplankton,Detritus - DOM -water column,Detritus - POM - sediment,Discards
0,0,0,0,0,0.008643657,0.000271952,0.000263106,0,0.006797626,0.005275125,6.84E-05,0,0.118460127,0,0.147589961,0,0.087755712,0,0.117534081,0.004131489,0.06132324,0.2747553,0.033170154,0.02836625,0.019352263,0.000812953,0,0.859679457,0.176612836,0.347151849,0.17295647,1.490103,0.27611406,0.004206285,5.26E-06,0.002909684,0.067532216,0.010356764,0.004075808,0.003559103,0.002296795,0.001326487,0,0.005322197,0.005965025,0.1696248,0.010163126,0.00176531,0,0,0,0,0.01147011,0.018113208,0.006654265,0.0920679,0.044688654,0,0,0.2125819,0,0,0,0,0,0,0
0,0,0,0,0,0.0086569,0.000272241,0.000263776,0,0.006849506,0.005307225,6.88E-05,0,0.118769503,0,0.149175442,0,0.0883301,0,0.118413179,0.004149512,0.06316166,0.2811517,0.033482976,0.02881774,0.019390899,0.000821812,0,0.866578672,0.180366829,0.351893499,0.176155277,1.522751,0.278167343,0.004242397,5.28E-06,0.002923081,0.068538775,0.010348281,0.004083963,0.003588145,0.002316759,0.001329109,0,0.00531899,0.006008817,0.1718558,0.010305263,0.001819523,0,0,0,0,0.01152103,0.018230719,0.00673145,0.09525764,0.046655725,0,0,0.2175933,0,0,0,0,0,0,0
0,0,0,0,0,0.00870149,0.000273884,0.000266598,0,0.006980522,0.005369243,6.99E-05,0,0.12013655,0,0.151883756,0,0.089610855,0,0.120069276,0.004216504,0.06379551,0.2848247,0.034176791,0.02940826,0.019512414,0.000839114,0,0.872055586,0.180493078,0.357605579,0.178909211,1.538629,0.283721008,0.004344188,5.39E-06,0.002962023,0.069535725,0.010633295,0.004172429,0.003665304,0.002365703,0.001336348,0,0.005329155,0.006049583,0.1755105,0.010265232,0.001834108,0,0,0,0,0.01168936,0.018484688,0.006849763,0.09718914,0.046878335,0,0,0.2221216,0,0,0,0,0,0,0
0,0,0,0,0,0.008764467,0.000277011,0.000270517,0,0.007106476,0.005440752,7.10E-05,0,0.122488018,0,0.154115289,0,0.091138742,0,0.121356573,0.004287388,0.06289768,0.2833755,0.034784226,0.02956718,0.019694734,0.000851676,0,0.873992933,0.17881903,0.361903405,0.179364284,1.533948,0.288963026,0.004439554,5.51E-06,0.003013857,0.070265725,0.010944487,0.004269643,0.003747364,0.002406546,0.001344594,0,0.005360555,0.006066648,0.1777277,0.010213731,0.001814619,0,0,0,0,0.01188792,0.018734631,0.006957195,0.09778585,0.046628504,0,0,0.2256009,0,0,0,0,0,0,0
0,0,0,0,0,0.008821742,0.000280466,0.000274292,0,0.007167004,0.005515218,7.17E-05,0,0.124422953,0,0.15487286,0,0.092197682,0,0.121708073,0.004321162,0.06222245,0.2815715,0.035008033,0.02949977,0.019877965,0.000854519,0,0.871521811,0.176907833,0.364249107,0.178823816,1.521983,0.292600202,0.00450386,5.60E-06,0.003068816,0.070683605,0.011134454,0.004336781,0.00379087,0.002414255,0.001350494,0,0.005409332,0.006075852,0.1780522,0.010208228,0.001799549,0,0,0,0,0.01205343,0.018913796,0.007028985,0.09766708,0.046435414,0,0,0.228232,0,0,0,0,0,0,0
0,0,0,0,0,0.008865275,0.000283524,0.000277454,0,0.007173546,0.005586066,7.21E-05,0,0.125430331,0,0.154479576,0,0.092576681,0,0.121432473,0.004327436,0.06222619,0.2811444,0.034939269,0.02944154,0.02002729,0.000851665,0,0.868037436,0.175843637,0.365224606,0.178490036,1.513304,0.294783609,0.00454144,5.65E-06,0.00311705,0.070875125,0.011216454,0.004372937,0.003797526,0.002400288,0.001353917,0,0.005466613,0.006087383,0.1774359,0.010224541,0.001795092,0,0,0,0,0.01217251,0.01902226,0.007067478,0.09734806,0.046347938,0,0,0.2302149,0,0,0,0,0,0,0
0,0,0,0,0,0.008898001,0.000286035,0.00027998,0,0.007163141,0.005647612,7.22E-05,0,0.125819528,0,0.153718512,0,0.09255069,0,0.121088774,0.004328463,0.06247438,0.2812195,0.03478852,0.02941708,0.02013822,0.000848246,0,0.866447968,0.175608311,0.365528393,0.178508335,1.509375,0.296018015,0.004561796,5.67E-06,0.003152471,0.070941945,0.011243736,0.004389103,0.003790936,0.00238459,0.001356163,0,0.005524825,0.006100394,0.1766604,0.010232496,0.001795333,0,0,0,0,0.01225203,0.019079783,0.007083933,0.09706932,0.04630236,0,0,0.231707,0,0,0,0,0,0,0
0,0,0,0,0,0.008923916,0.000288065,0.000281917,0,0.007156044,0.005695865,7.23E-05,0,0.126115283,0,0.153021778,0,0.092496402,0,0.120875074,0.004332099,0.06259809,0.2810499,0.034662982,0.02938884,0.020219086,0.000846221,0,0.866813082,0.175717964,0.365555049,0.178554433,1.508058,0.296724456,0.004572317,5.67E-06,0.003174438,0.070942905,0.011254582,0.004395344,0.00378535,0.002374465,0.001358105,0,0.005579364,0.006111434,0.1759921,0.010228184,0.001795994,0,0,0,0,0.01230173,0.0191063,0.007088731,0.09688974,0.046267074,0,0,0.2328264,0,0,0,0,0,0,0
0,0,0,0,0,0.008944386,0.000289672,0.000283308,0,0.007153967,0.005729854,7.23E-05,0,0.126466093,0,0.152465397,0,0.092536035,0,0.120746575,0.004335521,0.06259442,0.2807901,0.034562798,0.02936203,0.020276813,0.000845351,0,0.867199317,0.17587779,0.36548453,0.178496736,1.507863,0.297151293,0.004577415,5.67E-06,0.003186123,0.070907515,0.011265407,0.004397521,0.003782063,0.002368416,0.001359929,0,0.005628239,0.006120129,0.1755261,0.010222247,0.001796531,0,0,0,0,0.01233071,0.01911674,0.007088571,0.09679287,0.046247368,0,0,0.233661,0,0,0,0,0,0,0
0,0,0,0,0,0.008959655,0.000290893,0.000284244,0,0.007154336,0.005752095,7.23E-05,0,0.126695458,0,0.152056762,0,0.092586083,0,0.120663675,0.004336748,0.06259429,0.2807594,0.034470548,0.02935625,0.020315139,0.000845142,0,0.866529758,0.176039439,0.365422208,0.178444439,1.508259,0.297424083,0.004579601,5.66E-06,0.003191758,0.070858805,0.011279317,0.004398171,0.003779653,0.002364862,0.001361648,0,0.00567108,0.006128129,0.1753026,0.010220741,0.001797386,0,0,0,0,0.01234727,0.019120871,0.007086894,0.09674684,0.046244981,0,0,0.2342791,0,0,0,0,0,0,0
