Fgnum,Z,M
1,0.02,0.02
2,0.02,0.02
3,0.09,0.09
4,0.28,0.28
5,0.5,0.5
6,0.6,0.07738229
7,0.48,0.344035
8,0.51,0.3784136
9,0.66,0.660000034
10,0.66,0.5976629
11,0.78,0.6952969
12,0.35,0.3486316
13,1.79,1.1609371
14,1.19,0.4177882
15,2.36,2.2483769
16,0.89,0.37455804
17,2,1.6847668
18,1.14,0.224884289
19,1,0.8019121
20,0.95,0.41634367
21,0.82,0.441746
22,2.5,1.7378154
23,2.2,2.0038323
24,1.27,0.55965882
25,2.3,2.159944
26,0.7,0.16427438
27,0.82,0.7155531
28,1.31,1.05702567
29,0.8,0.3629331
30,2.28,1.9656521
31,0.6,0.2786265
32,1.2,0.9023576
33,2.28,1.8065073
34,0.85,0.30790052
35,0.672,0.6261355
36,0.7,7.00E-01
37,1.1,0.84392195
38,0.8,0.37426213
39,0.864,0.8158484
40,0.9,0.7007213
41,0.86,0.78089614
42,0.72,0.61789161
43,0.16,0.119808618
44,1.5,1.5000005
45,0.48,0.0996742
46,0.55,0.12650439
47,1.42,0.95737757
48,4,3.65491392
49,4.5,4.4731177
50,4,3.99999996
51,4,3.99999996
52,9.2,9.2
53,2.858,2.8580002
54,0.5540781,0.54560935
55,0.37,0.3526375
56,0.3883938,3.88E-01
57,1,0.9993323
58,3,2.81327
59,1.9,1.8999998
60,0.9,0.89999996
61,0.26,0.257990261
62,35,34.9999997
63,9470,9470.0004
64,571,571
65,286.6667,286.66667
