sppid,fg,spp,FGname,CommonName,RLI,RLstatus,LPI,GenLength,model
1,1,Balaenoptera borealis,Baleen whales,Sei whale ,1,EN,1,23.3,0
2,1,Cetorhinus maximus,Baleen whales,Basking shark,1,VU,1,61.5,1
3,1,Balaenoptera physalus,Baleen whales,Fin whale,1,EN,1,25.9,0
4,1,Balaenoptera musculus,Baleen whales,Blue whale,1,EN,1,31,0
5,1,Balaenoptera acutorostrata,Baleen whales,Minke whale,1,LC,1,22,1
6,2,Tursiops truncatus,Toothed whales,Common bottlenose dolphin,1,LC,1,17.6,0
7,2,Lagenorhynchus acutus,Toothed whales,Atlantic white-sided dolphin ,1,LC,1,12.7,1
8,2,Globicephala melas,Toothed whales,Long finned pilot whale ,1,DD,1,24,0
9,2,Kogia breviceps,Toothed whales,Pygmy sperm whale,1,DD,0,12,0
10,2,Ziphius cavirostris,Toothed whales,Cuvier's beaked whale,1,LC,1,17.7,0
11,2,Pseudorca crassidens,Toothed whales,False killer whale ,1,DD,1,19.8,0
12,2,Lagenorhynchus albirostris,Toothed whales,White beaked dolphin,1,LC,0,15.5,1
13,2,Grampus griseus,Toothed whales,Risso's dolphin,1,LC,1,20,0
14,2,Orcinus orca,Toothed whales,Orca,1,DD,1,25.6,0
15,2,Phocoena phocoena,Toothed whales,Harbour porpoise,1,LC,1,8.3,1
16,2,Stenella coeruleoalba,Toothed whales,Striped dolphin ,1,LC,1,21.7,0
17,2,Hyperoodon ampullatus,Toothed whales,North atlantic bottlenose whale,1,DD,1,17.6,0
18,2,Delphinus delphis,Toothed whales,Short beaked common dolphin ,1,LC,1,9.7,0
19,3,Halichoerus grypus,Seals,Grey seal,1,LC,1,14,1
20,3,Phoca vitulina,Seals,Harbour seal,1,LC,1,13.5,1
21,4,Catharacta skua,Seabirds,Great skua,1,LC,1,17.5,1
22,4,Hydrobates pelagicus,Seabirds,European storm petrol,1,LC,1,15.7,0
