year,fmsy0,fmsy1,fmsy2
1981,4638.356752,4707.31191,2214.049726
1982,4132.412419,4208.650753,3639.879666
1983,1072.48244,3959.698105,5021.687618
1984,5744.619167,5736.762676,5822.067281
1985,6118.105793,6156.271891,5773.382628
1986,6260.035325,6321.523098,6230.17319
1987,6501.636999,6554.434832,5654.799199
1988,1599.579709,1605.056433,1743.81269
1989,4169.137544,3777.39885,5183.349463
1990,6846.104409,7022.15995,1663.108782
1991,7246.693119,7352.76998,4478.428905
1992,7076.241361,7145.679527,7353.798468
1993,7580.455561,7604.890616,7916.043149
1994,7955.107584,8073.509361,8357.892922
1995,8397.24715,1562.153258,8836.674077
1996,7964.134389,8684.650641,9241.485169
1997,9142.705535,9341.074278,5127.310383
1998,9634.851205,9802.36852,10294.59412
1999,10157.5629,7121.387833,6506.298344
2000,10575.64084,10799.15594,11445.6632
2001,10203.99805,11154.1552,11323.39918
2002,11314.98199,11520.50336,12073.44535
2003,7586.203059,6010.270966,8742.474682
2004,11510.02802,10699.47315,12525.30653
2005,11411.15728,11689.97144,12211.94845
2006,12056.73846,12332.00707,12874.34231
2007,12386.446,12384.23817,11909.9142
2008,12716.42989,11697.1622,8525.542996
2009,13267.09066,10589.80642,14201.72223
2010,13654.45236,6401.437607,14558.58818
2011,13729.27636,13494.97505,14963.65051
2012,13309.41635,13643.22736,12893.04272
2013,14377.50737,14186.40477,15493.09601
2014,14468.79254,14815.47982,6727.524549
2015,14981.27598,13158.17429,16576.04767
