"year","DemPel","scenario"
1980,1.17663239429367,"fmsy0"
1981,1.09539023866072,"fmsy0"
1982,1.19441539255513,"fmsy0"
1983,1.22650995348501,"fmsy0"
1984,1.20282735832586,"fmsy0"
1985,1.23585434540368,"fmsy0"
1986,1.29580739573829,"fmsy0"
1987,1.07659595811543,"fmsy0"
1988,1.00524363607253,"fmsy0"
1989,1.15493193541556,"fmsy0"
1990,1.15000075649679,"fmsy0"
1991,1.13721260419705,"fmsy0"
1992,1.10295187699254,"fmsy0"
1993,1.24149707297763,"fmsy0"
1994,1.26065663263703,"fmsy0"
1995,1.15195536986577,"fmsy0"
1996,1.2493441334902,"fmsy0"
1997,1.19594686041422,"fmsy0"
1998,1.03331425587619,"fmsy0"
1999,1.12192541661519,"fmsy0"
2000,1.16915769549795,"fmsy0"
2001,1.2092850413512,"fmsy0"
2002,1.22000817413894,"fmsy0"
2003,1.14630730153076,"fmsy0"
2004,1.27414265423767,"fmsy0"
2005,1.34641514455287,"fmsy0"
2006,1.21519080313713,"fmsy0"
2007,1.2650527999117,"fmsy0"
2008,1.1524463464279,"fmsy0"
2009,1.04691127223153,"fmsy0"
2010,1.16836812793539,"fmsy0"
2011,1.25759647521342,"fmsy0"
2012,1.15558162463593,"fmsy0"
2013,1.21351447246096,"fmsy0"
2014,1.2721308883222,"fmsy0"
2015,1.28251738776006,"fmsy0"
1980,1.31504919943071,"fmsy1"
1981,1.07666286209186,"fmsy1"
1982,0.929434548634325,"fmsy1"
1983,0.843835664919853,"fmsy1"
1984,0.682873742589286,"fmsy1"
1985,0.683675919043591,"fmsy1"
1986,0.69037556700152,"fmsy1"
1987,0.655912465380395,"fmsy1"
1988,0.601452088705948,"fmsy1"
1989,0.583113276681941,"fmsy1"
1990,0.602023489001856,"fmsy1"
1991,0.547319682765586,"fmsy1"
1992,0.590054566181891,"fmsy1"
1993,0.571369777999387,"fmsy1"
1994,0.543313413185563,"fmsy1"
1995,0.573661498563015,"fmsy1"
1996,0.382431578853154,"fmsy1"
1997,0.406263022951059,"fmsy1"
1998,0.48570062150761,"fmsy1"
1999,0.558691022745024,"fmsy1"
2000,0.35030762970087,"fmsy1"
2001,0.277527998299707,"fmsy1"
2002,0.395613652010768,"fmsy1"
2003,0.498803967182107,"fmsy1"
2004,0.484203199252971,"fmsy1"
2005,0.497639237497683,"fmsy1"
2006,0.511025031751527,"fmsy1"
2007,0.508429116018391,"fmsy1"
2008,0.518995328568164,"fmsy1"
2009,0.546111118158748,"fmsy1"
2010,0.549628979310892,"fmsy1"
2011,0.544244641254829,"fmsy1"
2012,0.557807635183701,"fmsy1"
2013,0.174826925604913,"fmsy1"
2014,0.262538597499575,"fmsy1"
2015,0.403736552131912,"fmsy1"
1980,1.15067055859988,"fmsy2"
1981,0.861598950034644,"fmsy2"
1982,0.115678974454562,"fmsy2"
1983,0.13193689191231,"fmsy2"
1984,0.254559646590094,"fmsy2"
1985,0.445381040177129,"fmsy2"
1986,0.233186453681017,"fmsy2"
1987,0.285852060085562,"fmsy2"
1988,0.351920305356764,"fmsy2"
1989,0.299158899506948,"fmsy2"
1990,0.308252822543281,"fmsy2"
1991,0.338792084524594,"fmsy2"
1992,0.355029522752477,"fmsy2"
1993,0.315317269789687,"fmsy2"
1994,0.256457834314265,"fmsy2"
1995,0.310835523078674,"fmsy2"
1996,0.346703722832706,"fmsy2"
1997,0.288131387269341,"fmsy2"
1998,0.289766466286332,"fmsy2"
1999,0.280409264143045,"fmsy2"
2000,0.302672349208112,"fmsy2"
2001,0.294599612409178,"fmsy2"
2002,0.30638962075246,"fmsy2"
2003,0.292826705311028,"fmsy2"
2004,0.318939548565284,"fmsy2"
2005,0.311316925101063,"fmsy2"
2006,0.314867825787233,"fmsy2"
2007,0.294785949138049,"fmsy2"
2008,0.309409566598514,"fmsy2"
2009,0.290505679912228,"fmsy2"
2010,0.306166708223873,"fmsy2"
2011,0.308826011462005,"fmsy2"
2012,0.304853165603232,"fmsy2"
2013,0.328478993752543,"fmsy2"
2014,0.322854034826385,"fmsy2"
2015,0.318488435365822,"fmsy2"
