"year","DemPP","scenario"
1980,0.410391423342233,"fmsy0"
1981,0.101508588034862,"fmsy0"
1982,0.502860000913659,"fmsy0"
1983,0.502862906583014,"fmsy0"
1984,0.503884335400818,"fmsy0"
1985,0.503578062551527,"fmsy0"
1986,0.121312397798289,"fmsy0"
1987,0.307135584764528,"fmsy0"
1988,0.497721388572498,"fmsy0"
1989,0.519601198859367,"fmsy0"
1990,0.489889136636382,"fmsy0"
1991,0.50611648221516,"fmsy0"
1992,0.507562820464394,"fmsy0"
1993,0.50733003223438,"fmsy0"
1994,0.460739002133389,"fmsy0"
1995,0.51877632914852,"fmsy0"
1996,0.526548270752109,"fmsy0"
1997,0.526512130764429,"fmsy0"
1998,0.528425049840451,"fmsy0"
1999,0.49834984041483,"fmsy0"
2000,0.531486685724458,"fmsy0"
2001,0.359441100664316,"fmsy0"
2002,0.53500375779641,"fmsy0"
2003,0.517443772585553,"fmsy0"
2004,0.53043483134146,"fmsy0"
2005,0.537292251451005,"fmsy0"
2006,0.535150310797972,"fmsy0"
2007,0.537693597676839,"fmsy0"
2008,0.525900459519883,"fmsy0"
2009,0.521088359548958,"fmsy0"
2010,0.499320484545184,"fmsy0"
2011,0.527448137396856,"fmsy0"
2012,0.529043259565319,"fmsy0"
2013,0.53469723094505,"fmsy0"
2014,0.51770560224062,"fmsy0"
2015,0.546575070649549,"fmsy0"
1980,0.470367882666558,"fmsy1"
1981,0.399245606142936,"fmsy1"
1982,0.349179515673925,"fmsy1"
1983,0.312001165142596,"fmsy1"
1984,0.285387163001597,"fmsy1"
1985,0.266486641177335,"fmsy1"
1986,0.170425991162764,"fmsy1"
1987,0.247541145872478,"fmsy1"
1988,0.231478633224455,"fmsy1"
1989,0.231737865939703,"fmsy1"
1990,0.19514401148792,"fmsy1"
1991,0.195907744123562,"fmsy1"
1992,0.206450413098064,"fmsy1"
1993,0.211142598948951,"fmsy1"
1994,0.043396036705782,"fmsy1"
1995,0.212464680570331,"fmsy1"
1996,0.217759720394451,"fmsy1"
1997,0.149261855607339,"fmsy1"
1998,0.216932592680628,"fmsy1"
1999,0.169700933031649,"fmsy1"
2000,0.215426267757579,"fmsy1"
2001,0.215366911325502,"fmsy1"
2002,0.221832543942661,"fmsy1"
2003,0.212092182677578,"fmsy1"
2004,0.2170030382298,"fmsy1"
2005,0.20186004254664,"fmsy1"
2006,0.160572811822885,"fmsy1"
2007,0.216270996895489,"fmsy1"
2008,0.21922494926883,"fmsy1"
2009,0.223142043568678,"fmsy1"
2010,0.223241961203192,"fmsy1"
2011,0.20085228508355,"fmsy1"
2012,0.227786402211892,"fmsy1"
2013,0.225487030788035,"fmsy1"
2014,0.230530129865873,"fmsy1"
2015,0.231474095527809,"fmsy1"
1980,0.359939366266764,"fmsy2"
1981,0.318343576441946,"fmsy2"
1982,0.261054349200643,"fmsy2"
1983,0.200134137209297,"fmsy2"
1984,0.186014708667968,"fmsy2"
1985,0.145137155497674,"fmsy2"
1986,0.0406724800028648,"fmsy2"
1987,0.112223902543983,"fmsy2"
1988,0.032972926293552,"fmsy2"
1989,0.0852520302922908,"fmsy2"
1990,0.130541038101716,"fmsy2"
1991,0.128918662618569,"fmsy2"
1992,0.1308722334231,"fmsy2"
1993,0.129768946722392,"fmsy2"
1994,0.127809122641731,"fmsy2"
1995,0.0671625970028474,"fmsy2"
1996,0.126714752275955,"fmsy2"
1997,0.07672161984889,"fmsy2"
1998,0.130302961720935,"fmsy2"
1999,0.125075705198748,"fmsy2"
2000,0.128897064142168,"fmsy2"
2001,0.0919467760352102,"fmsy2"
2002,0.12697492642334,"fmsy2"
2003,0.118543236517217,"fmsy2"
2004,0.122166215169508,"fmsy2"
2005,0.111961294525232,"fmsy2"
2006,0.0777478157005157,"fmsy2"
2007,0.126221512534095,"fmsy2"
2008,0.12517609318579,"fmsy2"
2009,0.125710607800419,"fmsy2"
2010,0.106686534346207,"fmsy2"
2011,0.124938560706279,"fmsy2"
2012,0.0536643617773024,"fmsy2"
2013,0.12997919774287,"fmsy2"
2014,0.105358743276089,"fmsy2"
2015,0.130814542838309,"fmsy2"
