"year","PropPel","scenario"
1981,8.20475138103913e-05,"fmsy0"
1982,8.43817902252887e-05,"fmsy0"
1983,8.63254748011315e-05,"fmsy0"
1984,7.3274837450062e-05,"fmsy0"
1985,6.70024313633424e-05,"fmsy0"
1986,6.69085172513022e-05,"fmsy0"
1987,6.26628297347382e-05,"fmsy0"
1988,5.84907817070514e-05,"fmsy0"
1989,6.84111690792242e-05,"fmsy0"
1990,7.23116083805718e-05,"fmsy0"
1991,6.20746040324359e-05,"fmsy0"
1992,6.01915706451548e-05,"fmsy0"
1993,5.87024493670729e-05,"fmsy0"
1994,5.78405735523478e-05,"fmsy0"
1995,4.8658220335208e-05,"fmsy0"
1996,4.58843999491929e-05,"fmsy0"
1997,4.92518180794941e-05,"fmsy0"
1998,4.37387154185242e-05,"fmsy0"
1999,4.33375369279602e-05,"fmsy0"
2000,4.83507504565027e-05,"fmsy0"
2001,4.35268672028715e-05,"fmsy0"
2002,4.01723325593564e-05,"fmsy0"
2003,3.91757525005501e-05,"fmsy0"
2004,3.80960528957629e-05,"fmsy0"
2005,3.95543595892426e-05,"fmsy0"
2006,3.45261474127409e-05,"fmsy0"
2007,3.22143828208799e-05,"fmsy0"
2008,3.46283625435383e-05,"fmsy0"
2009,3.20344876753311e-05,"fmsy0"
2010,3.34177144301084e-05,"fmsy0"
2011,3.62511857980426e-05,"fmsy0"
2012,3.2107614616372e-05,"fmsy0"
2013,2.91692086598536e-05,"fmsy0"
2014,3.16394010569916e-05,"fmsy0"
2015,2.94093334873922e-05,"fmsy0"
1981,0.000123269735217699,"fmsy1"
1982,0.000134551515744091,"fmsy1"
1983,9.01240202199635e-05,"fmsy1"
1984,7.34253040068731e-05,"fmsy1"
1985,8.22545119598006e-05,"fmsy1"
1986,7.19797227727957e-05,"fmsy1"
1987,6.27436421666481e-05,"fmsy1"
1988,6.50116033198515e-05,"fmsy1"
1989,7.10075660991975e-05,"fmsy1"
1990,5.85119004611406e-05,"fmsy1"
1991,5.3036523457137e-05,"fmsy1"
1992,5.5857772218767e-05,"fmsy1"
1993,5.35029730243173e-05,"fmsy1"
1994,4.71044964504152e-05,"fmsy1"
1995,4.43570975389057e-05,"fmsy1"
1996,4.38464096958335e-05,"fmsy1"
1997,4.11999994731992e-05,"fmsy1"
1998,3.98524944679641e-05,"fmsy1"
1999,3.92182568863561e-05,"fmsy1"
2000,3.54924461114256e-05,"fmsy1"
2001,3.56503156990685e-05,"fmsy1"
2002,3.93332641783462e-05,"fmsy1"
2003,4.18519019917676e-05,"fmsy1"
2004,3.69376586463111e-05,"fmsy1"
2005,3.64248373338385e-05,"fmsy1"
2006,3.31633498357286e-05,"fmsy1"
2007,3.20874298998048e-05,"fmsy1"
2008,3.03590930468774e-05,"fmsy1"
2009,3.1266158967288e-05,"fmsy1"
2010,3.25440952356103e-05,"fmsy1"
2011,0.000280097236928838,"fmsy1"
2012,0.000172140902144493,"fmsy1"
2013,6.6856507985985e-05,"fmsy1"
2014,2.94469375475545e-05,"fmsy1"
2015,3.83123800861586e-05,"fmsy1"
1981,9.60404916130071e-05,"fmsy2"
1982,8.59155987419147e-05,"fmsy2"
1983,7.35622089041723e-05,"fmsy2"
1984,0.000387547281807762,"fmsy2"
1985,0.000262693523741816,"fmsy2"
1986,0.000117270264513521,"fmsy2"
1987,5.7617299596143e-05,"fmsy2"
1988,9.99651277954578e-05,"fmsy2"
1989,7.57268291124447e-05,"fmsy2"
1990,5.63029893129487e-05,"fmsy2"
1991,6.3618021056015e-05,"fmsy2"
1992,5.75796768400273e-05,"fmsy2"
1993,4.80639572447828e-05,"fmsy2"
1994,4.40995627502025e-05,"fmsy2"
1995,4.65677270685614e-05,"fmsy2"
1996,5.39208985451763e-05,"fmsy2"
1997,4.21330145434322e-05,"fmsy2"
1998,3.54990933141179e-05,"fmsy2"
1999,4.09191378657865e-05,"fmsy2"
2000,3.9285045267546e-05,"fmsy2"
2001,3.93881363494122e-05,"fmsy2"
2002,3.52698073910825e-05,"fmsy2"
2003,3.56960596016499e-05,"fmsy2"
2004,3.30842189114575e-05,"fmsy2"
2005,3.31471027960562e-05,"fmsy2"
2006,2.97497937968107e-05,"fmsy2"
2007,3.01939605258114e-05,"fmsy2"
2008,2.89592243092176e-05,"fmsy2"
2009,3.01477570921466e-05,"fmsy2"
2010,2.77868018591981e-05,"fmsy2"
2011,2.89168325167488e-05,"fmsy2"
2012,2.7024803072737e-05,"fmsy2"
2013,2.61105718381906e-05,"fmsy2"
2014,2.6162269697012e-05,"fmsy2"
2015,2.38703652355461e-05,"fmsy2"
