"year","TL_all","scenario"
1981,2.16319385568337,"fmsy0"
1982,2.14220967266333,"fmsy0"
1983,1.99892285220775,"fmsy0"
1984,2.18040847973533,"fmsy0"
1985,2.16509359614698,"fmsy0"
1986,2.16618618838823,"fmsy0"
1987,2.20731827341385,"fmsy0"
1988,2.05056272519508,"fmsy0"
1989,2.16109758177387,"fmsy0"
1990,2.18168047801514,"fmsy0"
1991,2.1829329044677,"fmsy0"
1992,2.17867588363344,"fmsy0"
1993,2.18275143201351,"fmsy0"
1994,2.19076800111518,"fmsy0"
1995,2.19749965022852,"fmsy0"
1996,2.19678522396548,"fmsy0"
1997,2.1998960443599,"fmsy0"
1998,2.1924606829197,"fmsy0"
1999,2.19814975711811,"fmsy0"
2000,2.20653843819709,"fmsy0"
2001,2.20227744738423,"fmsy0"
2002,2.21130540521923,"fmsy0"
2003,2.17042201278972,"fmsy0"
2004,2.18688328651052,"fmsy0"
2005,2.19198647328149,"fmsy0"
2006,2.19176762393086,"fmsy0"
2007,2.1862862348119,"fmsy0"
2008,2.19421087178854,"fmsy0"
2009,2.19651174725877,"fmsy0"
2010,2.20359254771483,"fmsy0"
2011,2.19395478601372,"fmsy0"
2012,2.20078431426436,"fmsy0"
2013,2.19356292711988,"fmsy0"
2014,2.18932756147863,"fmsy0"
2015,2.19161869000942,"fmsy0"
1981,2.15423697103257,"fmsy1"
1982,2.15911664467266,"fmsy1"
1983,2.13114149762331,"fmsy1"
1984,2.17451022968512,"fmsy1"
1985,2.15191984520276,"fmsy1"
1986,2.15309224079501,"fmsy1"
1987,2.16721023313842,"fmsy1"
1988,2.04712461912795,"fmsy1"
1989,2.14241410012334,"fmsy1"
1990,2.16833368744784,"fmsy1"
1991,2.16287617968729,"fmsy1"
1992,2.16730874139898,"fmsy1"
1993,2.16975421786235,"fmsy1"
1994,2.17514997687389,"fmsy1"
1995,2.08556276228757,"fmsy1"
1996,2.18254457800686,"fmsy1"
1997,2.19370321657551,"fmsy1"
1998,2.17772961749638,"fmsy1"
1999,2.16957391486385,"fmsy1"
2000,2.1864746517928,"fmsy1"
2001,2.18668619341879,"fmsy1"
2002,2.20082311506419,"fmsy1"
2003,2.1502138446972,"fmsy1"
2004,2.16856159840994,"fmsy1"
2005,2.17752024542612,"fmsy1"
2006,2.18353742162282,"fmsy1"
2007,2.17593265722627,"fmsy1"
2008,2.18667599236569,"fmsy1"
2009,2.17823640843591,"fmsy1"
2010,2.1504302621061,"fmsy1"
2011,2.23384353356879,"fmsy1"
2012,2.22018638061633,"fmsy1"
2013,2.20649473868135,"fmsy1"
2014,2.18928363918373,"fmsy1"
2015,2.18564006115457,"fmsy1"
1981,2.10230776580457,"fmsy2"
1982,2.13595844458251,"fmsy2"
1983,2.12828444283118,"fmsy2"
1984,2.2039004119371,"fmsy2"
1985,2.18429342770481,"fmsy2"
1986,2.16409435713469,"fmsy2"
1987,2.15885564945562,"fmsy2"
1988,2.10711322912084,"fmsy2"
1989,2.16054247733157,"fmsy2"
1990,2.05430183618924,"fmsy2"
1991,2.15574203004111,"fmsy2"
1992,2.16995599127839,"fmsy2"
1993,2.17278538488295,"fmsy2"
1994,2.17402137018943,"fmsy2"
1995,2.18759008122283,"fmsy2"
1996,2.18968215463907,"fmsy2"
1997,2.16425005970247,"fmsy2"
1998,2.1797356670843,"fmsy2"
1999,2.15824614225026,"fmsy2"
2000,2.18344109389775,"fmsy2"
2001,2.18374207185811,"fmsy2"
2002,2.19591604873077,"fmsy2"
2003,2.16440658538175,"fmsy2"
2004,2.17704311553673,"fmsy2"
2005,2.18341000613871,"fmsy2"
2006,2.18042749458745,"fmsy2"
2007,2.17883489516715,"fmsy2"
2008,2.17049610108166,"fmsy2"
2009,2.18737413643795,"fmsy2"
2010,2.18351579935646,"fmsy2"
2011,2.19405828234518,"fmsy2"
2012,2.18116429891189,"fmsy2"
2013,2.18734480567182,"fmsy2"
2014,2.16361597866447,"fmsy2"
2015,2.18885031476247,"fmsy2"
