year,scenario,inversepressure
1981,fmsy05,7.70507269
1982,fmsy05,19.21073741
1983,fmsy05,13.23967548
1984,fmsy05,10.43845296
1985,fmsy05,7.599707135
1986,fmsy05,13.56050385
1987,fmsy05,9.262706501
1988,fmsy05,8.440221059
1989,fmsy05,9.988134778
1990,fmsy05,9.847961651
1991,fmsy05,8.206863099
1992,fmsy05,7.785680446
1993,fmsy05,9.200557443
1994,fmsy05,10.52988525
1995,fmsy05,8.631233754
1996,fmsy05,8.175985643
1997,fmsy05,9.176932718
1998,fmsy05,9.418174956
1999,fmsy05,8.157281833
2000,fmsy05,7.7063522
2001,fmsy05,8.102354772
2002,fmsy05,7.851189701
2003,fmsy05,7.614040929
2004,fmsy05,7.471314079
2005,fmsy05,7.404437964
2006,fmsy05,8.589657946
2007,fmsy05,9.04496567
2008,fmsy05,7.940560554
2009,fmsy05,8.370882665
2010,fmsy05,8.438925675
2011,fmsy05,7.879491263
2012,fmsy05,7.646035767
2013,fmsy05,9.486833865
2014,fmsy05,10.32223086
2015,fmsy05,8.200588637
1981,fmsy1,3.706961142
1982,fmsy1,3.976182248
1983,fmsy1,4.010702722
1984,fmsy1,4.860575353
1985,fmsy1,4.562177932
1986,fmsy1,4.145673984
1987,fmsy1,4.254619417
1988,fmsy1,4.649678277
1989,fmsy1,4.501125752
1990,fmsy1,4.167065241
1991,fmsy1,5.00596192
1992,fmsy1,4.358811906
1993,fmsy1,4.568351124
1994,fmsy1,4.912117865
1995,fmsy1,4.343917291
1996,fmsy1,7.594862499
1997,fmsy1,6.539326986
1998,fmsy1,5.247330005
1999,fmsy1,4.018164979
2000,fmsy1,8.263664166
2001,fmsy1,10.03741111
2002,fmsy1,6.497646835
2003,fmsy1,4.93230881
2004,fmsy1,5.197735555
2005,fmsy1,4.977476109
2006,fmsy1,4.691924981
2007,fmsy1,4.884396879
2008,fmsy1,4.717304999
2009,fmsy1,4.449926464
2010,fmsy1,4.223395852
2011,fmsy1,4.442965499
2012,fmsy1,4.145828783
2013,fmsy1,15.37552636
2014,fmsy1,9.204813952
2015,fmsy1,6.135035177
1981,fmsy2,1.80380515
1982,fmsy2,11.29372929
1983,fmsy2,8.869454747
1984,fmsy2,5.617156496
1985,fmsy2,2.430891983
1986,fmsy2,7.773449891
1987,fmsy2,4.976732787
1988,fmsy2,3.456005596
1989,fmsy2,4.807510991
1990,fmsy2,4.241684902
1991,fmsy2,3.360705997
1992,fmsy2,2.974172493
1993,fmsy2,4.076737811
1994,fmsy2,6.352895828
1995,fmsy2,4.064881769
1996,fmsy2,2.704860746
1997,fmsy2,4.822245064
1998,fmsy2,4.840933953
1999,fmsy2,5.166261495
2000,fmsy2,3.949034366
2001,fmsy2,4.286256255
2002,fmsy2,3.138191279
2003,fmsy2,4.00701123
2004,fmsy2,3.221593679
2005,fmsy2,3.598911577
2006,fmsy2,3.45572102
2007,fmsy2,4.530654078
2008,fmsy2,3.605352752
2009,fmsy2,4.499126492
2010,fmsy2,3.278332235
2011,fmsy2,3.515008876
2012,fmsy2,3.674609727
2013,fmsy2,2.785658941
2014,fmsy2,2.962275389
2015,fmsy2,3.148004448
