year,scenario,inversepressure
1981,fmsy05,7.217828568
1982,fmsy05,7.355875489
1983,fmsy05,7.416229386
1984,fmsy05,7.518927533
1985,fmsy05,7.567246961
1986,fmsy05,7.540153516
1987,fmsy05,7.46082482
1988,fmsy05,7.536419732
1989,fmsy05,7.50661564
1990,fmsy05,7.462707504
1991,fmsy05,7.372443796
1992,fmsy05,7.255611653
1993,fmsy05,7.2633603
1994,fmsy05,7.344490275
1995,fmsy05,7.401161571
1996,fmsy05,7.260919173
1997,fmsy05,7.173298861
1998,fmsy05,7.184586577
1999,fmsy05,7.16457791
2000,fmsy05,7.258144666
2001,fmsy05,7.260829908
2002,fmsy05,7.195337193
2003,fmsy05,7.084560824
2004,fmsy05,7.034390922
2005,fmsy05,7.026097575
2006,fmsy05,7.080831045
2007,fmsy05,7.146982497
2008,fmsy05,7.042267222
2009,fmsy05,7.167193976
2010,fmsy05,7.226622371
2011,fmsy05,7.076081066
2012,fmsy05,7.266558736
2013,fmsy05,7.299276517
2014,fmsy05,7.117308193
2015,fmsy05,7.025770722
1981,fmsy1,3.5176179
1982,fmsy1,3.676690994
1983,fmsy1,3.767903719
1984,fmsy1,3.810003167
1985,fmsy1,3.849550818
1986,fmsy1,3.748822593
1987,fmsy1,3.714236101
1988,fmsy1,3.701316499
1989,fmsy1,3.704791651
1990,fmsy1,3.686210172
1991,fmsy1,3.711270148
1992,fmsy1,3.702733811
1993,fmsy1,3.608934534
1994,fmsy1,3.537738428
1995,fmsy1,3.477521207
1996,fmsy1,3.529119642
1997,fmsy1,3.451502264
1998,fmsy1,3.46495861
1999,fmsy1,3.474240825
2000,fmsy1,3.558377192
2001,fmsy1,3.573971671
2002,fmsy1,3.592512951
2003,fmsy1,3.498119143
2004,fmsy1,3.458368178
2005,fmsy1,3.430946386
2006,fmsy1,3.427412802
2007,fmsy1,3.482291126
2008,fmsy1,3.513272054
2009,fmsy1,3.476123041
2010,fmsy1,3.446456233
2011,fmsy1,3.455777109
2012,fmsy1,3.423175908
2013,fmsy1,3.444646907
2014,fmsy1,3.554601139
2015,fmsy1,3.453390831
1981,fmsy2,1.582298541
1982,fmsy2,1.747069743
1983,fmsy2,1.845230149
1984,fmsy2,1.889551329
1985,fmsy2,1.932214815
1986,fmsy2,1.972887693
1987,fmsy2,1.920299669
1988,fmsy2,1.921912397
1989,fmsy2,1.911887868
1990,fmsy2,1.938478386
1991,fmsy2,1.919899477
1992,fmsy2,1.935126405
1993,fmsy2,1.907995106
1994,fmsy2,1.873047019
1995,fmsy2,1.915735125
1996,fmsy2,1.911493442
1997,fmsy2,1.913272962
1998,fmsy2,1.909724452
1999,fmsy2,1.866234234
2000,fmsy2,1.898648777
2001,fmsy2,1.896506243
2002,fmsy2,1.870153344
2003,fmsy2,1.895192874
2004,fmsy2,1.898785422
2005,fmsy2,1.877171423
2006,fmsy2,1.874938492
2007,fmsy2,1.884671515
2008,fmsy2,1.853952205
2009,fmsy2,1.859667385
2010,fmsy2,1.84307179
2011,fmsy2,1.852241629
2012,fmsy2,1.892858774
2013,fmsy2,1.883295228
2014,fmsy2,1.862375362
2015,fmsy2,1.851117494
