year,ivi_landings,scenario
1981,55.31279857,fmsy1
1982,55.09719299,fmsy1
1983,55.22884094,fmsy1
1984,54.85995978,fmsy1
1985,54.91101284,fmsy1
1986,55.90982293,fmsy1
1987,56.11397879,fmsy1
1988,55.88572029,fmsy1
1989,55.7312122,fmsy1
1990,56.11243032,fmsy1
1991,55.59189178,fmsy1
1992,55.94523129,fmsy1
1993,56.13653561,fmsy1
1994,55.7519332,fmsy1
1995,56.30522403,fmsy1
1996,53.01515617,fmsy1
1997,52.26922241,fmsy1
1998,54.33526386,fmsy1
1999,56.03004531,fmsy1
2000,51.9915976,fmsy1
2001,48.70619028,fmsy1
2002,51.47664282,fmsy1
2003,55.14373056,fmsy1
2004,54.77878888,fmsy1
2005,55.22061906,fmsy1
2006,55.7892856,fmsy1
2007,55.52795595,fmsy1
2008,55.5268909,fmsy1
2009,56.25744335,fmsy1
2010,56.49532802,fmsy1
2011,56.53657719,fmsy1
2012,56.54572954,fmsy1
2013,46.04263783,fmsy1
2014,45.52268126,fmsy1
2015,51.33992451,fmsy1
1981,54.86223198,fmsy05
1982,39.56104794,fmsy05
1983,38.06068234,fmsy05
1984,45.19068168,fmsy05
1985,53.05229481,fmsy05
1986,49.46440105,fmsy05
1987,49.64989116,fmsy05
1988,53.73090779,fmsy05
1989,54.12090751,fmsy05
1990,52.39039295,fmsy05
1991,54.0270156,fmsy05
1992,55.6948567,fmsy05
1993,53.76200926,fmsy05
1994,52.01703052,fmsy05
1995,53.37151605,fmsy05
1996,55.51927256,fmsy05
1997,52.68302388,fmsy05
1998,52.96595237,fmsy05
1999,54.43870962,fmsy05
2000,55.57356437,fmsy05
2001,55.2740423,fmsy05
2002,55.83092723,fmsy05
2003,56.44646057,fmsy05
2004,56.62097033,fmsy05
2005,56.45192567,fmsy05
2006,54.87319939,fmsy05
2007,54.09913238,fmsy05
2008,55.07120669,fmsy05
2009,55.25029937,fmsy05
2010,54.81146435,fmsy05
2011,55.32431855,fmsy05
2012,55.74539975,fmsy05
2013,53.88826007,fmsy05
2014,52.31665625,fmsy05
2015,53.99950351,fmsy05
1981,55.32162826,fmsy2
1982,45.28768183,fmsy2
1983,42.34704934,fmsy2
1984,48.20709342,fmsy2
1985,54.22572218,fmsy2
1986,52.15862628,fmsy2
1987,50.8485769,fmsy2
1988,54.20003372,fmsy2
1989,54.36564819,fmsy2
1990,52.71028666,fmsy2
1991,54.29683428,fmsy2
1992,55.20562513,fmsy2
1993,54.04758729,fmsy2
1994,51.56744279,fmsy2
1995,52.28191339,fmsy2
1996,54.73836866,fmsy2
1997,52.18765688,fmsy2
1998,52.13075957,fmsy2
1999,52.86968984,fmsy2
2000,52.56088924,fmsy2
2001,53.09905815,fmsy2
2002,53.78878086,fmsy2
2003,53.75740301,fmsy2
2004,53.98187458,fmsy2
2005,54.13045346,fmsy2
2006,53.66790475,fmsy2
2007,53.10446547,fmsy2
2008,53.58832432,fmsy2
2009,53.06220265,fmsy2
2010,53.1933218,fmsy2
2011,53.88045684,fmsy2
2012,53.4730279,fmsy2
2013,54.31451859,fmsy2
2014,54.53533526,fmsy2
2015,54.48313702,fmsy2
