"year","mean_life_span","scenario"
1981,10.129897661345,"fmsy0"
1982,8.52061651401622,"fmsy0"
1983,10.0960952603597,"fmsy0"
1984,10.5373259659044,"fmsy0"
1985,7.9134734733663,"fmsy0"
1986,9.99469375544129,"fmsy0"
1987,9.83290098166832,"fmsy0"
1988,9.52702785237754,"fmsy0"
1989,10.0962617008346,"fmsy0"
1990,9.66140808634829,"fmsy0"
1991,8.44983807432229,"fmsy0"
1992,8.32865496874743,"fmsy0"
1993,7.92237603404028,"fmsy0"
1994,8.08962456721341,"fmsy0"
1995,7.66487186178856,"fmsy0"
1996,8.41087811177577,"fmsy0"
1997,8.33923847204297,"fmsy0"
1998,8.00875030991578,"fmsy0"
1999,8.41109885979445,"fmsy0"
2000,7.86258311300656,"fmsy0"
2001,9.64638760110774,"fmsy0"
2002,9.19738273333435,"fmsy0"
2003,8.14774271082152,"fmsy0"
2004,8.09659807378448,"fmsy0"
2005,8.67732056795888,"fmsy0"
2006,8.33000381154242,"fmsy0"
2007,8.46598171660703,"fmsy0"
2008,8.25847050355273,"fmsy0"
2009,9.41236754532696,"fmsy0"
2010,8.58859972312438,"fmsy0"
2011,8.9740377903199,"fmsy0"
2012,9.43315146280699,"fmsy0"
2013,8.81869749320236,"fmsy0"
2014,8.69752211777294,"fmsy0"
2015,8.29553129971849,"fmsy0"
1981,9.08568691237286,"fmsy1"
1982,7.7493088054176,"fmsy1"
1983,9.57143986958901,"fmsy1"
1984,9.37062134152157,"fmsy1"
1985,8.71755056108255,"fmsy1"
1986,7.83875781657426,"fmsy1"
1987,9.1104909739701,"fmsy1"
1988,7.58661455835399,"fmsy1"
1989,9.01114100132401,"fmsy1"
1990,8.17597482652318,"fmsy1"
1991,7.64275537111105,"fmsy1"
1992,7.35777774672065,"fmsy1"
1993,6.61463637489621,"fmsy1"
1994,7.21029261637272,"fmsy1"
1995,6.69926834914088,"fmsy1"
1996,7.61930060006395,"fmsy1"
1997,7.6724833764163,"fmsy1"
1998,6.4644774827649,"fmsy1"
1999,8.68422396858458,"fmsy1"
2000,7.74314329545199,"fmsy1"
2001,6.69736734138744,"fmsy1"
2002,7.4462269498256,"fmsy1"
2003,6.92934540126837,"fmsy1"
2004,7.47800547168188,"fmsy1"
2005,6.89695012036772,"fmsy1"
2006,8.31426478248378,"fmsy1"
2007,7.84893101117535,"fmsy1"
2008,7.32113625911052,"fmsy1"
2009,7.03152901676743,"fmsy1"
2010,7.63369134636956,"fmsy1"
2011,7.4802675495803,"fmsy1"
2012,7.66353918547238,"fmsy1"
2013,7.18192358008805,"fmsy1"
2014,7.20274031971322,"fmsy1"
2015,7.51722385410001,"fmsy1"
1981,9.4551313361346,"fmsy2"
1982,7.41322831722884,"fmsy2"
1983,7.69393435259136,"fmsy2"
1984,7.97296596492659,"fmsy2"
1985,7.4956563283099,"fmsy2"
1986,6.55379496877624,"fmsy2"
1987,7.45631952108446,"fmsy2"
1988,7.02164308577769,"fmsy2"
1989,7.03905109805869,"fmsy2"
1990,7.18245285274021,"fmsy2"
1991,6.80780724549264,"fmsy2"
1992,6.77868050512928,"fmsy2"
1993,6.45830124372765,"fmsy2"
1994,6.65425905885629,"fmsy2"
1995,6.50763114544842,"fmsy2"
1996,6.77017528015903,"fmsy2"
1997,7.08129970957593,"fmsy2"
1998,6.60297879191401,"fmsy2"
1999,6.81753961457756,"fmsy2"
2000,6.52506162272335,"fmsy2"
2001,7.38179905274761,"fmsy2"
2002,7.39548454368038,"fmsy2"
2003,6.74969174043574,"fmsy2"
2004,6.6822949421001,"fmsy2"
2005,6.76730854565055,"fmsy2"
2006,6.65570358616068,"fmsy2"
2007,6.53840318808498,"fmsy2"
2008,6.99367442323309,"fmsy2"
2009,6.51879731826743,"fmsy2"
2010,7.32068725492995,"fmsy2"
2011,7.33527869509761,"fmsy2"
2012,7.10174129527545,"fmsy2"
2013,6.76509222352045,"fmsy2"
2014,6.83798110256439,"fmsy2"
2015,6.85945711535993,"fmsy2"
