"year","total_biomass_surveyed","scenario"
1981,41101488.7479731,"fmsy1"
1982,45867228.9717344,"fmsy1"
1983,39215561.2216631,"fmsy1"
1984,46302578.5626427,"fmsy1"
1985,40296923.7050536,"fmsy1"
1986,35222459.965221,"fmsy1"
1987,42045261.3801501,"fmsy1"
1988,37553901.7726945,"fmsy1"
1989,36401944.6984991,"fmsy1"
1990,36380884.6650087,"fmsy1"
1991,31667608.3608977,"fmsy1"
1992,39504474.0032217,"fmsy1"
1993,48588940.8082399,"fmsy1"
1994,42301603.0889493,"fmsy1"
1995,45101128.6691804,"fmsy1"
1996,45811072.2841112,"fmsy1"
1997,47760373.9058702,"fmsy1"
1998,53150274.9810966,"fmsy1"
1999,53240988.8174221,"fmsy1"
2000,48171318.9650247,"fmsy1"
2001,44449717.7197202,"fmsy1"
2002,43858460.8928932,"fmsy1"
2003,36326615.7153126,"fmsy1"
2004,42367325.7128204,"fmsy1"
2005,53510222.126295,"fmsy1"
2006,41466444.6491528,"fmsy1"
2007,41340356.0030492,"fmsy1"
2008,46856962.2258538,"fmsy1"
2009,79919929.1767893,"fmsy1"
2010,34173319.0821602,"fmsy1"
2011,48912968.2290919,"fmsy1"
2012,37908777.3195778,"fmsy1"
2013,35534718.0197694,"fmsy1"
2014,46608055.1686822,"fmsy1"
2015,42342923.4446,"fmsy1"
1981,51473987.721945,"fmsy0"
1982,43470799.3073137,"fmsy0"
1983,39638429.8379527,"fmsy0"
1984,46674326.0663525,"fmsy0"
1985,39807681.6964831,"fmsy0"
1986,34865907.0168253,"fmsy0"
1987,46229759.2303682,"fmsy0"
1988,37056662.2319414,"fmsy0"
1989,36270261.3572183,"fmsy0"
1990,42700102.5200497,"fmsy0"
1991,31206829.7325589,"fmsy0"
1992,42625081.9690531,"fmsy0"
1993,51889858.0378677,"fmsy0"
1994,42202469.5657156,"fmsy0"
1995,48067444.6873742,"fmsy0"
1996,46493353.436669,"fmsy0"
1997,49271372.9221075,"fmsy0"
1998,53498055.5098806,"fmsy0"
1999,50670103.6681058,"fmsy0"
2000,49280964.5509812,"fmsy0"
2001,44051852.0158777,"fmsy0"
2002,46552322.5532387,"fmsy0"
2003,34410330.2989531,"fmsy0"
2004,42596832.7563285,"fmsy0"
2005,49435977.6930739,"fmsy0"
2006,45288772.6957489,"fmsy0"
2007,43568504.1583961,"fmsy0"
2008,43099150.9452314,"fmsy0"
2009,38174060.8962585,"fmsy0"
2010,36262033.2929251,"fmsy0"
2011,41769990.0412751,"fmsy0"
2012,37324068.1511522,"fmsy0"
2013,43247563.9551762,"fmsy0"
2014,40800515.5240858,"fmsy0"
2015,40838231.3846383,"fmsy0"
1981,40864715.713831,"fmsy2"
1982,43501074.922798,"fmsy2"
1983,39075363.3885709,"fmsy2"
1984,42003572.7910799,"fmsy2"
1985,42059104.574725,"fmsy2"
1986,36419894.6251172,"fmsy2"
1987,42184842.0622261,"fmsy2"
1988,51925266.2591744,"fmsy2"
1989,37041183.2136828,"fmsy2"
1990,38740222.4368528,"fmsy2"
1991,30980902.53769,"fmsy2"
1992,37309065.8396483,"fmsy2"
1993,48796319.2670978,"fmsy2"
1994,41439986.2913906,"fmsy2"
1995,44903909.6477178,"fmsy2"
1996,41439332.663973,"fmsy2"
1997,49308194.4071966,"fmsy2"
1998,48544935.0791492,"fmsy2"
1999,53650324.0953006,"fmsy2"
2000,50000336.3914518,"fmsy2"
2001,43708979.8162288,"fmsy2"
2002,45074799.7594523,"fmsy2"
2003,34605078.4546039,"fmsy2"
2004,37418734.7086089,"fmsy2"
2005,48597929.0957157,"fmsy2"
2006,45766556.2287615,"fmsy2"
2007,46395096.0628726,"fmsy2"
2008,47572300.8494561,"fmsy2"
2009,43404422.5779928,"fmsy2"
2010,38616671.6566361,"fmsy2"
2011,45145874.6736461,"fmsy2"
2012,38793287.6247378,"fmsy2"
2013,37180892.0688464,"fmsy2"
2014,44996855.1816675,"fmsy2"
2015,42065734.6403797,"fmsy2"
