"Year","trophic_level_landings","scenario"
2015,4.0134196458096,"fmsy06"
2016,4.04591490402487,"fmsy06"
2017,4.04207312168951,"fmsy06"
2018,4.03137437101852,"fmsy06"
2019,4.03614447250609,"fmsy06"
2020,4.04267970358536,"fmsy06"
2021,4.05700206562288,"fmsy06"
2022,4.07215707954001,"fmsy06"
2023,4.05970052850544,"fmsy06"
2024,4.05302289605429,"fmsy06"
2025,4.05713357601547,"fmsy06"
2026,4.05501041279504,"fmsy06"
2027,4.04371273716233,"fmsy06"
2028,4.05526937202734,"fmsy06"
2029,4.04146145524954,"fmsy06"
2030,4.05115683365517,"fmsy06"
2031,4.05983822980384,"fmsy06"
2032,4.06391284164282,"fmsy06"
2033,4.06107665146875,"fmsy06"
2034,4.07438859987272,"fmsy06"
2035,4.07666381630055,"fmsy06"
2036,4.06104971134284,"fmsy06"
2037,4.06149206018073,"fmsy06"
2038,4.06098928374833,"fmsy06"
2039,4.04409409175374,"fmsy06"
2040,4.03006805424138,"fmsy06"
2041,4.00956327200545,"fmsy06"
2042,3.99888874483092,"fmsy06"
2043,4.00270823903248,"fmsy06"
2044,3.99431378706016,"fmsy06"
2045,3.98096790622666,"fmsy06"
2046,3.98231638327585,"fmsy06"
2047,3.97907097364255,"fmsy06"
2048,3.98095663692502,"fmsy06"
2049,3.96595435006229,"fmsy06"
2050,3.96403731060678,"fmsy06"
2051,3.94245682260169,"fmsy06"
2052,3.95555201804392,"fmsy06"
2053,3.95320246081172,"fmsy06"
2054,3.96059231367335,"fmsy06"
2055,3.94194886211735,"fmsy06"
2056,3.92913283799573,"fmsy06"
2057,3.93060194630909,"fmsy06"
2058,3.92273596470172,"fmsy06"
2059,3.87435220561019,"fmsy06"
2060,3.95405829435559,"fmsy06"
2061,3.94765893078675,"fmsy06"
2062,3.95037759110959,"fmsy06"
2063,3.92719594131441,"fmsy06"
2064,3.92395021132194,"fmsy06"
2065,3.94268905815403,"fmsy06"
2066,3.87995047971921,"fmsy06"
2067,3.888250187331,"fmsy06"
2068,3.91223768599132,"fmsy06"
2015,4.0134196458096,"fmsy08"
2016,4.0645206840283,"fmsy08"
2017,4.05707228420676,"fmsy08"
2018,4.0461278533863,"fmsy08"
2019,4.0496522414623,"fmsy08"
2020,4.0556690607883,"fmsy08"
2021,4.06923585970994,"fmsy08"
2022,4.08370186744449,"fmsy08"
2023,4.07450048339956,"fmsy08"
2024,4.06828501008147,"fmsy08"
2025,4.07408039211766,"fmsy08"
2026,4.07164423320565,"fmsy08"
2027,4.06131502842519,"fmsy08"
2028,4.0683498025483,"fmsy08"
2029,4.0688734178479,"fmsy08"
2030,4.06859665319387,"fmsy08"
2031,4.06882250225756,"fmsy08"
2032,4.06407510638886,"fmsy08"
2033,4.06152860256337,"fmsy08"
2034,4.0765068448098,"fmsy08"
2035,4.06872952791158,"fmsy08"
2036,4.05136262528638,"fmsy08"
2037,4.05596222396368,"fmsy08"
2038,4.06355285355653,"fmsy08"
2039,4.04507909076513,"fmsy08"
2040,4.03793312739047,"fmsy08"
2041,4.0243719318861,"fmsy08"
2042,4.01779580763116,"fmsy08"
2043,3.99985305160491,"fmsy08"
2044,3.98432857691236,"fmsy08"
2045,3.98754506893237,"fmsy08"
2046,3.99767930515539,"fmsy08"
2047,4.00149423958422,"fmsy08"
2048,4.00023066072856,"fmsy08"
2049,3.9999550245855,"fmsy08"
2050,3.99072755425267,"fmsy08"
2051,3.98104660871414,"fmsy08"
2052,3.97365232170263,"fmsy08"
2053,3.97917482086723,"fmsy08"
2054,3.97819980680722,"fmsy08"
2055,3.95619507150106,"fmsy08"
2056,3.9668321319646,"fmsy08"
2057,3.93916462007737,"fmsy08"
2058,3.97186036686618,"fmsy08"
2059,3.94824590102747,"fmsy08"
2060,3.96159603340927,"fmsy08"
2061,3.95614120260285,"fmsy08"
2062,4.01970926036716,"fmsy08"
2063,3.98383729293838,"fmsy08"
2064,3.94792027198079,"fmsy08"
2065,3.93718921674695,"fmsy08"
2066,3.96434075663212,"fmsy08"
2067,3.94521596271453,"fmsy08"
2068,3.88039351182347,"fmsy08"
2015,4.0134196458096,"fmsy1"
2016,4.0754931440855,"fmsy1"
2017,4.06529164234228,"fmsy1"
2018,4.05437935026261,"fmsy1"
2019,4.05740480858681,"fmsy1"
2020,4.06354446665921,"fmsy1"
2021,4.0770533530179,"fmsy1"
2022,4.09217337180946,"fmsy1"
2023,4.08263907959157,"fmsy1"
2024,4.07749443322232,"fmsy1"
2025,4.08694514727103,"fmsy1"
2026,4.08392021802694,"fmsy1"
2027,4.09012956031731,"fmsy1"
2028,4.08796205285412,"fmsy1"
2029,4.08929727466213,"fmsy1"
2030,4.06923201995851,"fmsy1"
2031,4.07880706484303,"fmsy1"
2032,4.08595276538476,"fmsy1"
2033,4.07825851635664,"fmsy1"
2034,4.07417487429362,"fmsy1"
2035,4.06201536804749,"fmsy1"
2036,4.06360906518248,"fmsy1"
2037,4.05597492045112,"fmsy1"
2038,4.06696393063532,"fmsy1"
2039,4.05569781199174,"fmsy1"
2040,4.04587630556308,"fmsy1"
2041,4.03039494163648,"fmsy1"
2042,4.0260344525041,"fmsy1"
2043,4.02091198579253,"fmsy1"
2044,4.00307138301771,"fmsy1"
2045,3.99019102767015,"fmsy1"
2046,3.9970949981322,"fmsy1"
2047,4.00880758473736,"fmsy1"
2048,4.01137773114927,"fmsy1"
2049,4.007128472287,"fmsy1"
2050,4.00398412065892,"fmsy1"
2051,3.97994668122739,"fmsy1"
2052,3.98732591044426,"fmsy1"
2053,3.98248493380376,"fmsy1"
2054,3.98967924214486,"fmsy1"
2055,3.98500642387475,"fmsy1"
2056,3.96325565342372,"fmsy1"
2057,3.97584401378967,"fmsy1"
2058,3.93082696492287,"fmsy1"
2059,3.96523431899618,"fmsy1"
2060,3.96628508343036,"fmsy1"
2061,3.94514028740751,"fmsy1"
2062,4.00221280034914,"fmsy1"
2063,3.98197663382277,"fmsy1"
2064,3.96676345225571,"fmsy1"
2065,3.97254728503245,"fmsy1"
2066,3.95516161700117,"fmsy1"
2067,3.94138646417571,"fmsy1"
2068,3.86966016194633,"fmsy1"
2015,4.0134196458096,"fmsy11"
2016,4.07935471656649,"fmsy11"
2017,4.06797566798233,"fmsy11"
2018,4.05712533886665,"fmsy11"
2019,4.06008860965731,"fmsy11"
2020,4.06641755465841,"fmsy11"
2021,4.07992486815029,"fmsy11"
2022,4.09504428499253,"fmsy11"
2023,4.08573526044101,"fmsy11"
2024,4.0807484232268,"fmsy11"
2025,4.09013207841328,"fmsy11"
2026,4.0875180461676,"fmsy11"
2027,4.09419036545275,"fmsy11"
2028,4.09426207632259,"fmsy11"
2029,4.08973833470747,"fmsy11"
2030,4.07229755857623,"fmsy11"
2031,4.08402419725883,"fmsy11"
2032,4.09194839073322,"fmsy11"
2033,4.08134967692857,"fmsy11"
2034,4.07962814630906,"fmsy11"
2035,4.06351662137391,"fmsy11"
2036,4.07410335368403,"fmsy11"
2037,4.06630789245901,"fmsy11"
2038,4.07036366540439,"fmsy11"
2039,4.05885154376275,"fmsy11"
2040,4.04016258916528,"fmsy11"
2041,4.02817732493671,"fmsy11"
2042,4.02844208855476,"fmsy11"
2043,4.03428168981521,"fmsy11"
2044,4.01010925053199,"fmsy11"
2045,4.00935338102096,"fmsy11"
2046,4.00937182199322,"fmsy11"
2047,4.01074549653614,"fmsy11"
2048,4.00950297809572,"fmsy11"
2049,4.0093400684149,"fmsy11"
2050,3.99850541062964,"fmsy11"
2051,3.98343161385947,"fmsy11"
2052,3.99365377745326,"fmsy11"
2053,3.98510751830313,"fmsy11"
2054,3.9950090557776,"fmsy11"
2055,3.96932488030112,"fmsy11"
2056,3.9843198875097,"fmsy11"
2057,3.96351291145767,"fmsy11"
2058,3.98439917136454,"fmsy11"
2059,3.9582497329183,"fmsy11"
2060,4.00284575373414,"fmsy11"
2061,4.0155016349559,"fmsy11"
2062,3.93193226344924,"fmsy11"
2063,3.97612756252863,"fmsy11"
2064,3.94551209278332,"fmsy11"
2065,3.98306859582924,"fmsy11"
2066,3.96386506708823,"fmsy11"
2067,3.88727698071647,"fmsy11"
2068,3.94538396127423,"fmsy11"
