year,trophic_level_landings,scenario
1981,4.210663442,fmsy05
1982,4.21017336,fmsy05
1983,4.208869244,fmsy05
1984,4.207876191,fmsy05
1985,4.210162218,fmsy05
1986,4.213799026,fmsy05
1987,4.215408099,fmsy05
1988,4.217020412,fmsy05
1989,4.216826329,fmsy05
1990,4.220751356,fmsy05
1991,4.22592817,fmsy05
1992,4.226360385,fmsy05
1993,4.22453876,fmsy05
1994,4.223778297,fmsy05
1995,4.22455836,fmsy05
1996,4.229478483,fmsy05
1997,4.231162454,fmsy05
1998,4.231149767,fmsy05
1999,4.229633742,fmsy05
2000,4.228811323,fmsy05
2001,4.2300174,fmsy05
2002,4.233517,fmsy05
2003,4.238339299,fmsy05
2004,4.238747655,fmsy05
2005,4.236259404,fmsy05
2006,4.234260882,fmsy05
2007,4.235342526,fmsy05
2008,4.234954472,fmsy05
2009,4.230855873,fmsy05
2010,4.232292409,fmsy05
2011,4.232427109,fmsy05
2012,4.227950425,fmsy05
2013,4.23286905,fmsy05
2014,4.236698131,fmsy05
2015,4.237107725,fmsy05
1981,4.200557777,fmsy1
1982,4.196722741,fmsy1
1983,4.198224295,fmsy1
1984,4.201691704,fmsy1
1985,4.209315866,fmsy1
1986,4.217811545,fmsy1
1987,4.221319121,fmsy1
1988,4.2250046,fmsy1
1989,4.22390776,fmsy1
1990,4.224188124,fmsy1
1991,4.225619603,fmsy1
1992,4.229868282,fmsy1
1993,4.236728716,fmsy1
1994,4.242115049,fmsy1
1995,4.242996044,fmsy1
1996,4.243257535,fmsy1
1997,4.242538659,fmsy1
1998,4.241671805,fmsy1
1999,4.238587391,fmsy1
2000,4.236421165,fmsy1
2001,4.235504483,fmsy1
2002,4.238369835,fmsy1
2003,4.244164202,fmsy1
2004,4.245636621,fmsy1
2005,4.245846,fmsy1
2006,4.244061514,fmsy1
2007,4.244491858,fmsy1
2008,4.243923071,fmsy1
2009,4.245523614,fmsy1
2010,4.247841376,fmsy1
2011,4.247323401,fmsy1
2012,4.244528462,fmsy1
2013,4.242282347,fmsy1
2014,4.241723112,fmsy1
2015,4.243606209,fmsy1
1981,4.202644686,fmsy2
1982,4.195233215,fmsy2
1983,4.197210116,fmsy2
1984,4.202325267,fmsy2
1985,4.20653537,fmsy2
1986,4.208604061,fmsy2
1987,4.215602335,fmsy2
1988,4.217569608,fmsy2
1989,4.213273211,fmsy2
1990,4.210345819,fmsy2
1991,4.212799191,fmsy2
1992,4.21221278,fmsy2
1993,4.209263443,fmsy2
1994,4.209961078,fmsy2
1995,4.207391843,fmsy2
1996,4.208117922,fmsy2
1997,4.207484847,fmsy2
1998,4.208908978,fmsy2
1999,4.209960243,fmsy2
2000,4.206694834,fmsy2
2001,4.205611031,fmsy2
2002,4.210375181,fmsy2
2003,4.208769948,fmsy2
2004,4.21044746,fmsy2
2005,4.210471701,fmsy2
2006,4.209850612,fmsy2
2007,4.210471921,fmsy2
2008,4.213494779,fmsy2
2009,4.212490582,fmsy2
2010,4.211960189,fmsy2
2011,4.211947434,fmsy2
2012,4.210753638,fmsy2
2013,4.209997113,fmsy2
2014,4.212708649,fmsy2
2015,4.213849649,fmsy2
