year,LPI_final,scenario
1981,1,fmsy0
1982,1.004691871,fmsy0
1983,1.006494652,fmsy0
1984,1.00402041,fmsy0
1985,0.999910757,fmsy0
1986,1.000169061,fmsy0
1987,1.008702316,fmsy0
1988,1.023101542,fmsy0
1989,1.035199433,fmsy0
1990,1.037812843,fmsy0
1991,1.031105713,fmsy0
1992,1.022507538,fmsy0
1993,1.021488764,fmsy0
1994,1.032486869,fmsy0
1995,1.051740728,fmsy0
1996,1.068813866,fmsy0
1997,1.073198485,fmsy0
1998,1.062237217,fmsy0
1999,1.043209065,fmsy0
2000,1.027841755,fmsy0
2001,1.023327814,fmsy0
2002,1.028020259,fmsy0
2003,1.033897182,fmsy0
2004,1.033335155,fmsy0
2005,1.024898151,fmsy0
2006,1.013944879,fmsy0
2007,1.008145122,fmsy0
2008,1.011622516,fmsy0
2009,1.021631499,fmsy0
2010,1.029922619,fmsy0
2011,1.029029945,fmsy0
2012,1.018860607,fmsy0
2013,1.006466435,fmsy0
2014,0.998664772,fmsy0
2015,0.995795734,fmsy0
1981,1,fmsy0
1982,0.998678911,fmsy0
1983,0.997840863,fmsy0
1984,0.988268327,fmsy0
1985,0.974811375,fmsy0
1986,0.971871163,fmsy0
1987,0.979322764,fmsy0
1988,0.989621405,fmsy0
1989,0.999080651,fmsy0
1990,1.001021637,fmsy0
1991,0.991186572,fmsy0
1992,0.978843495,fmsy0
1993,0.97542901,fmsy0
1994,0.984749897,fmsy0
1995,0.998778606,fmsy0
1996,1.011407441,fmsy0
1997,1.01495599,fmsy0
1998,1.002485604,fmsy0
1999,0.980301706,fmsy0
2000,0.962192368,fmsy0
2001,0.956763679,fmsy0
2002,0.959508067,fmsy0
2003,0.963630977,fmsy0
2004,0.96272685,fmsy0
2005,0.953490337,fmsy0
2006,0.939402455,fmsy0
2007,0.933072325,fmsy0
2008,0.936174363,fmsy0
2009,0.941175117,fmsy0
2010,0.947078738,fmsy0
2011,0.945835865,fmsy0
2012,0.934849139,fmsy0
2013,0.921601574,fmsy0
2014,0.91350368,fmsy0
2015,0.910140806,fmsy0
1981,1,fmsy0
1982,1.010332115,fmsy0
1983,1.014889269,fmsy0
1984,1.018518606,fmsy0
1985,1.022439134,fmsy0
1986,1.026231661,fmsy0
1987,1.036368425,fmsy0
1988,1.057091503,fmsy0
1989,1.073568817,fmsy0
1990,1.077194476,fmsy0
1991,1.073296308,fmsy0
1992,1.068799423,fmsy0
1993,1.069624346,fmsy0
1994,1.083687158,fmsy0
1995,1.110741868,fmsy0
1996,1.134585623,fmsy0
1997,1.138895007,fmsy0
1998,1.129603939,fmsy0
1999,1.112417893,fmsy0
2000,1.098508214,fmsy0
2001,1.095253566,fmsy0
2002,1.103406288,fmsy0
2003,1.111013544,fmsy0
2004,1.11040828,fmsy0
2005,1.103068269,fmsy0
2006,1.093859572,fmsy0
2007,1.089419094,fmsy0
2008,1.094028744,fmsy0
2009,1.108243987,fmsy0
2010,1.121042664,fmsy0
2011,1.120770757,fmsy0
2012,1.109870341,fmsy0
2013,1.098374135,fmsy0
2014,1.090388089,fmsy0
2015,1.088165757,fmsy0
