year,LPI_final,scenario
1980,1,fmsy2
1981,0.971836662,fmsy2
1982,0.952017836,fmsy2
1983,0.941460078,fmsy2
1984,0.93456057,fmsy2
1985,0.925604743,fmsy2
1986,0.913172143,fmsy2
1987,0.898671498,fmsy2
1988,0.883954313,fmsy2
1989,0.871513071,fmsy2
1990,0.863821746,fmsy2
1991,0.86034179,fmsy2
1992,0.856682977,fmsy2
1993,0.849098773,fmsy2
1994,0.838973603,fmsy2
1995,0.830711546,fmsy2
1996,0.82579185,fmsy2
1997,0.821212579,fmsy2
1998,0.814161186,fmsy2
1999,0.805779616,fmsy2
2000,0.799023792,fmsy2
2001,0.794336798,fmsy2
2002,0.789716068,fmsy2
2003,0.784550898,fmsy2
2004,0.781370641,fmsy2
2005,0.783094129,fmsy2
2006,0.789413296,fmsy2
2007,0.796376758,fmsy2
2008,0.799308661,fmsy2
2009,0.796276471,fmsy2
2010,0.789148109,fmsy2
2011,0.781576446,fmsy2
2012,0.775942427,fmsy2
2013,0.77201068,fmsy2
2014,0.768249632,fmsy2
2015,0.763963826,fmsy2
1980,1,fmsy2
1981,0.936481642,fmsy2
1982,0.90687783,fmsy2
1983,0.888141614,fmsy2
1984,0.876103194,fmsy2
1985,0.864842927,fmsy2
1986,0.851955921,fmsy2
1987,0.836473084,fmsy2
1988,0.820638424,fmsy2
1989,0.808578056,fmsy2
1990,0.799856368,fmsy2
1991,0.796081031,fmsy2
1992,0.792181833,fmsy2
1993,0.784278254,fmsy2
1994,0.772646751,fmsy2
1995,0.762084166,fmsy2
1996,0.755896127,fmsy2
1997,0.751513986,fmsy2
1998,0.744653612,fmsy2
1999,0.73659804,fmsy2
2000,0.730508897,fmsy2
2001,0.725921247,fmsy2
2002,0.721877064,fmsy2
2003,0.716420284,fmsy2
2004,0.713530289,fmsy2
2005,0.714532469,fmsy2
2006,0.719874611,fmsy2
2007,0.724214099,fmsy2
2008,0.725912952,fmsy2
2009,0.723213516,fmsy2
2010,0.716434462,fmsy2
2011,0.709177676,fmsy2
2012,0.703841366,fmsy2
2013,0.699658494,fmsy2
2014,0.696431063,fmsy2
2015,0.692180857,fmsy2
1980,1,fmsy2
1981,1.001342899,fmsy2
1982,0.994551216,fmsy2
1983,0.994929605,fmsy2
1984,0.994587272,fmsy2
1985,0.989512515,fmsy2
1986,0.978548287,fmsy2
1987,0.966177298,fmsy2
1988,0.95213766,fmsy2
1989,0.939783867,fmsy2
1990,0.931354369,fmsy2
1991,0.928767005,fmsy2
1992,0.925638074,fmsy2
1993,0.918588726,fmsy2
1994,0.910683868,fmsy2
1995,0.904001052,fmsy2
1996,0.89962074,fmsy2
1997,0.895464311,fmsy2
1998,0.888081808,fmsy2
1999,0.87952053,fmsy2
2000,0.873518877,fmsy2
2001,0.867854263,fmsy2
2002,0.86268145,fmsy2
2003,0.857234162,fmsy2
2004,0.853716677,fmsy2
2005,0.855641236,fmsy2
2006,0.865135221,fmsy2
2007,0.875156414,fmsy2
2008,0.878761347,fmsy2
2009,0.875808727,fmsy2
2010,0.868108285,fmsy2
2011,0.859709996,fmsy2
2012,0.854964881,fmsy2
2013,0.85149892,fmsy2
2014,0.847229349,fmsy2
2015,0.842259532,fmsy2
