year,LPI_final,scenario
1981,1,fmsy1
1982,1.014441353,fmsy1
1983,0.993377354,fmsy1
1984,0.967892969,fmsy1
1985,0.964831739,fmsy1
1986,0.946222859,fmsy1
1987,0.929821819,fmsy1
1988,0.93748753,fmsy1
1989,0.947982307,fmsy1
1990,0.941685553,fmsy1
1991,0.929422454,fmsy1
1992,0.944073457,fmsy1
1993,0.937831187,fmsy1
1994,0.919916436,fmsy1
1995,0.919401319,fmsy1
1996,0.933713839,fmsy1
1997,0.944238013,fmsy1
1998,0.94595778,fmsy1
1999,0.943791124,fmsy1
2000,0.921352429,fmsy1
2001,0.911764067,fmsy1
2002,0.918946029,fmsy1
2003,0.925004791,fmsy1
2004,0.923681351,fmsy1
2005,0.937988863,fmsy1
2006,0.935686029,fmsy1
2007,0.920103203,fmsy1
2008,0.903150602,fmsy1
2009,0.896230014,fmsy1
2010,0.899236425,fmsy1
2011,0.947703852,fmsy1
2012,0.958150906,fmsy1
2013,0.957486595,fmsy1
2014,0.927201384,fmsy1
2015,0.948538483,fmsy1
1981,1,fmsy1
1982,0.996687504,fmsy1
1983,0.941939125,fmsy1
1984,0.912140959,fmsy1
1985,0.905798483,fmsy1
1986,0.889871698,fmsy1
1987,0.871745457,fmsy1
1988,0.873162717,fmsy1
1989,0.878738628,fmsy1
1990,0.867473689,fmsy1
1991,0.842217381,fmsy1
1992,0.855231985,fmsy1
1993,0.842078597,fmsy1
1994,0.834201064,fmsy1
1995,0.833885765,fmsy1
1996,0.843698747,fmsy1
1997,0.855694662,fmsy1
1998,0.856407325,fmsy1
1999,0.848114523,fmsy1
2000,0.835283853,fmsy1
2001,0.818568551,fmsy1
2002,0.822276936,fmsy1
2003,0.832738859,fmsy1
2004,0.81697282,fmsy1
2005,0.82421997,fmsy1
2006,0.817722676,fmsy1
2007,0.81066567,fmsy1
2008,0.799922703,fmsy1
2009,0.79738127,fmsy1
2010,0.801326421,fmsy1
2011,0.811738919,fmsy1
2012,0.829551008,fmsy1
2013,0.797239168,fmsy1
2014,0.733635529,fmsy1
2015,0.754340515,fmsy1
1981,1,fmsy1
1982,1.034677921,fmsy1
1983,1.036071088,fmsy1
1984,1.022428508,fmsy1
1985,1.022869942,fmsy1
1986,1.003976069,fmsy1
1987,0.987239406,fmsy1
1988,0.993867565,fmsy1
1989,1.012033959,fmsy1
1990,1.008072351,fmsy1
1991,1.008438517,fmsy1
1992,1.036489153,fmsy1
1993,1.041214888,fmsy1
1994,1.01281611,fmsy1
1995,1.010362378,fmsy1
1996,1.020298118,fmsy1
1997,1.038198278,fmsy1
1998,1.036743765,fmsy1
1999,1.036743028,fmsy1
2000,1.01154487,fmsy1
2001,1.001997316,fmsy1
2002,1.015656832,fmsy1
2003,1.024132696,fmsy1
2004,1.019859624,fmsy1
2005,1.031695979,fmsy1
2006,1.034758942,fmsy1
2007,1.023529936,fmsy1
2008,0.999911312,fmsy1
2009,1.002285977,fmsy1
2010,1.006011301,fmsy1
2011,1.099344701,fmsy1
2012,1.133411755,fmsy1
2013,1.139472184,fmsy1
2014,1.108762507,fmsy1
2015,1.138840637,fmsy1
