year,LPI_final,scenario
1981,1,fmsy2
1982,0.994628664,fmsy2
1983,0.984521959,fmsy2
1984,0.971507015,fmsy2
1985,0.960828191,fmsy2
1986,0.952948462,fmsy2
1987,0.942817619,fmsy2
1988,0.927195347,fmsy2
1989,0.908622382,fmsy2
1990,0.891483881,fmsy2
1991,0.877846857,fmsy2
1992,0.868150138,fmsy2
1993,0.862128496,fmsy2
1994,0.857461539,fmsy2
1995,0.850961076,fmsy2
1996,0.84230488,fmsy2
1997,0.834830515,fmsy2
1998,0.830582438,fmsy2
1999,0.827023017,fmsy2
2000,0.820809874,fmsy2
2001,0.81274944,fmsy2
2002,0.806235712,fmsy2
2003,0.801821401,fmsy2
2004,0.797059212,fmsy2
2005,0.791496427,fmsy2
2006,0.78853442,fmsy2
2007,0.791295331,fmsy2
2008,0.798661004,fmsy2
2009,0.806190134,fmsy2
2010,0.80965801,fmsy2
2011,0.807311591,fmsy2
2012,0.800241132,fmsy2
2013,0.791632936,fmsy2
2014,0.784511582,fmsy2
2015,0.779318205,fmsy2
1981,1,fmsy2
1982,0.972496602,fmsy2
1983,0.951443128,fmsy2
1984,0.92630022,fmsy2
1985,0.906407186,fmsy2
1986,0.892550331,fmsy2
1987,0.880941725,fmsy2
1988,0.86372905,fmsy2
1989,0.843491827,fmsy2
1990,0.825510021,fmsy2
1991,0.812356866,fmsy2
1992,0.80174629,fmsy2
1993,0.795492006,fmsy2
1994,0.790912304,fmsy2
1995,0.7836147,fmsy2
1996,0.773660688,fmsy2
1997,0.764709518,fmsy2
1998,0.758720259,fmsy2
1999,0.754794346,fmsy2
2000,0.749211392,fmsy2
2001,0.741588475,fmsy2
2002,0.73493651,fmsy2
2003,0.730680928,fmsy2
2004,0.726660639,fmsy2
2005,0.721459075,fmsy2
2006,0.718777401,fmsy2
2007,0.720458849,fmsy2
2008,0.726290765,fmsy2
2009,0.731126926,fmsy2
2010,0.733706682,fmsy2
2011,0.731304088,fmsy2
2012,0.724646253,fmsy2
2013,0.717118174,fmsy2
2014,0.709562978,fmsy2
2015,0.704853831,fmsy2
1981,1,fmsy2
1982,1.01574361,fmsy2
1983,1.016756906,fmsy2
1984,1.017538231,fmsy2
1985,1.019006965,fmsy2
1986,1.017350009,fmsy2
1987,1.00946746,fmsy2
1988,0.994873597,fmsy2
1989,0.979304827,fmsy2
1990,0.963121003,fmsy2
1991,0.949611907,fmsy2
1992,0.940407976,fmsy2
1993,0.934008405,fmsy2
1994,0.929532965,fmsy2
1995,0.923204285,fmsy2
1996,0.917475974,fmsy2
1997,0.911393727,fmsy2
1998,0.908114453,fmsy2
1999,0.904742196,fmsy2
2000,0.898764965,fmsy2
2001,0.890335111,fmsy2
2002,0.884532648,fmsy2
2003,0.879775876,fmsy2
2004,0.874544656,fmsy2
2005,0.86906391,fmsy2
2006,0.86548659,fmsy2
2007,0.86890979,fmsy2
2008,0.879957091,fmsy2
2009,0.891157205,fmsy2
2010,0.89554687,fmsy2
2011,0.893322562,fmsy2
2012,0.886511773,fmsy2
2013,0.876982021,fmsy2
2014,0.868537999,fmsy2
2015,0.86403459,fmsy2
