year,LPI_final,scenario
1981,1,fmsy1
1982,1.019399446,fmsy1
1983,0.987310276,fmsy1
1984,0.949791486,fmsy1
1985,0.945041744,fmsy1
1986,0.918201874,fmsy1
1987,0.894246959,fmsy1
1988,0.903697866,fmsy1
1989,0.917044872,fmsy1
1990,0.906895744,fmsy1
1991,0.888693113,fmsy1
1992,0.908564294,fmsy1
1993,0.899897337,fmsy1
1994,0.87547686,fmsy1
1995,0.875124767,fmsy1
1996,0.894941772,fmsy1
1997,0.9094455,fmsy1
1998,0.912029572,fmsy1
1999,0.909629766,fmsy1
2000,0.879064916,fmsy1
2001,0.866459127,fmsy1
2002,0.877032348,fmsy1
2003,0.886044138,fmsy1
2004,0.884811455,fmsy1
2005,0.905638192,fmsy1
2006,0.903264805,fmsy1
2007,0.882022072,fmsy1
2008,0.858628649,fmsy1
2009,0.849297812,fmsy1
2010,0.854447815,fmsy1
2011,0.924452405,fmsy1
2012,0.941887919,fmsy1
2013,0.943238466,fmsy1
2014,0.901880552,fmsy1
2015,0.933933933,fmsy1
1981,1,fmsy1
1982,0.993513691,fmsy1
1983,0.927341887,fmsy1
1984,0.882871992,fmsy1
1985,0.86546904,fmsy1
1986,0.830302355,fmsy1
1987,0.808907142,fmsy1
1988,0.810992422,fmsy1
1989,0.822600134,fmsy1
1990,0.812704525,fmsy1
1991,0.784231456,fmsy1
1992,0.791134753,fmsy1
1993,0.777020555,fmsy1
1994,0.748548616,fmsy1
1995,0.742960202,fmsy1
1996,0.752679899,fmsy1
1997,0.758607357,fmsy1
1998,0.755925762,fmsy1
1999,0.752795448,fmsy1
2000,0.729942956,fmsy1
2001,0.721858758,fmsy1
2002,0.744682266,fmsy1
2003,0.759661626,fmsy1
2004,0.752981557,fmsy1
2005,0.768177087,fmsy1
2006,0.763427902,fmsy1
2007,0.730220377,fmsy1
2008,0.716086247,fmsy1
2009,0.708576591,fmsy1
2010,0.71460984,fmsy1
2011,0.738362122,fmsy1
2012,0.749124576,fmsy1
2013,0.733600809,fmsy1
2014,0.703998697,fmsy1
2015,0.728099746,fmsy1
1981,1,fmsy1
1982,1.05211234,fmsy1
1983,1.052959553,fmsy1
1984,1.022653891,fmsy1
1985,1.032961838,fmsy1
1986,1.007867968,fmsy1
1987,1.000750946,fmsy1
1988,1.011836897,fmsy1
1989,1.031124193,fmsy1
1990,1.044196497,fmsy1
1991,1.033522267,fmsy1
1992,1.058087857,fmsy1
1993,1.050245816,fmsy1
1994,1.011151355,fmsy1
1995,1.018746242,fmsy1
1996,1.050226586,fmsy1
1997,1.059679487,fmsy1
1998,1.060431991,fmsy1
1999,1.055272252,fmsy1
2000,1.02717196,fmsy1
2001,1.024560685,fmsy1
2002,1.044791759,fmsy1
2003,1.044067862,fmsy1
2004,1.071363418,fmsy1
2005,1.091870346,fmsy1
2006,1.09403151,fmsy1
2007,1.067714377,fmsy1
2008,1.030726257,fmsy1
2009,1.022738759,fmsy1
2010,1.054401795,fmsy1
2011,1.197649218,fmsy1
2012,1.282860246,fmsy1
2013,1.246129898,fmsy1
2014,1.177529526,fmsy1
2015,1.258904715,fmsy1
