"year","score","scenario","type"
1981,0.966652413519408,"fmsy0","pelagic"
1982,0.961236252721095,"fmsy0","pelagic"
1983,0.932822763449744,"fmsy0","pelagic"
1984,0.940262207577323,"fmsy0","pelagic"
1985,0.962966275349057,"fmsy0","pelagic"
1986,0.968930636895137,"fmsy0","pelagic"
1987,0.951937434057414,"fmsy0","pelagic"
1988,0.964967341327699,"fmsy0","pelagic"
1989,0.932406828066268,"fmsy0","pelagic"
1990,0.977316257725643,"fmsy0","pelagic"
1991,0.970153151067363,"fmsy0","pelagic"
1992,0.939828308766949,"fmsy0","pelagic"
1993,0.963630207543008,"fmsy0","pelagic"
1994,0.962704022164801,"fmsy0","pelagic"
1995,0.960563490925685,"fmsy0","pelagic"
1996,0.96153053509627,"fmsy0","pelagic"
1997,0.941955910103731,"fmsy0","pelagic"
1998,0.94988507306195,"fmsy0","pelagic"
1999,0.954712243611404,"fmsy0","pelagic"
2000,0.95748520057118,"fmsy0","pelagic"
2001,0.983731569155353,"fmsy0","pelagic"
2002,0.955258781784002,"fmsy0","pelagic"
2003,0.965405236389464,"fmsy0","pelagic"
2004,0.962040568046363,"fmsy0","pelagic"
2005,0.948644206868089,"fmsy0","pelagic"
2006,0.941052038904097,"fmsy0","pelagic"
2007,0.94189779918399,"fmsy0","pelagic"
2008,0.923307779069765,"fmsy0","pelagic"
2009,0.958873449954686,"fmsy0","pelagic"
2010,0.955547804621448,"fmsy0","pelagic"
2011,0.950397980091205,"fmsy0","pelagic"
2012,0.91561038732758,"fmsy0","pelagic"
2013,0.953993726092304,"fmsy0","pelagic"
2014,0.950596854820807,"fmsy0","pelagic"
2015,0.944424565557653,"fmsy0","pelagic"
1981,0.929507119659815,"fmsy1","pelagic"
1982,0.934204505133111,"fmsy1","pelagic"
1983,0.925949068311544,"fmsy1","pelagic"
1984,0.9518374993409,"fmsy1","pelagic"
1985,0.947919437197358,"fmsy1","pelagic"
1986,0.945294133972748,"fmsy1","pelagic"
1987,0.917109898612442,"fmsy1","pelagic"
1988,0.963343012148935,"fmsy1","pelagic"
1989,0.944820747190514,"fmsy1","pelagic"
1990,0.956888992635005,"fmsy1","pelagic"
1991,0.967503395400585,"fmsy1","pelagic"
1992,0.96022044011742,"fmsy1","pelagic"
1993,0.965633080406128,"fmsy1","pelagic"
1994,0.964136423969772,"fmsy1","pelagic"
1995,0.955454894350931,"fmsy1","pelagic"
1996,0.952551396322634,"fmsy1","pelagic"
1997,0.904283415972615,"fmsy1","pelagic"
1998,0.940971442577827,"fmsy1","pelagic"
1999,0.915051604198136,"fmsy1","pelagic"
2000,0.932611089292067,"fmsy1","pelagic"
2001,0.933057199818621,"fmsy1","pelagic"
2002,0.905776087841335,"fmsy1","pelagic"
2003,0.942733856079346,"fmsy1","pelagic"
2004,0.911281916659766,"fmsy1","pelagic"
2005,0.950833234319988,"fmsy1","pelagic"
2006,0.942729765905371,"fmsy1","pelagic"
2007,0.904767464382817,"fmsy1","pelagic"
2008,0.930617211000028,"fmsy1","pelagic"
2009,0.907468781389824,"fmsy1","pelagic"
2010,0.916524134479162,"fmsy1","pelagic"
2011,0.948576784997513,"fmsy1","pelagic"
2012,0.906241279902473,"fmsy1","pelagic"
2013,0.891080065664337,"fmsy1","pelagic"
2014,0.914622892606744,"fmsy1","pelagic"
2015,0.911148731359203,"fmsy1","pelagic"
1981,0.956198550080902,"fmsy2","pelagic"
1982,0.922137126623264,"fmsy2","pelagic"
1983,0.947675124610561,"fmsy2","pelagic"
1984,0.912154992479699,"fmsy2","pelagic"
1985,0.924848181901536,"fmsy2","pelagic"
1986,0.925492314244565,"fmsy2","pelagic"
1987,0.916978465726438,"fmsy2","pelagic"
1988,0.912719446217969,"fmsy2","pelagic"
1989,0.869204457675206,"fmsy2","pelagic"
1990,0.886881870022815,"fmsy2","pelagic"
1991,0.877575462909363,"fmsy2","pelagic"
1992,0.861003303176386,"fmsy2","pelagic"
1993,0.866378138072609,"fmsy2","pelagic"
1994,0.821477403012113,"fmsy2","pelagic"
1995,0.881377326070999,"fmsy2","pelagic"
1996,0.829099542855004,"fmsy2","pelagic"
1997,0.868231392783855,"fmsy2","pelagic"
1998,0.84180338652419,"fmsy2","pelagic"
1999,0.824679282846437,"fmsy2","pelagic"
2000,0.848466559448265,"fmsy2","pelagic"
2001,0.848540531167356,"fmsy2","pelagic"
2002,0.834524986062963,"fmsy2","pelagic"
2003,0.858123921939739,"fmsy2","pelagic"
2004,0.843359593839594,"fmsy2","pelagic"
2005,0.868769322501873,"fmsy2","pelagic"
2006,0.865816533994772,"fmsy2","pelagic"
2007,0.85074490038299,"fmsy2","pelagic"
2008,0.815320190717331,"fmsy2","pelagic"
2009,0.834281791559249,"fmsy2","pelagic"
2010,0.855790736395723,"fmsy2","pelagic"
2011,0.794523733204969,"fmsy2","pelagic"
2012,0.86143823777743,"fmsy2","pelagic"
2013,0.815901255570935,"fmsy2","pelagic"
2014,0.844568341855323,"fmsy2","pelagic"
2015,0.819884702990855,"fmsy2","pelagic"
