"year","score","scenario"
1981,0.84615632304413,"fmsy0"
1982,0.857200824383737,"fmsy0"
1983,0.860219953055175,"fmsy0"
1984,0.86507592145773,"fmsy0"
1985,0.876420471955609,"fmsy0"
1986,0.875571868770957,"fmsy0"
1987,0.878733420607578,"fmsy0"
1988,0.882456204520868,"fmsy0"
1989,0.8788892874864,"fmsy0"
1990,0.879110574170382,"fmsy0"
1991,0.877216135256097,"fmsy0"
1992,0.875730466996149,"fmsy0"
1993,0.874036181112943,"fmsy0"
1994,0.873478889961485,"fmsy0"
1995,0.87300778923414,"fmsy0"
1996,0.87130265608165,"fmsy0"
1997,0.873652321399342,"fmsy0"
1998,0.872699517161178,"fmsy0"
1999,0.872946052402869,"fmsy0"
2000,0.876198455577469,"fmsy0"
2001,0.875998287383338,"fmsy0"
2002,0.874468839416918,"fmsy0"
2003,0.871813858852472,"fmsy0"
2004,0.861178540039194,"fmsy0"
2005,0.859544751408532,"fmsy0"
2006,0.859107149707699,"fmsy0"
2007,0.858193855655662,"fmsy0"
2008,0.857826969229701,"fmsy0"
2009,0.856673338022694,"fmsy0"
2010,0.855995798099657,"fmsy0"
2011,0.856354432742572,"fmsy0"
2012,0.855372895353894,"fmsy0"
2013,0.855943177617196,"fmsy0"
2014,0.854579420856198,"fmsy0"
2015,0.854463454989066,"fmsy0"
1981,0.85086864391088,"fmsy1"
1982,0.856122100157391,"fmsy1"
1983,0.852693507214567,"fmsy1"
1984,0.863788220756807,"fmsy1"
1985,0.873721658870498,"fmsy1"
1986,0.881417594330113,"fmsy1"
1987,0.870396840640424,"fmsy1"
1988,0.871733435965394,"fmsy1"
1989,0.861298093483614,"fmsy1"
1990,0.86226013956199,"fmsy1"
1991,0.857164340811794,"fmsy1"
1992,0.860688384395731,"fmsy1"
1993,0.85678020401519,"fmsy1"
1994,0.852721017747887,"fmsy1"
1995,0.850541501131816,"fmsy1"
1996,0.849472738397404,"fmsy1"
1997,0.847414079066585,"fmsy1"
1998,0.843722796288185,"fmsy1"
1999,0.833205253505276,"fmsy1"
2000,0.836613290992803,"fmsy1"
2001,0.836708802313799,"fmsy1"
2002,0.840894589276436,"fmsy1"
2003,0.841813363008919,"fmsy1"
2004,0.842730285200622,"fmsy1"
2005,0.841744888789181,"fmsy1"
2006,0.835109803610618,"fmsy1"
2007,0.83565978927739,"fmsy1"
2008,0.835316777083338,"fmsy1"
2009,0.834559043179549,"fmsy1"
2010,0.832143443500969,"fmsy1"
2011,0.833084894795931,"fmsy1"
2012,0.827867368396144,"fmsy1"
2013,0.823340520807107,"fmsy1"
2014,0.826939444182732,"fmsy1"
2015,0.825056019202665,"fmsy1"
1981,0.849139875755508,"fmsy2"
1982,0.837826852567147,"fmsy2"
1983,0.825813731064349,"fmsy2"
1984,0.81946610180204,"fmsy2"
1985,0.813333928730621,"fmsy2"
1986,0.805363608519246,"fmsy2"
1987,0.800145859778827,"fmsy2"
1988,0.793002124425846,"fmsy2"
1989,0.78516774891644,"fmsy2"
1990,0.780447423131545,"fmsy2"
1991,0.77506211165301,"fmsy2"
1992,0.772996247194609,"fmsy2"
1993,0.768515628831731,"fmsy2"
1994,0.763337992905102,"fmsy2"
1995,0.761636869972561,"fmsy2"
1996,0.760091906032764,"fmsy2"
1997,0.759254058410849,"fmsy2"
1998,0.758548249951096,"fmsy2"
1999,0.75716236126185,"fmsy2"
2000,0.755675496995513,"fmsy2"
2001,0.756021080205366,"fmsy2"
2002,0.752597699522879,"fmsy2"
2003,0.748876963236525,"fmsy2"
2004,0.750381505870814,"fmsy2"
2005,0.751525998533108,"fmsy2"
2006,0.750892704924561,"fmsy2"
2007,0.750822436076308,"fmsy2"
2008,0.749208155644158,"fmsy2"
2009,0.747510225084979,"fmsy2"
2010,0.744805215718122,"fmsy2"
2011,0.742717696879049,"fmsy2"
2012,0.743724564967474,"fmsy2"
2013,0.744946368980262,"fmsy2"
2014,0.724673668589124,"fmsy2"
2015,0.723497874837964,"fmsy2"
