"year","score","scenario"
1981,0.830381851574571,"fmsy0"
1982,0.860110344582696,"fmsy0"
1983,0.903389987003365,"fmsy0"
1984,0.845939977652433,"fmsy0"
1985,0.83770557027522,"fmsy0"
1986,0.840226798607062,"fmsy0"
1987,0.833612870494737,"fmsy0"
1988,0.905527018215251,"fmsy0"
1989,0.925099534963036,"fmsy0"
1990,0.881147625345037,"fmsy0"
1991,0.844899600797858,"fmsy0"
1992,0.853188774473666,"fmsy0"
1993,0.862378751874171,"fmsy0"
1994,0.866936691723098,"fmsy0"
1995,0.840684333470806,"fmsy0"
1996,0.848004517976794,"fmsy0"
1997,0.859419023929475,"fmsy0"
1998,0.841752972796484,"fmsy0"
1999,0.847470658708963,"fmsy0"
2000,0.87944402718252,"fmsy0"
2001,0.866234774540054,"fmsy0"
2002,0.850786478182921,"fmsy0"
2003,0.881012473409791,"fmsy0"
2004,0.835213726342309,"fmsy0"
2005,0.853588802254339,"fmsy0"
2006,0.839373035055221,"fmsy0"
2007,0.830636505548612,"fmsy0"
2008,0.850246512294334,"fmsy0"
2009,0.840484598388822,"fmsy0"
2010,0.839171949857535,"fmsy0"
2011,0.868848386405571,"fmsy0"
2012,0.852545748058438,"fmsy0"
2013,0.83312031000024,"fmsy0"
2014,0.819672717387132,"fmsy0"
2015,0.83870090444426,"fmsy0"
1981,0.88204884226084,"fmsy1"
1982,0.910754923447739,"fmsy1"
1983,0.88919709543231,"fmsy1"
1984,0.81869251613789,"fmsy1"
1985,0.843343414160695,"fmsy1"
1986,0.812749381713987,"fmsy1"
1987,0.785697819178297,"fmsy1"
1988,0.878461443268758,"fmsy1"
1989,0.820569313414197,"fmsy1"
1990,0.78178395199501,"fmsy1"
1991,0.756921239871118,"fmsy1"
1992,0.78060455009092,"fmsy1"
1993,0.789178600281164,"fmsy1"
1994,0.773029992487255,"fmsy1"
1995,0.842805097887382,"fmsy1"
1996,0.766640979715227,"fmsy1"
1997,0.761964275529004,"fmsy1"
1998,0.761919602833866,"fmsy1"
1999,0.764320161513003,"fmsy1"
2000,0.752344857822252,"fmsy1"
2001,0.756074156243262,"fmsy1"
2002,0.782579833829753,"fmsy1"
2003,0.868571986460476,"fmsy1"
2004,0.773514895282693,"fmsy1"
2005,0.774465692793713,"fmsy1"
2006,0.766458097913208,"fmsy1"
2007,0.755725734558897,"fmsy1"
2008,0.7545644013433,"fmsy1"
2009,0.772988079704981,"fmsy1"
2010,0.84588349403087,"fmsy1"
2011,0.822713837744619,"fmsy1"
2012,0.823718211760103,"fmsy1"
2013,0.819307641973184,"fmsy1"
2014,0.764233584108115,"fmsy1"
2015,0.837152823601127,"fmsy1"
1981,0.929542713781574,"fmsy2"
1982,0.879084475446955,"fmsy2"
1983,0.798657848950873,"fmsy2"
1984,0.827097059793575,"fmsy2"
1985,0.818394733333306,"fmsy2"
1986,0.801124763724785,"fmsy2"
1987,0.744998991256327,"fmsy2"
1988,0.85870580358141,"fmsy2"
1989,0.814994200806424,"fmsy2"
1990,0.809779296197685,"fmsy2"
1991,0.810258704705898,"fmsy2"
1992,0.742125227115147,"fmsy2"
1993,0.718671857502929,"fmsy2"
1994,0.708300318603993,"fmsy2"
1995,0.723643172162618,"fmsy2"
1996,0.736516276956222,"fmsy2"
1997,0.795018277412938,"fmsy2"
1998,0.695727391813283,"fmsy2"
1999,0.730473125648078,"fmsy2"
2000,0.726956945762037,"fmsy2"
2001,0.732451179026146,"fmsy2"
2002,0.711009725724317,"fmsy2"
2003,0.747787957653087,"fmsy2"
2004,0.696157652794024,"fmsy2"
2005,0.708243864340482,"fmsy2"
2006,0.699032711709294,"fmsy2"
2007,0.71374516781961,"fmsy2"
2008,0.754794369681603,"fmsy2"
2009,0.716286269724972,"fmsy2"
2010,0.704662496883669,"fmsy2"
2011,0.713781178553658,"fmsy2"
2012,0.710192550720101,"fmsy2"
2013,0.639035623047798,"fmsy2"
2014,0.705662457329315,"fmsy2"
2015,0.687604855649234,"fmsy2"
