"year","score","scenario","type"
1981,0.860861498132332,"fmsy0","overall"
1982,0.843317180988256,"fmsy0","overall"
1983,0.820435622185387,"fmsy0","overall"
1984,0.834851898202046,"fmsy0","overall"
1985,0.850096003080307,"fmsy0","overall"
1986,0.863933374000728,"fmsy0","overall"
1987,0.844366358707805,"fmsy0","overall"
1988,0.854175365488547,"fmsy0","overall"
1989,0.823303504980645,"fmsy0","overall"
1990,0.870130343985846,"fmsy0","overall"
1991,0.863973812265034,"fmsy0","overall"
1992,0.831496958769291,"fmsy0","overall"
1993,0.858500708626599,"fmsy0","overall"
1994,0.857875304018903,"fmsy0","overall"
1995,0.854208795314344,"fmsy0","overall"
1996,0.852924396474003,"fmsy0","overall"
1997,0.834020272158562,"fmsy0","overall"
1998,0.842335602191797,"fmsy0","overall"
1999,0.84671621254331,"fmsy0","overall"
2000,0.852297987331312,"fmsy0","overall"
2001,0.879918045390433,"fmsy0","overall"
2002,0.850568588882185,"fmsy0","overall"
2003,0.861341988140135,"fmsy0","overall"
2004,0.848278623220242,"fmsy0","overall"
2005,0.830285430764694,"fmsy0","overall"
2006,0.820208621855661,"fmsy0","overall"
2007,0.82091482513069,"fmsy0","overall"
2008,0.80066330067898,"fmsy0","overall"
2009,0.839687099374767,"fmsy0","overall"
2010,0.833779547112786,"fmsy0","overall"
2011,0.828969301215896,"fmsy0","overall"
2012,0.793194868518446,"fmsy0","overall"
2013,0.833359926300493,"fmsy0","overall"
2014,0.828762817577001,"fmsy0","overall"
2015,0.820777919699993,"fmsy0","overall"
1981,0.81334157178699,"fmsy1","overall"
1982,0.814021365520062,"fmsy1","overall"
1983,0.814190496062168,"fmsy1","overall"
1984,0.844617266834278,"fmsy1","overall"
1985,0.835714364807845,"fmsy1","overall"
1986,0.829809299851357,"fmsy1","overall"
1987,0.816454609985256,"fmsy1","overall"
1988,0.859304526144046,"fmsy1","overall"
1989,0.849302588747953,"fmsy1","overall"
1990,0.858080652333819,"fmsy1","overall"
1991,0.8741037736015,"fmsy1","overall"
1992,0.864695954330197,"fmsy1","overall"
1993,0.871520675271979,"fmsy1","overall"
1994,0.871075237336193,"fmsy1","overall"
1995,0.863034171083666,"fmsy1","overall"
1996,0.857429438375714,"fmsy1","overall"
1997,0.806901194103326,"fmsy1","overall"
1998,0.848449780941752,"fmsy1","overall"
1999,0.828796525882609,"fmsy1","overall"
2000,0.837972085089814,"fmsy1","overall"
2001,0.83894450281735,"fmsy1","overall"
2002,0.810878622970882,"fmsy1","overall"
2003,0.854016888792571,"fmsy1","overall"
2004,0.81908714696384,"fmsy1","overall"
2005,0.861025964990048,"fmsy1","overall"
2006,0.857218479054222,"fmsy1","overall"
2007,0.810879587121009,"fmsy1","overall"
2008,0.836595309893688,"fmsy1","overall"
2009,0.812395810886791,"fmsy1","overall"
2010,0.823475550041884,"fmsy1","overall"
2011,0.855488905907741,"fmsy1","overall"
2012,0.812280642296016,"fmsy1","overall"
2013,0.795692264676515,"fmsy1","overall"
2014,0.821193490509055,"fmsy1","overall"
2015,0.818776936388009,"fmsy1","overall"
1981,0.853879684733005,"fmsy2","overall"
1982,0.820352157884548,"fmsy2","overall"
1983,0.855732338104839,"fmsy2","overall"
1984,0.825938688276308,"fmsy2","overall"
1985,0.846662782733572,"fmsy2","overall"
1986,0.850954775946046,"fmsy2","overall"
1987,0.849292109361093,"fmsy2","overall"
1988,0.846025209208918,"fmsy2","overall"
1989,0.801561225867909,"fmsy2","overall"
1990,0.824050874464493,"fmsy2","overall"
1991,0.81880735868718,"fmsy2","overall"
1992,0.799264718625976,"fmsy2","overall"
1993,0.807617718605019,"fmsy2","overall"
1994,0.761814773850283,"fmsy2","overall"
1995,0.826884080855529,"fmsy2","overall"
1996,0.768890526951188,"fmsy2","overall"
1997,0.812786035916704,"fmsy2","overall"
1998,0.782765376693208,"fmsy2","overall"
1999,0.763772219712291,"fmsy2","overall"
2000,0.789271320300045,"fmsy2","overall"
2001,0.789502645805151,"fmsy2","overall"
2002,0.777526432254793,"fmsy2","overall"
2003,0.80596649403414,"fmsy2","overall"
2004,0.788336244157503,"fmsy2","overall"
2005,0.814575637345589,"fmsy2","overall"
2006,0.811824861897407,"fmsy2","overall"
2007,0.794120541543733,"fmsy2","overall"
2008,0.756417700353683,"fmsy2","overall"
2009,0.778141632143758,"fmsy2","overall"
2010,0.803733232446765,"fmsy2","overall"
2011,0.735079601898109,"fmsy2","overall"
2012,0.807804188399849,"fmsy2","overall"
2013,0.758707390762142,"fmsy2","overall"
2014,0.772684364340501,"fmsy2","overall"
2015,0.745563671917157,"fmsy2","overall"
