"year","score","scenario"
1981,0.859692819617568,"fmsy0"
1982,0.864253829855644,"fmsy0"
1983,0.878132114540208,"fmsy0"
1984,0.897179496474171,"fmsy0"
1985,0.910529403044621,"fmsy0"
1986,0.927286367234436,"fmsy0"
1987,0.950901348285708,"fmsy0"
1988,0.965018577025787,"fmsy0"
1989,0.993576114677688,"fmsy0"
1990,0.997758162137764,"fmsy0"
1991,0.993865199171961,"fmsy0"
1992,0.993786775990917,"fmsy0"
1993,0.991649426415082,"fmsy0"
1994,0.990023749048051,"fmsy0"
1995,0.988349421648807,"fmsy0"
1996,0.987979494755175,"fmsy0"
1997,0.987775411834154,"fmsy0"
1998,0.986269106583838,"fmsy0"
1999,0.988675635645692,"fmsy0"
2000,0.987760632760589,"fmsy0"
2001,0.987888899462194,"fmsy0"
2002,0.990975779170709,"fmsy0"
2003,0.990583699393396,"fmsy0"
2004,0.98884595933354,"fmsy0"
2005,0.985986901586401,"fmsy0"
2006,0.975159599392127,"fmsy0"
2007,0.973354869219815,"fmsy0"
2008,0.972770200254269,"fmsy0"
2009,0.971733408185944,"fmsy0"
2010,0.971263346220325,"fmsy0"
2011,0.970022191196476,"fmsy0"
2012,0.969265747749022,"fmsy0"
2013,0.969548581547151,"fmsy0"
2014,0.968489714036493,"fmsy0"
2015,0.968976301925664,"fmsy0"
1981,0.847078056011909,"fmsy1"
1982,0.866541028551792,"fmsy1"
1983,0.875396729407066,"fmsy1"
1984,0.892167483859136,"fmsy1"
1985,0.90323511831605,"fmsy1"
1986,0.923278811058597,"fmsy1"
1987,0.945221504993372,"fmsy1"
1988,0.964935926060989,"fmsy1"
1989,0.993103080886505,"fmsy1"
1990,0.994422280384866,"fmsy1"
1991,0.985017670367431,"fmsy1"
1992,0.992535327998708,"fmsy1"
1993,0.983866839923861,"fmsy1"
1994,0.979459724683857,"fmsy1"
1995,0.976119066144644,"fmsy1"
1996,0.974334517452641,"fmsy1"
1997,0.96895412917149,"fmsy1"
1998,0.969359133183713,"fmsy1"
1999,0.970386105419128,"fmsy1"
2000,0.96654172562648,"fmsy1"
2001,0.963854596568233,"fmsy1"
2002,0.965617578905677,"fmsy1"
2003,0.962394755456106,"fmsy1"
2004,0.962273948496137,"fmsy1"
2005,0.964098335678132,"fmsy1"
2006,0.961712878177995,"fmsy1"
2007,0.955442651258454,"fmsy1"
2008,0.958775169988174,"fmsy1"
2009,0.957948513171049,"fmsy1"
2010,0.952376388124619,"fmsy1"
2011,0.951185740555274,"fmsy1"
2012,0.952827706021654,"fmsy1"
2013,0.945802279201429,"fmsy1"
2014,0.94656430367758,"fmsy1"
2015,0.949475027021148,"fmsy1"
1981,0.847839754316378,"fmsy2"
1982,0.859685115467101,"fmsy2"
1983,0.873481993322152,"fmsy2"
1984,0.86813315585596,"fmsy2"
1985,0.863591747484368,"fmsy2"
1986,0.866433470743469,"fmsy2"
1987,0.869972398748428,"fmsy2"
1988,0.874523767101801,"fmsy2"
1989,0.892812204018023,"fmsy2"
1990,0.889057880538897,"fmsy2"
1991,0.880945079127671,"fmsy2"
1992,0.875969810835658,"fmsy2"
1993,0.870376249611252,"fmsy2"
1994,0.868187425906631,"fmsy2"
1995,0.863715258913812,"fmsy2"
1996,0.858684865113647,"fmsy2"
1997,0.857191169794745,"fmsy2"
1998,0.855787107464524,"fmsy2"
1999,0.854945571829528,"fmsy2"
2000,0.854204262666038,"fmsy2"
2001,0.852696365644979,"fmsy2"
2002,0.851057304973874,"fmsy2"
2003,0.85122691738301,"fmsy2"
2004,0.847614622145297,"fmsy2"
2005,0.843703676479471,"fmsy2"
2006,0.845030367436,"fmsy2"
2007,0.846014267141831,"fmsy2"
2008,0.84523915728698,"fmsy2"
2009,0.845046429090791,"fmsy2"
2010,0.8433249876369,"fmsy2"
2011,0.841531797545402,"fmsy2"
2012,0.838736692386543,"fmsy2"
2013,0.836561253962571,"fmsy2"
2014,0.837486916191882,"fmsy2"
2015,0.838611724070496,"fmsy2"
