"year","score","scenario"
1981,0.921703035545959,"fmsy0"
1982,0.964688396350515,"fmsy0"
1983,0.972828310014578,"fmsy0"
1984,0.937815907758817,"fmsy0"
1985,0.888583928033128,"fmsy0"
1986,0.907812090692348,"fmsy0"
1987,0.93252122054601,"fmsy0"
1988,0.954238541707312,"fmsy0"
1989,0.916832971240988,"fmsy0"
1990,0.934414080142248,"fmsy0"
1991,0.877897505942834,"fmsy0"
1992,0.96425822995257,"fmsy0"
1993,0.953506030048745,"fmsy0"
1994,0.894867874178728,"fmsy0"
1995,0.945401546706598,"fmsy0"
1996,0.944706462059303,"fmsy0"
1997,0.939389318375987,"fmsy0"
1998,0.939720593618401,"fmsy0"
1999,0.901548518845529,"fmsy0"
2000,0.917840001154566,"fmsy0"
2001,0.92618277799633,"fmsy0"
2002,0.932165730109432,"fmsy0"
2003,0.983290449666591,"fmsy0"
2004,0.929557216389122,"fmsy0"
2005,0.952028060881415,"fmsy0"
2006,0.942871565024739,"fmsy0"
2007,0.913182032147141,"fmsy0"
2008,0.896163624921412,"fmsy0"
2009,0.898445314099778,"fmsy0"
2010,0.861631743380912,"fmsy0"
2011,0.933638855734463,"fmsy0"
2012,0.924391437509301,"fmsy0"
2013,0.914711711103444,"fmsy0"
2014,0.848764657690841,"fmsy0"
2015,0.922816788502846,"fmsy0"
1981,0.914883040742341,"fmsy1"
1982,0.971165504180022,"fmsy1"
1983,0.972900956585549,"fmsy1"
1984,0.880387340428549,"fmsy1"
1985,0.89731956218174,"fmsy1"
1986,0.906572889360253,"fmsy1"
1987,0.941596161388057,"fmsy1"
1988,0.992169604912451,"fmsy1"
1989,0.913884747884773,"fmsy1"
1990,0.93712345787349,"fmsy1"
1991,0.858940511989085,"fmsy1"
1992,0.971441437556696,"fmsy1"
1993,0.954287482854458,"fmsy1"
1994,0.933555366773162,"fmsy1"
1995,0.958829823235379,"fmsy1"
1996,0.933173490192404,"fmsy1"
1997,0.888466917573694,"fmsy1"
1998,0.909951808880747,"fmsy1"
1999,0.864670290307645,"fmsy1"
2000,0.867551898568554,"fmsy1"
2001,0.847149975397064,"fmsy1"
2002,0.910389166924576,"fmsy1"
2003,0.97293514238913,"fmsy1"
2004,0.971938107844951,"fmsy1"
2005,0.945515652694424,"fmsy1"
2006,0.898910315729189,"fmsy1"
2007,0.902201536781333,"fmsy1"
2008,0.892887555133293,"fmsy1"
2009,0.953915928424849,"fmsy1"
2010,0.905187422655133,"fmsy1"
2011,0.917436914895092,"fmsy1"
2012,0.9156184672721,"fmsy1"
2013,0.841987725347079,"fmsy1"
2014,0.911253808035475,"fmsy1"
2015,0.966184447467853,"fmsy1"
1981,0.958716251867826,"fmsy2"
1982,0.963101862420556,"fmsy2"
1983,0.952940508639721,"fmsy2"
1984,0.885236472785785,"fmsy2"
1985,0.941497128011686,"fmsy2"
1986,0.87791563466672,"fmsy2"
1987,0.909733401675616,"fmsy2"
1988,0.918502381485755,"fmsy2"
1989,0.911303490051505,"fmsy2"
1990,0.906149564944538,"fmsy2"
1991,0.826005563120599,"fmsy2"
1992,0.867960002800756,"fmsy2"
1993,0.858674836050803,"fmsy2"
1994,0.82477153802463,"fmsy2"
1995,0.841551047860196,"fmsy2"
1996,0.758079284236972,"fmsy2"
1997,0.8782491322122,"fmsy2"
1998,0.773780972035226,"fmsy2"
1999,0.853712236261484,"fmsy2"
2000,0.800729776558298,"fmsy2"
2001,0.766163182028772,"fmsy2"
2002,0.813482426832124,"fmsy2"
2003,0.813928063851496,"fmsy2"
2004,0.792268024028441,"fmsy2"
2005,0.845643077355972,"fmsy2"
2006,0.813476655568604,"fmsy2"
2007,0.861303972515972,"fmsy2"
2008,0.856333824967913,"fmsy2"
2009,0.82484216667731,"fmsy2"
2010,0.756357543019458,"fmsy2"
2011,0.796452503526542,"fmsy2"
2012,0.84357207582309,"fmsy2"
2013,0.720055184850574,"fmsy2"
2014,0.852796459967434,"fmsy2"
2015,0.762164080392973,"fmsy2"
