year,status,scenario
1981,NA,fmsy2
1982,NA,fmsy2
1983,NA,fmsy2
1984,NA,fmsy2
1985,0.595740514,fmsy2
1986,0.507308553,fmsy2
1987,0.44866541,fmsy2
1988,0.407454012,fmsy2
1989,0.376652446,fmsy2
1990,0.353275355,fmsy2
1991,0.33510227,fmsy2
1992,0.320927843,fmsy2
1993,0.309613817,fmsy2
1994,0.300953191,fmsy2
1995,0.29433736,fmsy2
1996,0.289046235,fmsy2
1997,0.285374748,fmsy2
1998,0.283131718,fmsy2
1999,0.281437208,fmsy2
2000,0.280063149,fmsy2
2001,0.27950509,fmsy2
2002,0.2794231,fmsy2
2003,0.280239462,fmsy2
2004,0.28248951,fmsy2
2005,0.285720877,fmsy2
2006,0.290058179,fmsy2
2007,0.295828669,fmsy2
2008,0.302661676,fmsy2
2009,0.311012939,fmsy2
2010,0.321383729,fmsy2
2011,0.333927355,fmsy2
2012,0.348895881,fmsy2
2013,0.366736807,fmsy2
2014,0.387523514,fmsy2
2015,0.410624012,fmsy2
