Time POB KWH SWH HWH MWH FWH BES HAS HOS RIS SBA SBB SHO DEO PEL PES REO DEL FLA LRD SSK MES GRH MAC HAD SAI RED BWH SSH NCO PCO CAP PWN CEP KCR SCR ZG ZL ZM ZS DF PS PL BC BD BFF SPO COR PB BB DR DL DC DIN RelPOB RelKWH RelSWH RelHWH RelMWH RelFWH RelBES RelHAS RelHOS RelRIS RelSBA RelSBB RelSHO RelDEO RelPEL RelPES RelREO RelDEL RelFLA RelLRD RelSSK RelMES RelGRH RelMAC RelHAD RelSAI RelRED RelBWH RelSSH RelNCO RelPCO RelCAP RelPWN RelCEP RelKCR RelSCR RelZG RelZL RelZM RelZS RelDF RelPS RelPL RelBC RelBD RelBFF RelSPO RelCOR RelPB RelBB RelDR RelDL RelDC RelDIN PelDemRatio PiscivPlankRatio DivCount InfEpiRatio BSSslope HabitCover
0.000000e+00 508.494000 35038.798788 174830.159995 129840.999997 476657.300003 681600.000017 3683.723447 141586.546400 19683.587713 4997.079916 6205.112000 5366.539501 179975.518159 1127207.235322 6459.634603 124972.823329 471046.471983 75448.672680 73130.112651 157845.829877 93002.805445 3507118.321881 93325.362233 404985.289990 185780.314982 354971.439355 323601.227218 1171462.838603 503769.829682 1022866.421489 227956.145169 5790813.871714 286922.347073 1481927.883346 6956.654503 1004.995523 6331368.904419 19121318.321157 33414225.780784 61478246.069679 1830534.487833 45725706.386875 45725706.386875 3634915.238316 3634915.238316 7707035.115638 9641372.790003 10069687.203636 4572570.638687 4597774.273266 647732763.252358 1210373242.945876 0.000000 76934745299.740997 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.000000 0.000000 0.000000 0.000000 -166918.437757 17.400000
7.300000e+01 497.814465 36556.672296 174832.316623 124199.052653 478066.495120 682834.432521 3698.353143 140540.035353 20538.773501 4970.663502 6304.807435 5420.394400 193694.458978 1214930.404842 7025.510030 134083.620029 473753.785161 72740.989370 76450.164877 182636.528537 96016.730950 3970162.585593 96650.661677 404985.289990 206678.283308 358993.846658 283841.152349 963855.426534 463558.737501 822233.784239 240143.175373 1234306.710498 379760.228662 5379064.302216 6837.816409 689.594800 6308037.539764 19186519.380315 64129916.812270 1114083307.959660 2452786.450377 380522070.878313 2049354736.168196 3649279.007624 3678627.074706 7715722.800054 9640850.704129 10050309.272832 218462989.898700 199352653.216983 606929918.777816 762278281.799688 0.000000 73400965100.707703 0.978998 1.043320 1.000012 0.956547 1.002956 1.001811 1.003971 0.992609 1.043447 0.994714 1.016067 1.010035 1.076227 1.077823 1.087602 1.072902 1.005747 0.964112 1.045399 1.157056 1.032407 1.132030 1.035631 1.000000 1.112488 1.011332 0.877132 0.822779 0.920180 0.803853 1.053462 0.213149 1.323564 3.629775 0.982917 0.686167 0.996315 1.003410 1.919240 18.121586 1.339929 8.321841 44.818438 1.003952 1.012026 1.001127 0.999946 0.998076 47.776843 43.358512 0.937007 0.629788 1.000000 0.954068 1.256668 393344776903428079670525952.000000 29.340000 324426121.073225 -194200.007644 0.248358
1.460000e+02 437.482006 34630.193983 174159.754533 125274.515185 489749.516639 687489.015791 4301.971213 147309.742160 21684.985641 4608.970957 6403.778298 5470.236304 188605.218805 1037852.005130 48857.457542 93494.337159 426301.860504 77345.630981 64603.592677 132268.727892 78201.072213 3924933.423613 101501.544066 4632592.120064 200909.780702 447900.196137 329199.850809 1137701.888200 516545.540991 724290.468080 253153.906255 1943004.999503 510523.098919 5739432.064246 6759.775653 645.474603 6287892.515879 21640333.578206 350290100.465049 1408646876.284658 917372.963600 33173108.831834 182802027.305197 3664192.774407 3770820.503084 7783714.548908 9647938.804448 10069171.083475 687500775.067614 224853452.586417 627204871.099029 1596811920.052378 0.000000 74620169818.015991 0.860348 0.988339 0.996165 0.964830 1.027467 1.008640 1.167832 1.040422 1.101679 0.922333 1.032017 1.019323 1.047949 0.920729 7.563502 0.748117 0.905010 1.025142 0.883406 0.837961 0.840846 1.119133 1.087609 11.438915 1.081437 1.261792 1.017301 0.971181 1.025360 0.708099 1.110538 0.335532 1.779308 3.872950 0.971699 0.642266 0.993133 1.131739 10.483263 22.912932 0.501150 0.725481 3.997796 1.008055 1.037389 1.009949 1.000681 0.999949 150.353232 48.904848 0.968308 1.319272 1.000000 0.969915 209103533636304437248.000000 442125822634081135206858752.000000 31.960000 328869264.149041 -191253.108747 0.249785
2.190000e+02 435.655370 36589.945960 173451.164232 126189.345221 507436.907010 703356.851777 3776.493135 167560.052247 22895.198762 4626.863504 5515.538040 4391.973573 204875.171219 1233340.159790 38235.228759 104301.866538 443773.135287 60190.818886 71304.155499 170438.759170 81587.001651 3518016.458054 110909.342969 4623313.549521 229429.623713 544180.132102 469163.340893 1286240.924118 569775.706933 772409.851788 269328.886379 2507752.719631 1416257.454389 6764703.053193 6680.860650 922.323153 6272242.040029 25100061.268207 878983460.730092 1378151423.647717 226508868.396378 33049704.960621 4366796998.966807 3679652.963412 3873387.402807 7847930.829436 9658397.812827 10092966.252160 718581518.637018 277521106.319345 626440225.276483 1869591978.516750 0.000000 69866294770.910278 0.856756 1.044269 0.992112 0.971876 1.064574 1.031920 1.025184 1.183446 1.163162 0.925913 0.888870 0.818400 1.138350 1.094156 5.919101 0.834596 0.942101 0.797772 0.975031 1.079780 0.877253 1.003107 1.188416 11.416004 1.234951 1.533025 1.449819 1.097978 1.131024 0.755142 1.181494 0.433057 4.936030 4.564799 0.960355 0.917739 0.990661 1.312674 26.305666 22.416896 123.739197 0.722782 95.499826 1.012308 1.065606 1.018281 1.001766 1.002312 157.150447 60.359881 0.967128 1.544641 1.000000 0.908124 208426987400202125312.000000 495365721349245011570458624.000000 32.640000 333631415.921556 -166276.955510 0.251160
2.920000e+02 433.847928 39363.105549 173021.790377 127146.037918 518032.534479 719087.178731 3766.399520 187185.306366 24236.083437 4639.455743 5524.377044 4551.013712 221126.255453 1389948.818652 34115.667201 114991.951738 476016.618994 65614.646677 76042.861455 209964.831338 81310.439361 4051508.821765 123746.532671 4360151.323822 260182.311610 645048.044257 498719.868489 1444703.624133 627585.272827 593235.334887 260304.521130 2919549.712278 6682584.146386 9677999.738451 6616.733178 830.809369 6259210.861515 30940157.470822 1391770269.617513 73106326.699552 845818.976029 33037256.613895 4403843974.053998 3695640.002982 3984029.650916 7852330.648131 9661650.311222 10112559.366172 652761086.057905 331556734.455268 620309742.179854 1685143723.353594 0.000000 71003108428.122787 0.853202 1.123415 0.989656 0.979244 1.086803 1.054999 1.022444 1.322056 1.231284 0.928433 0.890294 0.848035 1.228646 1.233091 5.281362 0.920136 1.010551 0.869659 1.039830 1.330189 0.874279 1.155224 1.325969 10.766197 1.400484 1.817183 1.541156 1.233248 1.245778 0.579973 1.141906 0.504169 23.290567 6.530682 0.951137 0.826680 0.988603 1.618098 41.652028 1.189141 0.462061 0.722509 96.310026 1.016706 1.096045 1.018852 1.002103 1.004258 142.755823 72.112443 0.957663 1.392251 1.000000 0.922900 94137995598589673472.000000 573754249257493353031794688.000000 31.340000 339062328.892173 -196863.920612 0.251177
3.650000e+02 427.409288 43278.026369 172302.463374 127901.106633 496544.738498 673422.718536 3759.682966 198890.452229 25555.942728 4643.779585 5681.055718 4668.900484 233704.208917 1657219.074828 32225.593330 125451.707772 505783.032672 64604.858610 80266.279906 249022.021143 85248.878690 4551603.252347 126797.951391 4360151.323822 291935.785126 753168.986509 480679.444126 1609798.674233 675916.863561 559848.622444 272340.265796 3241197.123618 19067136.774820 14344009.161199 6563.250951 753.252834 6249465.304308 37211134.918948 1284299173.578514 852361.164588 614566.946650 32652888.494719 2474167582.295026 3711781.643454 4099843.498687 7773878.181601 9664991.390884 10135353.959964 597837253.522823 375368018.441386 619388084.172435 1541710262.043415 0.000000 73157764852.398529 0.840539 1.235146 0.985542 0.985059 1.041723 0.988003 1.020620 1.404727 1.298338 0.929299 0.915544 0.870002 1.298533 1.470199 4.988764 1.003832 1.073743 0.856276 1.097582 1.577628 0.916627 1.297819 1.358666 10.766197 1.571403 2.121773 1.485407 1.374178 1.341718 0.547333 1.194705 0.559714 66.453997 9.679290 0.943449 0.749509 0.987064 1.946055 38.435700 0.013864 0.335731 0.714104 54.108898 1.021147 1.127906 1.008673 1.002450 1.006521 130.744236 81.641246 0.956240 1.273748 1.000000 0.950907 1.573510 581332312972869676115689472.000000 28.160000 344869744.005785 -229104.809207 0.247497
4.380000e+02 435.221840 45768.875551 172382.894251 122360.530467 497643.403978 674408.148978 3756.438813 191909.061483 26800.045690 4649.042169 5849.335805 4762.352639 252498.033743 1819036.742622 31118.215860 135634.461379 526080.345472 69979.293119 84157.105484 287874.723375 89132.128307 5022049.515666 145419.624923 4360151.323822 320219.084459 725033.270340 411415.079055 1271479.477296 622995.637910 525150.698672 287709.771323 1257501.704601 19477924.070448 19623451.255183 6561.763815 585.283825 6244160.761975 41328081.778444 1000451373.370384 5.008987 464133.535978 32395398.735697 1662210888.483086 3728496.442537 4219732.220803 7796328.886726 9667877.484462 10156806.501889 486839078.483048 408270238.515390 611210764.407269 1320949733.273461 0.000000 74609857574.572098 0.855904 1.306234 0.986002 0.942387 1.044028 0.989449 1.019740 1.355419 1.361543 0.930352 0.942664 0.887416 1.402958 1.613755 4.817334 1.085312 1.116833 0.927509 1.150786 1.823771 0.958381 1.431959 1.558200 10.766197 1.723644 2.042512 1.271364 1.085378 1.236667 0.513411 1.262128 0.217155 67.885699 13.241840 0.943236 0.582375 0.986226 2.161362 29.940881 0.000000 0.253551 0.708472 36.351782 1.025745 1.160889 1.011586 1.002749 1.008652 106.469449 88.797365 0.943616 1.091357 1.000000 0.969781 1.179159 393454435773087127923851264.000000 28.580000 350486855.374312 -256838.364571 0.247779
5.110000e+02 404.327278 43686.352879 170551.976858 123321.540514 507569.985814 678774.462912 4342.112219 191672.562824 27826.771735 4435.249664 6012.951875 4838.322131 245032.394238 1555079.589823 88432.456729 108253.946110 501869.978258 75124.669075 73125.748742 204206.244404 78918.446179 4843339.194757 162687.415851 5150054.506809 300021.340130 840152.077216 407221.112214 1495289.981324 670970.768973 518853.841313 303008.547520 1899965.032826 19069251.377679 20889172.694362 6527.589875 543.866108 6245625.282748 45250708.705661 666008527.710406 86008351.558362 1288896.736596 48737029.409452 2887484840.964417 3745533.792527 4343124.904166 7821337.846380 9670140.071216 10173515.434309 503944785.801267 432421341.029505 612393834.530695 1297766338.562469 0.000000 73644794792.158356 0.795147 1.246799 0.975529 0.949789 1.064853 0.995855 1.178729 1.353748 1.413704 0.887568 0.969032 0.901572 1.361476 1.379586 13.690009 0.866220 1.065436 0.995706 0.999940 1.293707 0.848560 1.381003 1.743228 12.716646 1.614925 2.366816 1.258404 1.276430 1.331899 0.507255 1.329241 0.328100 66.461367 14.095944 0.938323 0.541163 0.986457 2.366506 19.931886 1.399005 0.704110 1.065856 63.147955 1.030432 1.194835 1.014831 1.002984 1.010311 110.210388 94.050146 0.945442 1.072203 1.000000 0.957237 206363109376156598272.000000 432245736349003892830240768.000000 32.000000 356371684.357425 -246023.051274 0.248221
5.840000e+02 402.404132 45995.025411 168896.161642 124228.309790 528104.592646 695561.394882 4174.917963 192750.906194 29079.359778 4470.345640 6019.420192 4729.660196 259075.000367 1799812.415711 80370.886100 123724.575676 522379.409626 60149.877365 77906.518852 246221.547003 82775.306960 4284840.546942 179004.156086 4505410.872960 332296.369524 957229.820588 512967.485851 1700820.764175 729113.650856 655088.526966 318593.637275 2319274.706190 18784830.899422 22058441.492022 6482.131695 643.010809 6248286.766835 49655007.648976 574192458.920277 163214508.893201 660533190.977975 32429709.680200 8095273503.602396 3763109.005067 4473505.786333 7844282.937209 9672184.262144 10186671.882899 709726388.828313 455772841.334581 631319731.435616 1833453872.357505 0.000000 67121882638.276016 0.791365 1.312688 0.966058 0.956773 1.107934 1.020483 1.133342 1.361365 1.477340 0.894592 0.970074 0.881324 1.439501 1.596701 12.442017 0.990012 1.108976 0.797229 1.065314 1.559886 0.890030 1.221755 1.918065 11.124875 1.788652 2.696639 1.585184 1.451878 1.447315 0.640444 1.397609 0.400509 65.470087 14.884963 0.931789 0.639815 0.986878 2.596840 17.184072 2.654834 360.841708 0.709223 177.039879 1.035267 1.230704 1.017808 1.003196 1.011618 155.213871 99.129016 0.974661 1.514784 1.000000 0.872452 206955137578095476736.000000 479020439599248982535045120.000000 32.720000 362455256.759941 -212037.863672 0.248674
6.570000e+02 400.523477 48169.304287 167816.485061 125171.724043 543223.582518 710186.055044 4128.371384 196273.100449 30665.022228 4499.802984 6083.456008 4858.871357 272201.644240 1934471.852617 82028.428683 138503.558977 554779.949461 65701.263048 81772.868484 288825.746541 82994.064117 5018446.593144 195186.429802 4054843.462214 365437.383723 1079305.336473 509879.836611 1919337.835367 793400.291920 542019.785810 305720.290596 2609050.697685 20066991.276689 24587729.556251 6435.514417 604.218744 6239725.289887 67716574.444954 1063840885.484808 10255025.210341 618975422.293861 32347763.953628 5462330911.256259 3781335.357778 4612034.164281 7850663.395186 9674763.397498 10196035.773946 971761315.517708 493555849.983546 651617930.541081 2508868704.335930 0.000000 68003509863.656898 0.787666 1.374742 0.959883 0.964039 1.139652 1.041940 1.120706 1.386241 1.557898 0.900486 0.980394 0.905401 1.512437 1.716163 12.698617 1.108269 1.177761 0.870807 1.118183 1.829796 0.892382 1.430932 2.091462 10.012323 1.967040 3.040541 1.575642 1.638411 1.574926 0.529903 1.341136 0.450550 69.938753 16.591718 0.925088 0.601215 0.985525 3.541418 31.837963 0.166807 338.139175 0.707431 119.458645 1.040282 1.268815 1.018636 1.003463 1.012547 212.519695 107.346690 1.005998 2.072806 1.000000 0.883912 93322286319513436160.000000 563009461097287183979511808.000000 31.580000 368943191.983346 -254511.928981 0.248780
