Time SWH_juv_0_Migrating_Biomass(tonnes) SWH_juv_0_Total_biomass(tonnes) SWH_juv_0_Prop_Migrating SWH_ad_0_Migrating_Biomass(tonnes) SWH_ad_0_Total_biomass(tonnes) SWH_ad_0_Prop_Migrating HWH_juv_0_Migrating_Biomass(tonnes) HWH_juv_0_Total_biomass(tonnes) HWH_juv_0_Prop_Migrating HWH_ad_0_Migrating_Biomass(tonnes) HWH_ad_0_Total_biomass(tonnes) HWH_ad_0_Prop_Migrating MWH_juv_0_Migrating_Biomass(tonnes) MWH_juv_0_Total_biomass(tonnes) MWH_juv_0_Prop_Migrating MWH_ad_0_Migrating_Biomass(tonnes) MWH_ad_0_Total_biomass(tonnes) MWH_ad_0_Prop_Migrating FWH_juv_0_Migrating_Biomass(tonnes) FWH_juv_0_Total_biomass(tonnes) FWH_juv_0_Prop_Migrating FWH_ad_0_Migrating_Biomass(tonnes) FWH_ad_0_Total_biomass(tonnes) FWH_ad_0_Prop_Migrating HOS_juv_0_Migrating_Biomass(tonnes) HOS_juv_0_Total_biomass(tonnes) HOS_juv_0_Prop_Migrating HOS_ad_0_Migrating_Biomass(tonnes) HOS_ad_0_Total_biomass(tonnes) HOS_ad_0_Prop_Migrating PEL_juv_0_Migrating_Biomass(tonnes) PEL_juv_0_Total_biomass(tonnes) PEL_juv_0_Prop_Migrating PEL_ad_0_Migrating_Biomass(tonnes) PEL_ad_0_Total_biomass(tonnes) PEL_ad_0_Prop_Migrating MAC_juv_0_Migrating_Biomass(tonnes) MAC_juv_0_Total_biomass(tonnes) MAC_juv_0_Prop_Migrating MAC_ad_0_Migrating_Biomass(tonnes) MAC_ad_0_Total_biomass(tonnes) MAC_ad_0_Prop_Migrating BWH_juv_0_Migrating_Biomass(tonnes) BWH_juv_0_Total_biomass(tonnes) BWH_juv_0_Prop_Migrating BWH_ad_0_Migrating_Biomass(tonnes) BWH_ad_0_Total_biomass(tonnes) BWH_ad_0_Prop_Migrating
0.000000e+00 9.540000e+03 9.540000e+03 1.000000e+00 1.646700e+05 1.652902e+05 9.962481e-01 1.485200e+04 1.485200e+04 1.000000e+00 1.148210e+05 1.149890e+05 9.985390e-01 9.399800e+04 9.399800e+04 1.000000e+00 3.826593e+05 3.826593e+05 1.000000e+00 1.380000e+05 1.380000e+05 1.000000e+00 5.436000e+05 5.436000e+05 1.000000e+00 0.000000e+00 3.540879e+03 0.000000e+00 0.000000e+00 1.614271e+04 0.000000e+00 0.000000e+00 2.547532e+02 0.000000e+00 0.000000e+00 6.204881e+03 0.000000e+00 9.571835e+04 9.571835e+04 1.000000e+00 3.092669e+05 3.092669e+05 1.000000e+00 0.000000e+00 6.119515e+04 0.000000e+00 0.000000e+00 1.110268e+06 0.000000e+00
7.300000e+01 9.540000e+03 9.540000e+03 1.000000e+00 1.646700e+05 1.652923e+05 9.962351e-01 3.891600e+03 1.289223e+04 3.018562e-01 3.447450e+04 1.113068e+05 3.097249e-01 2.819940e+04 9.481212e+04 2.974240e-01 1.147978e+05 3.832544e+05 2.995342e-01 4.140000e+04 1.388628e+05 2.981360e-01 1.630800e+05 5.439716e+05 2.997950e-01 0.000000e+00 3.794596e+03 0.000000e+00 0.000000e+00 1.674418e+04 0.000000e+00 0.000000e+00 2.857186e+02 0.000000e+00 0.000000e+00 6.739791e+03 0.000000e+00 9.571835e+04 9.571835e+04 1.000000e+00 3.092669e+05 3.092669e+05 1.000000e+00 0.000000e+00 6.613075e+04 0.000000e+00 8.977247e+05 8.977247e+05 1.000000e+00
1.460000e+02 0.000000e+00 8.875540e+03 0.000000e+00 0.000000e+00 1.652842e+05 0.000000e+00 0.000000e+00 1.354791e+04 0.000000e+00 0.000000e+00 1.117266e+05 0.000000e+00 0.000000e+00 9.790628e+04 0.000000e+00 0.000000e+00 3.918432e+05 0.000000e+00 0.000000e+00 1.383600e+05 0.000000e+00 0.000000e+00 5.491290e+05 0.000000e+00 0.000000e+00 5.619658e+03 0.000000e+00 0.000000e+00 1.606533e+04 0.000000e+00 0.000000e+00 4.404852e+04 0.000000e+00 0.000000e+00 4.808939e+03 0.000000e+00 4.344696e+06 4.344696e+06 1.000000e+00 2.878962e+05 2.878962e+05 1.000000e+00 1.243760e+05 1.444380e+05 8.611027e-01 0.000000e+00 9.932639e+05 0.000000e+00
2.190000e+02 0.000000e+00 8.153261e+03 0.000000e+00 0.000000e+00 1.652979e+05 0.000000e+00 0.000000e+00 1.405176e+04 0.000000e+00 0.000000e+00 1.121376e+05 0.000000e+00 0.000000e+00 1.066269e+05 0.000000e+00 0.000000e+00 4.008100e+05 0.000000e+00 0.000000e+00 1.488767e+05 0.000000e+00 0.000000e+00 5.544801e+05 0.000000e+00 0.000000e+00 6.142755e+03 0.000000e+00 0.000000e+00 1.675244e+04 0.000000e+00 0.000000e+00 3.260769e+04 0.000000e+00 0.000000e+00 5.627539e+03 0.000000e+00 0.000000e+00 4.260580e+06 0.000000e+00 0.000000e+00 3.627334e+05 0.000000e+00 1.243760e+05 1.495880e+05 8.314569e-01 0.000000e+00 1.136653e+06 0.000000e+00
2.920000e+02 0.000000e+00 7.535584e+03 0.000000e+00 0.000000e+00 1.654862e+05 0.000000e+00 0.000000e+00 1.460330e+04 0.000000e+00 0.000000e+00 1.125427e+05 0.000000e+00 0.000000e+00 1.053730e+05 0.000000e+00 0.000000e+00 4.126595e+05 0.000000e+00 0.000000e+00 1.587481e+05 0.000000e+00 0.000000e+00 5.603391e+05 0.000000e+00 0.000000e+00 6.677663e+03 0.000000e+00 0.000000e+00 1.755842e+04 0.000000e+00 0.000000e+00 2.765301e+04 0.000000e+00 0.000000e+00 6.462657e+03 0.000000e+00 3.959811e+06 3.959811e+06 1.000000e+00 4.003403e+05 4.003403e+05 1.000000e+00 1.243760e+05 1.549113e+05 8.028850e-01 0.000000e+00 1.289792e+06 0.000000e+00
3.650000e+02 1.827716e+04 1.827716e+04 1.000000e+00 1.389886e+05 1.540253e+05 9.023754e-01 1.504868e+04 1.504868e+04 1.000000e+00 1.128524e+05 1.128524e+05 1.000000e+00 1.079354e+05 1.079354e+05 1.000000e+00 3.886094e+05 3.886094e+05 1.000000e+00 1.430948e+05 1.430948e+05 1.000000e+00 5.303280e+05 5.303280e+05 1.000000e+00 0.000000e+00 7.083524e+03 0.000000e+00 0.000000e+00 1.847242e+04 0.000000e+00 0.000000e+00 2.492348e+04 0.000000e+00 0.000000e+00 7.302115e+03 0.000000e+00 3.959811e+06 3.959811e+06 1.000000e+00 4.003403e+05 4.003403e+05 1.000000e+00 0.000000e+00 1.606259e+05 0.000000e+00 0.000000e+00 1.449173e+06 0.000000e+00
4.380000e+02 1.827716e+04 1.827716e+04 1.000000e+00 1.389886e+05 1.541057e+05 9.019044e-01 3.987787e+03 1.312587e+04 3.038112e-01 3.384834e+04 1.092347e+05 3.098681e-01 3.238061e+04 1.084383e+05 2.986085e-01 1.165828e+05 3.892051e+05 2.995408e-01 4.292843e+04 1.437081e+05 2.987196e-01 1.590984e+05 5.307000e+05 2.997897e-01 0.000000e+00 7.183082e+03 0.000000e+00 0.000000e+00 1.961696e+04 0.000000e+00 0.000000e+00 2.300164e+04 0.000000e+00 0.000000e+00 8.116572e+03 0.000000e+00 3.959811e+06 3.959811e+06 1.000000e+00 4.003403e+05 4.003403e+05 1.000000e+00 0.000000e+00 1.794187e+05 0.000000e+00 1.092061e+06 1.092061e+06 1.000000e+00
5.110000e+02 0.000000e+00 1.600625e+04 0.000000e+00 0.000000e+00 1.545457e+05 0.000000e+00 0.000000e+00 1.367963e+04 0.000000e+00 0.000000e+00 1.096419e+05 0.000000e+00 0.000000e+00 1.097082e+05 0.000000e+00 0.000000e+00 3.978618e+05 0.000000e+00 0.000000e+00 1.428462e+05 0.000000e+00 0.000000e+00 5.359283e+05 0.000000e+00 0.000000e+00 8.766666e+03 0.000000e+00 0.000000e+00 1.906011e+04 0.000000e+00 0.000000e+00 8.252937e+04 0.000000e+00 0.000000e+00 5.903089e+03 0.000000e+00 1.668565e+06 1.668565e+06 1.000000e+00 3.481490e+06 3.481490e+06 1.000000e+00 1.574198e+05 3.269795e+05 4.814364e-01 0.000000e+00 1.168311e+06 0.000000e+00
5.840000e+02 0.000000e+00 1.386425e+04 0.000000e+00 0.000000e+00 1.550319e+05 0.000000e+00 0.000000e+00 1.418686e+04 0.000000e+00 0.000000e+00 1.100415e+05 0.000000e+00 0.000000e+00 1.203567e+05 0.000000e+00 0.000000e+00 4.077479e+05 0.000000e+00 0.000000e+00 1.535556e+05 0.000000e+00 0.000000e+00 5.420058e+05 0.000000e+00 0.000000e+00 9.173939e+03 0.000000e+00 0.000000e+00 1.990542e+04 0.000000e+00 0.000000e+00 7.349538e+04 0.000000e+00 0.000000e+00 6.875501e+03 0.000000e+00 0.000000e+00 3.350090e+06 0.000000e+00 0.000000e+00 1.155321e+06 0.000000e+00 1.574198e+05 3.717203e+05 4.234899e-01 0.000000e+00 1.329100e+06 0.000000e+00
6.570000e+02 0.000000e+00 1.223469e+04 0.000000e+00 0.000000e+00 1.555818e+05 0.000000e+00 0.000000e+00 1.473185e+04 0.000000e+00 0.000000e+00 1.104399e+05 0.000000e+00 0.000000e+00 1.229471e+05 0.000000e+00 0.000000e+00 4.202765e+05 0.000000e+00 0.000000e+00 1.622019e+05 0.000000e+00 0.000000e+00 5.479842e+05 0.000000e+00 0.000000e+00 9.683765e+03 0.000000e+00 0.000000e+00 2.098126e+04 0.000000e+00 0.000000e+00 7.415487e+04 0.000000e+00 0.000000e+00 7.873560e+03 0.000000e+00 3.290206e+06 3.290206e+06 1.000000e+00 7.646374e+05 7.646374e+05 1.000000e+00 1.574198e+05 4.185326e+05 3.761232e-01 0.000000e+00 1.500805e+06 0.000000e+00
