Time POB-M KWH-M SWH-M HWH-M MWH-M FWH-M BES-M HAS-M HOS-M RIS-M SBA-M SBB-M SHO-M DEO-M PEL-M PES-M REO-M DEL-M FLA-M LRD-M SSK-M MES-M GRH-M MAC-M HAD-M SAI-M RED-M BWH-M SSH-M NCO-M PCO-M CAP-M PWN-M CEP-M KCR-M SCR-M ZG-M ZL-M ZM-M ZS-M DF-M PS-M PL-M BC-M BD-M BFF-M SPO-M COR-M PB-M BB-M DR-M DL-M DC-M POB-F KWH-F SWH-F HWH-F MWH-F FWH-F BES-F HAS-F HOS-F RIS-F SBA-F SBB-F SHO-F DEO-F PEL-F PES-F REO-F DEL-F FLA-F LRD-F SSK-F MES-F GRH-F MAC-F HAD-F SAI-F RED-F BWH-F SSH-F NCO-F PCO-F CAP-F PWN-F CEP-F KCR-F SCR-F ZG-F ZL-F ZM-F ZS-F DF-F PS-F PL-F BC-F BD-F BFF-F SPO-F COR-F PB-F BB-F DR-F DL-F DC-F
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.650000e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.037386e-18 1.931631e-19 0.000000e+00 8.148923e-10 2.636752e-10 2.459993e-08 6.399866e-09 0.000000e+00 1.210435e-10 1.264967e-03 1.137355e-08 3.910887e-03 2.074317e-02 1.058983e-01 1.673780e-01 1.498899e-01 4.993184e-05 4.252905e-01 1.591555e-06 2.086532e+19 1.151161e+01 8.708443e-01 2.467622e+01 2.861671e-02 1.337831e-01 3.393229e+02 2.151317e-02 3.495853e-04 1.188793e-11 2.621858e-14 4.033823e-11 1.403000e+00 4.456838e-15 1.029039e-13 1.201504e-11 2.345523e-10 1.364845e-11 6.315522e-12 1.198878e-10 2.834408e-14 9.790827e-13 5.773083e-13 1.663900e-14 3.124345e-13 3.011996e-11 1.088227e-11 3.714298e-14 2.756311e-13 4.790006e+01 3.115096e-03 3.240063e-06 1.508623e-03 1.245409e-08 5.907648e-07 9.250609e-09 1.188576e-03 8.345943e-05 1.260524e-03 1.025824e-02 2.325567e-06 1.104394e-03 1.249546e-02 2.894130e-02 1.060948e-07 1.462322e-04 2.121170e-02 9.315636e-02 1.137017e-02 2.246469e-03 1.896214e-03 2.327626e-05 2.975561e-03 8.551895e+19 5.415095e-05 8.232950e-07 9.346952e-04 6.118053e-04 1.383072e-04 5.199832e-08 1.774226e-04 1.896330e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.491714e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.300000e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.021618e-14 5.847334e-14 0.000000e+00 0.000000e+00 3.237417e-11 1.926589e-08 2.475080e-08 0.000000e+00 4.455637e-12 4.058769e-05 2.634391e-08 1.741170e-02 1.191631e-02 9.808992e-03 7.725149e-02 1.355370e-01 1.069907e-05 1.387206e-02 1.031873e-06 5.091334e+18 3.973412e+00 5.900275e-01 2.166231e+01 2.409315e-02 1.491336e-01 2.172517e+02 1.636998e-02 3.104064e-04 1.540203e-13 4.325470e-15 4.033823e-11 2.645917e+00 4.456838e-15 1.029039e-13 1.201504e-11 2.345523e-10 1.364845e-11 6.315522e-12 1.198878e-10 2.834408e-14 9.790827e-13 5.773083e-13 1.663900e-14 3.124345e-13 3.011996e-11 1.088227e-11 3.714298e-14 2.756311e-13 4.790006e+01 1.120221e-03 2.885330e-06 4.948301e-03 1.218218e-08 1.144769e-03 1.111742e-03 9.771676e-04 7.382932e-05 1.091545e-03 7.815457e-03 2.289359e-07 1.544676e-04 7.939730e-04 4.002341e-03 6.484945e-08 1.829538e-04 2.034389e-02 2.009534e-03 1.156174e-02 2.286489e-03 5.457857e-04 1.003243e-06 2.744487e-03 1.203463e+20 7.295624e-05 9.988152e-07 8.701018e-04 8.212902e-04 1.827607e-04 5.567184e-08 1.384727e-04 9.675397e-12 0.000000e+00 0.000000e+00 0.000000e+00 2.482620e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.088973e-14 9.811294e-14 0.000000e+00 0.000000e+00 1.884186e-11 1.495646e-08 2.163399e-08 0.000000e+00 4.637160e-12 2.778687e-05 8.515424e-09 2.995517e-02 9.928084e-03 1.125115e-02 8.119897e-02 1.484127e-01 1.080515e-05 1.899073e-02 1.624916e-06 2.354902e+19 2.516524e+00 3.996707e-01 2.209213e+01 3.998858e-02 2.687197e-01 1.961807e+02 2.442869e-02 1.855000e-04 1.155422e-13 4.143534e-15 3.970118e-11 2.380235e+00 3.886593e-15 1.139783e-13 3.396030e-13 1.836122e-10 2.424009e-10 1.187586e-12 1.756469e-12 2.556668e-14 9.436671e-13 4.527230e-13 1.662053e-14 3.116183e-13 2.135734e-13 3.349422e-13 1.495420e-14 1.219387e-13 5.678640e-15 8.389553e-04 3.455513e-06 4.649375e-03 1.192522e-08 8.483482e-04 8.903096e-04 8.963960e-04 7.184421e-05 1.033846e-03 6.396965e-03 1.873696e-07 1.494625e-04 6.702456e-04 2.804852e-03 3.716287e-08 2.355937e-04 1.956395e-02 1.527376e-03 1.156502e-02 2.392634e-03 4.190873e-04 1.250758e-06 4.461515e-03 1.507793e+20 1.065510e-04 1.593949e-06 8.067342e-04 5.363987e-04 1.498023e-04 5.586581e-08 1.686204e-04 5.528600e-12 0.000000e+00 0.000000e+00 0.000000e+00 2.475254e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.460000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.320641e-14 1.027492e-13 0.000000e+00 0.000000e+00 9.960521e-12 1.332316e-08 1.764152e-08 0.000000e+00 1.012778e-11 3.323205e-05 1.022835e-08 4.432282e-02 8.288653e-03 1.048437e-02 9.486386e-02 1.565335e-01 1.507946e-05 2.390168e-02 6.412756e-06 4.019253e+19 1.428248e+00 3.188397e-01 2.563013e+01 1.299925e-01 4.005484e-01 1.994026e+02 6.119167e-02 4.670708e-04 5.008032e-13 5.677845e-15 3.750919e-11 3.612177e-01 4.205392e-15 1.405347e-13 3.590617e-13 2.321284e-10 9.870533e-12 5.523014e-12 1.319877e-12 2.580468e-14 1.008964e-12 2.604060e-13 1.662523e-14 3.101741e-13 1.905984e-13 3.646875e-13 1.297413e-14 9.612799e-14 5.368275e-15 6.504312e-04 3.873918e-06 4.385972e-03 1.168028e-08 7.678227e-04 8.123457e-04 8.022875e-04 7.226973e-05 1.003994e-03 5.450358e-03 1.419051e-07 1.387624e-04 5.227484e-04 1.775358e-03 4.007956e-08 3.686923e-04 1.882433e-02 1.297886e-03 1.106609e-02 2.491590e-03 2.788371e-04 1.711888e-06 1.657852e-02 1.654330e+20 1.348820e-04 2.171884e-06 7.523548e-04 1.762957e-04 1.188763e-04 4.446374e-08 6.087846e-04 1.308914e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.528014e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.825000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.367367e-14 1.124481e-13 0.000000e+00 0.000000e+00 5.077907e-12 1.064431e-08 1.438558e-08 0.000000e+00 6.579212e-12 3.833760e-05 7.429217e-09 6.498076e-02 8.743480e-03 8.845471e-03 8.542946e-02 1.573409e-01 1.718922e-05 3.175364e-02 1.022878e-05 5.465764e+19 9.156559e-01 2.909622e-01 2.972166e+01 2.927908e-01 3.845161e-01 2.286128e+02 4.790231e-02 4.144155e-04 5.540976e-13 5.180933e-15 3.607701e-11 8.759091e-01 4.641675e-15 1.081569e-13 3.127178e-13 2.174033e-10 1.299205e-10 6.902100e-12 1.759726e-12 2.608552e-14 1.022701e-12 3.701309e-13 1.661286e-14 3.083649e-13 1.223361e-13 3.513611e-13 1.043559e-14 5.740490e-14 8.688123e-15 7.016679e-04 4.110022e-06 4.140459e-03 1.144505e-08 7.511169e-04 7.905255e-04 7.255696e-04 7.219795e-05 9.826818e-04 4.760234e-03 1.069781e-07 1.289915e-04 3.906042e-04 1.138572e-03 4.837542e-08 5.636587e-04 1.811083e-02 1.172467e-03 1.065960e-02 2.699164e-03 1.782375e-04 2.781229e-06 3.064002e-02 1.686858e+20 2.871381e-04 2.470184e-06 7.063342e-04 8.486671e-05 2.041628e-04 3.028140e-08 9.207388e-04 1.508472e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.495836e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.190000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.295780e-14 1.057954e-13 0.000000e+00 0.000000e+00 2.514730e-12 9.589361e-09 1.445633e-08 0.000000e+00 6.155081e-12 3.524594e-05 9.528255e-08 6.550302e-02 8.468449e-03 7.866497e-03 7.539098e-02 1.517205e-01 1.930674e-05 4.831658e-02 1.118365e-05 7.331700e+19 5.007799e-01 2.752075e-01 3.441259e+01 4.162177e-02 3.168993e-01 1.633419e+02 1.873320e-02 1.837691e-04 6.030970e-13 5.183580e-15 3.538810e-11 1.137514e+00 4.895139e-15 7.103337e-14 3.403635e-13 2.776898e-10 8.319034e-11 6.893978e-12 1.559405e-12 2.640241e-14 1.012936e-12 1.531162e-13 1.660642e-14 3.062114e-13 1.099803e-13 3.539660e-13 8.870879e-15 4.782777e-14 4.547398e-15 6.972535e-04 4.484979e-06 3.910475e-03 1.103662e-08 7.541918e-04 7.907086e-04 6.586637e-04 7.251251e-05 9.643432e-04 4.224292e-03 9.815414e-08 1.188410e-04 2.710545e-04 9.431114e-04 3.812184e-04 1.448794e-06 1.907854e-02 1.102846e-03 1.005610e-02 2.870382e-03 1.550244e-04 4.429677e-06 4.365538e-02 2.484222e+20 4.029652e-04 2.693429e-06 7.789942e-04 7.023498e-04 2.783894e-04 3.307388e-08 8.707524e-04 6.249283e-12 0.000000e+00 0.000000e+00 0.000000e+00 2.475069e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.555000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.135217e-14 1.119550e-13 0.000000e+00 0.000000e+00 1.241299e-12 7.272176e-09 1.328816e-08 0.000000e+00 7.933094e-12 3.282858e-05 1.002419e-07 8.230382e-02 7.832029e-03 7.201365e-03 6.322143e-02 1.353383e-01 2.097256e-05 6.470481e-02 9.225508e-06 8.395454e+19 4.166761e-01 2.479132e-01 2.099063e+01 3.594669e-02 3.042603e-01 1.287120e+02 1.182628e-02 1.594703e-04 4.735393e-13 4.965922e-15 3.444323e-11 9.071579e-01 5.049779e-15 6.590518e-14 2.907200e-13 2.563658e-10 3.100747e-11 7.023104e-12 1.797618e-12 2.675321e-14 1.008488e-12 1.347575e-13 1.661425e-14 3.057960e-13 9.463260e-14 3.647898e-13 8.088927e-15 3.712269e-14 5.684675e-15 6.372163e-04 4.822718e-06 3.641568e-03 1.059312e-08 7.384409e-04 7.999290e-04 5.992549e-04 7.300703e-05 9.468205e-04 3.789749e-03 8.598120e-08 9.263770e-05 2.250346e-04 7.632444e-04 3.513414e-04 4.267049e-03 1.974640e-02 1.299286e-03 1.008639e-02 3.336085e-03 1.355325e-04 8.565710e-05 5.162784e-02 3.489720e+20 3.988560e-04 2.995078e-06 8.937909e-04 8.807302e-04 3.174804e-04 3.523694e-08 1.435648e-04 5.208958e-12 0.000000e+00 0.000000e+00 0.000000e+00 2.469489e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.920000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.392799e-14 1.191162e-13 0.000000e+00 0.000000e+00 6.230464e-13 6.261814e-09 1.146275e-08 0.000000e+00 7.690382e-12 3.795075e-05 1.038693e-07 7.367889e-02 7.170401e-03 6.721727e-03 6.601236e-02 1.249769e-01 2.215450e-05 5.241521e-02 8.829085e-06 9.399986e+19 6.741058e-01 2.172594e-01 1.604911e+01 3.900093e-02 4.062807e-01 1.067396e+02 1.265585e-02 4.220955e-04 3.874823e-13 5.054984e-15 3.346723e-11 5.602325e-01 5.013280e-15 6.025562e-14 2.751218e-13 3.815396e-10 3.697517e-12 6.952537e-12 1.599607e-12 2.713565e-14 9.916854e-13 1.211970e-13 1.661959e-14 3.050250e-13 8.198494e-14 3.786639e-13 8.341269e-15 3.066602e-14 5.392632e-15 5.862257e-04 5.146553e-06 3.398063e-03 1.016429e-08 7.267198e-04 7.901999e-04 5.457567e-04 7.360945e-05 9.292395e-04 3.427616e-03 7.221170e-08 7.282287e-05 1.838236e-04 7.163851e-04 3.309854e-04 2.542595e-03 1.967557e-02 1.394570e-03 9.952918e-03 3.754528e-03 1.706883e-04 7.139279e-05 5.757656e-02 4.732451e+20 3.991472e-04 3.294055e-06 1.004380e-03 8.715550e-04 3.480528e-04 3.791693e-08 1.177122e-03 1.463089e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.477696e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.285000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.049642e-14 1.075987e-13 0.000000e+00 0.000000e+00 3.430450e-13 4.432668e-09 1.089767e-08 0.000000e+00 8.826994e-12 3.669547e-05 7.411797e-08 7.589904e-02 7.505367e-03 6.326864e-03 6.969709e-02 1.186488e-01 2.240666e-05 5.515971e-02 7.155242e-06 1.048237e+20 4.606731e-01 1.903513e-01 9.594330e+00 3.950931e-02 4.488302e-01 1.009958e+02 1.473733e-02 3.772819e-04 7.277983e-13 3.734199e-15 3.270953e-11 4.645993e-01 4.876919e-15 7.092614e-14 3.548590e-13 5.196834e-10 1.341275e-12 6.109895e-12 1.610656e-12 2.754482e-14 9.653436e-13 1.100652e-13 1.663793e-14 3.053191e-13 7.725662e-14 3.971922e-13 7.813666e-15 2.680789e-14 4.989410e-15 5.820528e-04 5.466171e-06 3.173132e-03 9.743475e-09 7.167325e-04 7.834591e-04 4.969045e-04 7.387100e-05 9.119712e-04 3.119740e-03 6.608894e-08 5.839527e-05 1.594789e-04 5.713835e-04 3.074891e-04 2.029654e-03 3.079804e-02 1.521989e-03 9.160842e-03 4.115868e-03 2.102729e-04 6.325944e-05 6.151916e-02 5.193476e+20 3.701772e-04 3.347456e-06 1.793229e-03 9.138409e-04 3.811040e-04 3.770468e-08 9.824356e-05 1.213300e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.467238e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.650000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.368566e-14 9.943278e-14 0.000000e+00 0.000000e+00 1.318162e-12 3.824956e-09 1.787247e-08 0.000000e+00 1.645182e-11 3.134449e-05 7.864785e-08 8.077488e-02 7.667750e-03 6.060765e-03 6.556184e-02 1.230552e-01 1.992005e-05 6.084059e-02 5.944839e-06 9.198142e+19 4.885812e-01 1.959359e-01 6.379019e+00 4.153786e-02 4.280879e-01 9.766409e+01 1.938356e-02 2.804816e-04 6.811611e-13 6.595631e-15 3.214917e-11 3.875273e-01 4.736575e-15 6.681015e-14 3.450803e-13 5.044506e-10 8.007132e-12 8.365694e-12 1.776011e-12 2.798384e-14 9.335025e-13 1.049738e-13 1.666727e-14 3.064721e-13 7.239096e-14 4.160064e-13 7.074744e-15 2.238155e-14 5.479632e-15 4.814957e-04 5.737486e-06 2.963837e-03 9.337575e-09 7.074621e-04 7.781333e-04 4.459784e-04 7.061818e-05 9.234385e-04 2.848148e-03 1.033122e-07 5.634467e-05 1.757635e-04 3.561432e-04 2.846412e-04 1.845816e-03 3.918486e-02 1.249882e-03 9.435273e-03 4.057890e-03 2.858203e-04 6.670460e-05 5.703345e-02 5.812446e+20 3.138453e-04 3.109338e-06 2.638514e-03 9.321677e-04 3.798946e-04 3.745186e-08 7.637941e-05 7.426794e-12 0.000000e+00 0.000000e+00 0.000000e+00 2.452462e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
4.015000e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.462634e-14 7.879549e-14 0.000000e+00 0.000000e+00 9.887211e-13 3.409167e-09 3.664842e-08 0.000000e+00 2.432066e-11 3.578627e-05 6.283653e-08 1.009744e-01 7.984900e-03 6.060450e-03 6.786173e-02 1.253177e-01 1.672723e-05 6.167684e-02 5.439711e-06 9.002374e+19 4.852253e-01 1.589872e-01 4.975930e+00 4.337516e-02 1.058182e+00 9.890825e+01 1.690496e-02 4.289532e-04 5.341197e-13 6.047640e-15 3.174868e-11 3.924421e-01 4.650005e-15 6.705998e-14 2.589558e-13 6.247975e-10 1.014564e-10 8.095463e-12 2.093232e-12 2.844624e-14 8.866888e-13 1.477931e-13 1.668077e-14 3.072962e-13 1.781396e-13 4.387431e-13 1.291660e-14 2.150651e-14 5.119197e-15 4.624816e-04 5.554253e-06 2.768253e-03 9.292081e-09 6.983671e-04 7.734268e-04 4.111708e-04 6.465546e-05 8.569089e-04 2.597040e-03 1.994788e-07 7.223286e-05 2.137301e-04 2.869711e-04 2.841122e-04 1.534250e-03 4.575439e-02 1.444731e-03 9.504868e-03 4.243742e-03 5.695287e-04 7.010524e-05 4.253284e-02 5.848303e+20 3.089533e-04 3.525712e-06 3.409868e-03 9.649581e-04 2.463426e-04 3.792298e-08 2.519742e-04 1.081622e-11 0.000000e+00 0.000000e+00 0.000000e+00 2.436226e-01 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
