Time SWH_DEN SWH_SN SWH_RN SWH_Biomass HWH_DEN HWH_SN HWH_RN HWH_Biomass MWH_DEN MWH_SN MWH_RN MWH_Biomass FWH_DEN FWH_SN FWH_RN FWH_Biomass HOS_DEN HOS_SN HOS_RN HOS_Biomass PEL_DEN PEL_SN PEL_RN PEL_Biomass MAC_DEN MAC_SN MAC_RN MAC_Biomass BWH_DEN BWH_SN BWH_RN BWH_Biomass
0.000000e+00 1.824000e+01 8.171113e+07 2.165345e+08 6.201600e+02 6.000000e+00 6.729152e+07 1.783225e+08 1.680000e+02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.400701e+04 6.391954e+05 1.693868e+06 1.968359e+04 6.449188e+05 2.407161e+04 6.378977e+04 6.459635e+03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 9.270990e+09 2.702590e+02 8.381436e+02 1.171463e+06
7.300000e+01 1.823919e+01 8.199891e+07 2.172971e+08 6.223166e+02 3.565282e+03 5.786476e+07 1.533165e+08 8.583295e+04 7.646661e+04 1.053089e+07 2.790686e+07 3.350693e+05 6.995675e+03 1.643321e+08 4.354801e+08 4.783544e+05 7.700360e+04 6.410114e+05 1.698680e+06 2.053877e+04 6.447645e+05 2.618660e+04 6.939448e+04 7.025510e+03 1.920000e-13 7.110604e+02 1.884310e+03 5.680747e-17 8.580898e+08 1.970524e+02 4.789775e+02 6.613075e+04
1.460000e+02 5.174157e+03 8.089291e+07 2.143662e+08 1.741598e+05 5.643292e+03 5.335333e+07 1.413733e+08 1.252745e+05 1.065397e+05 1.104752e+07 2.927593e+07 4.897495e+05 9.704496e+03 1.702531e+08 4.511707e+08 6.874890e+05 8.740912e+04 6.258649e+05 1.550329e+06 2.168499e+04 1.853334e+08 6.540395e+02 1.658410e+03 4.885746e+04 1.920000e-13 6.572103e+02 1.204095e+03 4.074026e-17 9.209800e+09 3.070808e+02 6.580675e+02 1.013326e+06
2.190000e+02 5.124719e+03 8.134099e+07 2.155536e+08 1.734512e+05 5.643292e+03 5.374231e+07 1.424063e+08 1.261893e+05 1.060449e+05 1.149992e+07 3.047478e+07 5.074369e+05 9.655095e+03 1.750739e+08 4.639459e+08 7.033569e+05 8.531615e+04 6.677400e+05 1.686270e+06 2.289520e+04 1.149503e+08 8.196350e+02 2.098120e+03 3.823523e+04 7.487125e+10 1.485159e+02 3.931524e+02 4.623314e+06 9.189882e+09 3.288421e+02 7.801818e+02 1.161865e+06
2.920000e+02 5.080059e+03 8.185294e+07 2.169103e+08 1.730218e+05 5.643292e+03 5.414925e+07 1.434865e+08 1.271460e+05 1.037861e+05 1.199555e+07 3.178821e+07 5.180325e+05 9.564287e+03 1.806888e+08 4.788253e+08 7.190872e+05 8.381677e+04 7.119263e+05 1.824526e+06 2.423608e+04 8.348517e+07 9.962046e+02 2.588387e+03 3.411567e+04 1.920000e-13 1.264909e+03 3.352007e+03 1.010551e-16 9.169469e+09 3.583157e+02 9.047695e+02 1.320328e+06
3.650000e+02 4.612605e+02 8.453967e+07 2.014170e+08 1.503666e+04 1.920000e-13 7.005537e+07 1.856388e+08 5.596634e-12 1.920000e-13 1.264112e+07 3.064044e+07 9.473467e-13 1.920000e-13 1.853718e+08 4.471448e+08 1.384452e-11 8.207975e+04 7.606960e+05 1.970488e+06 2.555594e+04 6.572161e+07 1.185587e+03 3.115596e+03 3.222559e+04 1.920000e-13 1.264909e+03 3.352007e+03 1.010551e-16 1.154605e+10 3.395910e+02 8.834284e+02 1.609799e+06
4.380000e+02 4.611839e+02 8.458124e+07 2.029527e+08 1.511709e+04 3.739377e+03 5.432530e+07 1.439543e+08 8.452440e+04 7.180829e+04 1.239345e+07 3.020047e+07 3.486800e+05 6.552795e+03 1.845612e+08 4.477943e+08 4.723813e+05 8.431945e+04 7.721093e+05 2.015956e+06 2.680005e+04 5.397207e+07 1.389083e+03 3.668474e+03 3.111822e+04 1.920000e-13 1.264909e+03 3.352007e+03 1.010551e-16 2.661398e+09 1.673418e+02 4.240196e+02 1.794187e+05
5.110000e+02 5.517563e+03 7.789093e+07 1.932560e+08 1.705520e+05 5.419344e+03 5.469012e+07 1.449222e+08 1.233215e+05 1.009897e+05 1.263750e+07 3.144983e+07 5.075700e+05 9.194538e+03 1.872409e+08 4.603351e+08 6.787745e+05 9.335581e+04 7.524187e+05 1.862250e+06 2.782677e+04 2.789942e+08 7.783696e+02 2.002058e+03 8.843246e+04 1.920000e-13 1.173591e+03 2.147116e+03 7.268363e-17 1.138938e+10 3.643406e+02 6.660668e+02 1.337870e+06
5.840000e+02 5.382087e+03 7.886586e+07 1.964075e+08 1.688962e+05 5.419344e+03 5.509197e+07 1.459881e+08 1.242283e+05 1.006887e+05 1.303299e+07 3.297513e+07 5.281046e+05 9.164964e+03 1.909967e+08 4.747359e+08 6.955614e+05 9.036532e+04 8.010661e+05 2.021722e+06 2.907936e+04 1.710925e+08 1.145354e+03 2.975269e+03 8.037089e+04 6.460319e+10 1.682427e+02 4.435096e+02 4.505411e+06 1.135887e+10 3.748576e+02 8.170394e+02 1.543401e+06
6.570000e+02 5.276119e+03 7.971101e+07 1.992960e+08 1.678165e+05 5.419344e+03 5.551013e+07 1.470970e+08 1.251717e+05 1.165636e+05 1.148246e+07 2.939754e+07 5.432236e+05 9.110109e+03 1.950534e+08 4.887697e+08 7.101861e+05 8.828197e+04 8.548113e+05 2.192146e+06 3.066502e+04 1.267597e+08 1.566479e+03 4.109989e+03 8.202843e+04 1.920000e-13 1.369220e+03 3.628331e+03 1.093864e-16 1.132717e+10 3.948620e+02 9.695933e+02 1.761918e+06
