species,USD
POB,NA
KWH,NA
SWH,NA
HWH,NA
MWH,5562.130178
FWH,NA
BES,NA
HAS,NA
HOS,3431.952663
RIS,NA
SBA,NA
SBB,NA
SHO,NA
DEO,NA
PEL,NA
PES,NA
REO,1114.792899
DEL,NA
FLA,NA
LRD,NA
SSK,NA
MES,NA
GRH,1826.035503
MAC,1005.91716
HAD,915.9763314
SAI,711.2426036
RED,1218.934911
BWH,355.0295858
SSH,355.0295858
NCO,1152.662722
PCO,NA
CAP,236.6863905
PWN,3313.609467
CEP,NA
KCR,14674.55621
SCR,7100.591716
ZG,NA
ZL,NA
ZM,1183.431953
ZS,NA
DF,NA
PS,NA
PL,NA
BC,NA
BD,NA
BFF,NA
SPO,NA
COR,NA
PB,NA
BB,NA
DR,NA
DL,NA
DC,NA
